calibration_samples,cue_noise_sd,cue_delay_trials,control,mean_pp,ci95_low_pp,ci95_high_pp,positive_seeds,p_wilcoxon,analysis_status
256,0,0,mismatched_encoder,61.3061523438,60.6591186523,61.9995727539,20,1.90734863281e-06,exploratory_paired_sensitivity
256,0,1,oracle_context,-60.4833984375,-61.2109375,-59.7607421875,0,8.83238586308e-05,exploratory_paired_sensitivity
256,0,1,frozen_profile,1.1376953125,0.888671875,1.3671875,19,0.000102486490568,exploratory_paired_sensitivity
256,0,1,mismatched_encoder,0.26123046875,-0.09765625,0.62255859375,13,0.197558598468,exploratory_paired_sensitivity
256,0,4,oracle_context,-60.5590820312,-61.26953125,-59.8851928711,0,8.79487934705e-05,exploratory_paired_sensitivity
256,0,4,frozen_profile,1.06201171875,0.9228515625,1.2109375,20,8.76994237559e-05,exploratory_paired_sensitivity
256,0,4,mismatched_encoder,0.25146484375,-0.0634765625,0.5712890625,13,0.178653119649,exploratory_paired_sensitivity
256,0.5,0,oracle_context,-16.259765625,-17.8295898438,-14.8291015625,0,1.90734863281e-06,exploratory_paired_sensitivity
256,0.5,0,frozen_profile,45.361328125,43.6864624023,46.9190063477,20,1.90734863281e-06,exploratory_paired_sensitivity
256,0.5,0,mismatched_encoder,44.9682617188,43.2714233398,46.5161132812,20,8.84491502121e-05,exploratory_paired_sensitivity
256,0.5,1,oracle_context,-60.4174804688,-61.1572265625,-59.6899414062,0,8.84491502121e-05,exploratory_paired_sensitivity
256,0.5,1,frozen_profile,1.20361328125,0.99609375,1.416015625,20,8.76994237559e-05,exploratory_paired_sensitivity
256,0.5,1,mismatched_encoder,0.0634765625,-0.21728515625,0.3369140625,11,0.626935266517,exploratory_paired_sensitivity
256,0.5,4,oracle_context,-60.5883789062,-61.3623046875,-59.8021850586,0,8.81987020419e-05,exploratory_paired_sensitivity
256,0.5,4,frozen_profile,1.03271484375,0.78125,1.28173828125,20,8.81987020419e-05,exploratory_paired_sensitivity
256,0.5,4,mismatched_encoder,0.107421875,-0.310119628906,0.537109375,9,0.640365581654,exploratory_paired_sensitivity
256,1,0,oracle_context,-56.8505859375,-57.8955078125,-55.80078125,0,8.79487934705e-05,exploratory_paired_sensitivity
256,1,0,frozen_profile,4.7705078125,4.130859375,5.41015625,20,8.83238586308e-05,exploratory_paired_sensitivity
256,1,0,mismatched_encoder,4.00390625,3.38134765625,4.61431884766,20,8.83238586308e-05,exploratory_paired_sensitivity
256,1,1,oracle_context,-60.7592773438,-61.484375,-60.0634765625,0,8.79487934705e-05,exploratory_paired_sensitivity
256,1,1,frozen_profile,0.86181640625,0.64453125,1.064453125,19,0.0001395707024,exploratory_paired_sensitivity
256,1,1,mismatched_encoder,-0.23193359375,-0.56396484375,0.09033203125,8,0.224404151738,exploratory_paired_sensitivity
256,1,4,oracle_context,-60.3149414062,-61.0400390625,-59.5947265625,0,1.90734863281e-06,exploratory_paired_sensitivity
256,1,4,frozen_profile,1.30615234375,1.04248046875,1.56005859375,20,8.83238586308e-05,exploratory_paired_sensitivity
256,1,4,mismatched_encoder,0.40283203125,0.13671875,0.66650390625,15,0.0144137887866,exploratory_paired_sensitivity
