calibration_samples,cue_noise_sd,cue_delay_trials,method,mean_accuracy,mean_loss,mean_coefficient_accuracy,n_seeds
16,0,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0,0,learned_local_cue,0.802905273437,0.426767740089,1,20
16,0,0,mismatched_encoder,0.18984375,17.9088374834,0,20
16,0,0,oracle_context,0.802905273437,0.426767740089,1,20
16,0,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0,1,learned_local_cue,0.198071289062,9.94122695901,0.247241210938,20
16,0,1,mismatched_encoder,0.195458984375,10.0575816568,0.253076171875,20
16,0,1,oracle_context,0.802905273437,0.426767740089,1,20
16,0,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0,4,learned_local_cue,0.197314453125,9.93516315204,0.249072265625,20
16,0,4,mismatched_encoder,0.194799804687,10.084475211,0.248974609375,20
16,0,4,oracle_context,0.802905273437,0.426767740089,1,20
16,0.5,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0.5,0,learned_local_cue,0.324072265625,1.97910334605,0.523071289062,20
16,0.5,0,mismatched_encoder,0.195239257813,12.8636896261,0.158642578125,20
16,0.5,0,oracle_context,0.802905273437,0.426767740089,1,20
16,0.5,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0.5,1,learned_local_cue,0.1982421875,9.96592368016,0.2482421875,20
16,0.5,1,mismatched_encoder,0.194750976563,9.95197472844,0.249951171875,20
16,0.5,1,oracle_context,0.802905273437,0.426767740089,1,20
16,0.5,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0.5,4,learned_local_cue,0.199194335937,9.76731809429,0.247631835937,20
16,0.5,4,mismatched_encoder,0.195434570312,10.2051830955,0.2490234375,20
16,0.5,4,oracle_context,0.802905273437,0.426767740089,1,20
16,1,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,1,0,learned_local_cue,0.20810546875,7.2735756226,0.3283203125,20
16,1,0,mismatched_encoder,0.197509765625,10.5630192982,0.227124023437,20
16,1,0,oracle_context,0.802905273437,0.426767740089,1,20
16,1,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,1,1,learned_local_cue,0.198388671875,9.77474823549,0.253833007813,20
16,1,1,mismatched_encoder,0.197607421875,9.84361773071,0.2513671875,20
16,1,1,oracle_context,0.802905273437,0.426767740089,1,20
16,1,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,1,4,learned_local_cue,0.198657226563,9.87904144613,0.250854492188,20
16,1,4,mismatched_encoder,0.198559570312,9.91522120408,0.251196289063,20
16,1,4,oracle_context,0.802905273437,0.426767740089,1,20
64,0,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0,0,learned_local_cue,0.802905273437,0.426767740089,1,20
64,0,0,mismatched_encoder,0.18984375,17.9088374834,0,20
64,0,0,oracle_context,0.802905273437,0.426767740089,1,20
64,0,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0,1,learned_local_cue,0.198071289062,9.94122695901,0.247241210938,20
64,0,1,mismatched_encoder,0.195458984375,10.0575816568,0.253076171875,20
64,0,1,oracle_context,0.802905273437,0.426767740089,1,20
64,0,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0,4,learned_local_cue,0.197314453125,9.93516315204,0.249072265625,20
64,0,4,mismatched_encoder,0.194799804687,10.084475211,0.248974609375,20
64,0,4,oracle_context,0.802905273437,0.426767740089,1,20
64,0.5,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0.5,0,learned_local_cue,0.542236328125,0.764602643065,0.63017578125,20
64,0.5,0,mismatched_encoder,0.193286132813,13.9725897495,0.125732421875,20
64,0.5,0,oracle_context,0.802905273437,0.426767740089,1,20
64,0.5,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0.5,1,learned_local_cue,0.197631835938,10.1036358442,0.24892578125,20
64,0.5,1,mismatched_encoder,0.197631835938,10.0368502996,0.252734375,20
64,0.5,1,oracle_context,0.802905273437,0.426767740089,1,20
64,0.5,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0.5,4,learned_local_cue,0.197998046875,9.70445935344,0.248413085938,20
64,0.5,4,mismatched_encoder,0.19462890625,10.1867525006,0.251586914062,20
64,0.5,4,oracle_context,0.802905273437,0.426767740089,1,20
64,1,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,1,0,learned_local_cue,0.222973632812,5.0501147114,0.389404296875,20
64,1,0,mismatched_encoder,0.196826171875,11.3311859293,0.207861328125,20
64,1,0,oracle_context,0.802905273437,0.426767740089,1,20
64,1,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,1,1,learned_local_cue,0.1958984375,10.0773003504,0.251440429688,20
64,1,1,mismatched_encoder,0.199462890625,9.90258798995,0.250219726563,20
64,1,1,oracle_context,0.802905273437,0.426767740089,1,20
64,1,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,1,4,learned_local_cue,0.198413085938,9.91007996174,0.251611328125,20
64,1,4,mismatched_encoder,0.19658203125,9.88909259152,0.25048828125,20
64,1,4,oracle_context,0.802905273437,0.426767740089,1,20
256,0,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0,0,learned_local_cue,0.802905273437,0.426767740089,1,20
256,0,0,mismatched_encoder,0.18984375,17.9088374834,0,20
256,0,0,oracle_context,0.802905273437,0.426767740089,1,20
256,0,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0,1,learned_local_cue,0.198071289062,9.94122695901,0.247241210938,20
256,0,1,mismatched_encoder,0.195458984375,10.0575816568,0.253076171875,20
256,0,1,oracle_context,0.802905273437,0.426767740089,1,20
256,0,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0,4,learned_local_cue,0.197314453125,9.93516315204,0.249072265625,20
256,0,4,mismatched_encoder,0.194799804687,10.084475211,0.248974609375,20
256,0,4,oracle_context,0.802905273437,0.426767740089,1,20
256,0.5,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0.5,0,learned_local_cue,0.640307617187,0.642596303386,0.663745117187,20
256,0.5,0,mismatched_encoder,0.190625,14.3586025626,0.111987304687,20
