left,right,functional_similarity,tree_distance_um,shared_path_um,shared_path_fraction,lca_depth,euclidean_distance_um,path_depth_difference_um,same_major_branch
0,1,-0.006818922479502279,294.7784316913222,0.0,0.0,0.0,159.50166815428614,14.872506994767804,False
0,2,0.07872760884791258,220.74806593275454,33.69524552100161,0.2527527200786709,2.0,73.68792009549459,21.512381711332267,True
0,3,0.165559009693119,220.74806593275454,33.69524552100161,0.2527527200786709,2.0,79.08658141556,21.512381711332267,True
0,4,-0.19240167208813427,154.825469343045,0.0,0.0,0.0,113.29236825135219,154.825469343045,False
1,2,0.07940321958156524,273.26604997998993,0.0,0.0,0.0,95.7484591207609,6.639874716564464,False
1,3,-0.02902051478415466,273.26604997998993,0.0,0.0,0.0,91.99548823719569,6.639874716564464,False
1,4,0.03769451623874821,139.9529623482772,0.0,0.0,0.0,99.96505789524666,139.9529623482772,False
2,3,-0.004075315378631547,0.0,133.31308763171273,1.0,3.0,10.263189367833002,0.0,True
2,4,0.15080427419570389,133.31308763171273,0.0,0.0,0.0,54.776521101654495,133.31308763171273,False
3,4,0.12434444937062888,133.31308763171273,0.0,0.0,0.0,45.63260869159245,133.31308763171273,False
