unit_index,pre_pt_root_id,nucleus_id,segment_id,major_branch,path_um,depth,x_um,y_um,z_um,n_synapses,contact_size,repeat_reliability,manual_match
0,864691135469501522,292237,7787,7356,111.92806395486006,2.0,776.24,484.04,805.52,1,6384.0,0.26588903201183145,True
1,864691136108586969,292719,6853,5223,130.00528151888597,8.0,750.864,391.224,853.88,1,8992.0,0.14180144077095558,False
2,864691135429733424,256759,5882,5223,215.03600644416963,11.0,729.6320000000001,385.008,926.8,1,692.0,0.1692190258098373,True
3,864691136312150874,256620,6507,5223,45.09888611901749,3.0,710.712,460.768,877.32,1,10024.0,0.37083631506130427,True
4,864691135774179147,256444,7558,5223,116.15718175902497,4.0,713.888,427.24,790.84,1,22144.0,0.1154095701540957,True
5,864691135577617694,292682,6339,5223,180.26225038041272,10.0,732.272,375.208,898.44,1,37492.0,0.23614808453795139,False
6,864691135641008443,256420,6679,6618,134.75541664152215,4.0,663.8480000000001,464.192,840.28,2,7524.0,0.11284289871666425,False
7,864691135618461289,359559,8058,6767,109.6091252019804,3.0,750.184,478.216,851.24,1,2552.0,0.24656743475979198,False
8,864691136914235889,325813,8304,7163,88.48171577530853,4.0,698.328,471.6,822.04,3,5488.0,0.4318210009064453,False
9,864691135861093992,292881,8380,6767,99.04126274068416,3.0,764.232,474.024,865.8000000000001,1,1752.0,0.4074137684270788,True
10,864691135361314119,292709,7412,7356,119.2540782702316,4.0,743.5360000000001,523.232,874.2,1,1972.0,0.19328753399169887,False
11,864691135571440006,292953,8489,6767,89.82922842135756,3.0,769.38,442.004,858.86,7,24460.0,0.12614379084967317,False
12,864691135755033805,256937,5483,5223,174.7472691279054,10.0,748.12,388.384,934.88,1,1464.0,0.14701111588187585,False
