post_soma_id,pre_soma_id,m_type_pre,n_contacts,n_axonal_clumps,actual_pair_tree_distance_um,matched_pair_tree_distance_um,tree_distance_delta_um,tree_distance_null_sd,actual_shared_path_fraction,matched_shared_path_fraction,shared_path_delta,shared_path_null_sd,actual_route_overlap,matched_route_overlap,route_overlap_delta,route_overlap_null_sd
255117,256424,PTC,6,6,246.75844866543505,187.91963536474728,58.838813300687775,24.9031843657707,0.015909058249536926,0.030852023669989178,-0.014942965420452252,0.032196799256326764,0.0,0.019301211767403167,-0.019301211767403167,0.030980499532910353
255117,256446,DTC,13,13,182.69004167726453,188.21081487777752,-5.520773200512991,15.235966952199192,0.05175266595530396,0.034906603090506146,0.01684606286479781,0.015741984203266873,0.03931599004183813,0.023429510144751177,0.015886479897086955,0.014784921799368845
255117,256514,PTC,7,7,121.45301130242163,157.90860659059413,-36.4555952881725,25.222266062857393,0.08705458281964905,0.03844972094657176,0.04860486187307729,0.030134096963745312,0.040829414201697424,0.03155171965457286,0.009277694547124564,0.03318935461373495
255117,256622,PTC,5,5,183.9365435119411,179.07537746884356,4.8611660430975405,36.535996905978415,0.014124245183954536,0.055842817391305054,-0.04171857220735052,0.04792348794070945,0.0,0.03409629919532898,-0.03409629919532898,0.0491398084287908
255117,260505,DTC,14,14,202.62786847071297,208.9852135958267,-6.3573451251137385,12.421549338610259,0.05490962137218932,0.03540831989893992,0.019501301473249397,0.0155641228593563,0.04395604395604396,0.022053915004152096,0.021902128951891864,0.015617437671237364
255117,260620,PTC,2,2,152.85889916273936,136.1852036629447,16.67369549979466,53.73356986385502,0.0,0.056420903085897596,-0.056420903085897596,0.21364781773211922,0.0,0.04704582421046983,-0.04704582421046983,0.21076624346115166
255117,260803,PTC,7,7,157.64926911615416,151.42009039172117,6.229178724432984,21.012584827497687,0.0313463854289794,0.047768197093729994,-0.016421811664750596,0.04359409279880454,0.024900576439757988,0.04294910987416344,-0.018048533434405455,0.04200376600340556
255117,262678,DTC,12,12,203.47318275409373,204.37011085982482,-0.8969281057310923,12.300030860064577,0.03927135639707567,0.03807320736192356,0.001198149035152113,0.019502578081747143,0.025324896093796075,0.024519040513164517,0.0008058555806315579,0.01776167232883156
255117,264792,DTC,4,4,180.10749245698662,216.07917413795198,-35.97168168096536,24.953285577524177,0.16666666666666666,0.03773024111075525,0.1289364255559114,0.05887202921221446,0.16666666666666666,0.021334500445024232,0.1453321662216424,0.05733438919854624
255117,267317,DTC,2,2,204.76969650783658,250.67024531970557,-45.90054881186899,37.58922342054021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
