post_soma_id,v661_root_id,v795_root_id,cell_type,m_type,n_segments,n_mapped_inputs,input_mapping_fraction,n_known_inhibitory_contacts,inhibitory_mapping_fraction,n_inhibitory_cells,n_inhibitory_connections,n_connections_with_two_clumps,actual_connection_tree_distance_um,matched_connection_tree_distance_um,connection_tree_distance_delta_um,actual_connection_shared_path,matched_connection_shared_path,connection_shared_path_delta,actual_connection_route_overlap,matched_connection_route_overlap,connection_route_overlap_delta,actual_contact_descendant_fraction,matched_contact_descendant_fraction,contact_descendant_fraction_delta,actual_contact_specificity_bits,matched_contact_specificity_bits,contact_specificity_delta_bits,dtc_median_descendant_fraction,ptc_median_descendant_fraction,dtc_minus_ptc_median_descendant_fraction,gOSI,gDSI,OSI,DSI,cc_abs,cc_max,cc_norm,n_digital_twin_rows
255117,864691135938349828,864691135938349828,L2IT,L2a,112,6660,0.9823008849557522,232,0.9626556016597511,41,41,26,196.03175708550776,200.33900758899347,-4.307250503485681,0.06058466357129421,0.05463906120410573,0.005945602367188484,0.03267440519824945,0.03590201460248761,-0.003227609404238156,0.03000033932237322,0.030390599815917612,-0.00039026049354439266,5.460737320683146,5.497998415156072,-0.03726109447292566,0.01981981981981982,0.024624624624624628,-0.004804804804804809,0.1326235,0.11049773333333333,0.2705380883333333,0.3365903156666667,0.45553099999999996,0.6719505,0.6882294916666667,6.0
255156,864691136066733720,864691136066733720,L2IT,L2a,96,4438,0.9923971377459749,70,0.9210526315789473,22,22,18,161.1544006438052,181.95580464764038,-20.801404003835216,0.12244612121762034,0.04765220299442076,0.07479391822319957,0.10963105558964209,0.02932935014125657,0.08030170544838551,0.028438413118376485,0.030064454994880824,-0.001626041876504341,5.358598495717616,5.536640041736857,-0.17804154601924121,0.021293375394321766,0.02636322667868409,-0.005069851284362326,0.423905,0.036609,0.76344717,0.07414677,0.536371,0.581334,0.92265546,3.0
255213,864691135455195242,864691135455195242,L2IT,L2a,109,4077,0.990284187515181,84,0.9545454545454546,18,18,12,172.5393022730243,174.48657555111947,-1.9472732780951816,0.07387296350381847,0.07637685505828348,-0.0025038915544650132,0.03973958264178468,0.038318136804555814,0.001421445837228863,0.043437270051508464,0.03650848596874177,0.006928784082766696,5.3276471272566726,5.318697192575485,0.008949934681187065,0.02207505518763797,0.026980623007113076,-0.004905567819475105,0.331201,0.0357251,0.6132885,0.07527159,0.239904,0.661632,0.3625943,2.0
256512,864691136663284190,864691136663284190,L2IT,L2a,83,3873,0.9880102040816326,74,0.9367088607594937,28,28,13,181.64345288703646,175.9996969678965,5.643755919139934,0.1478844267602743,0.1169901912142773,0.030894235545996986,0.09600078062199068,0.0660041977779472,0.02999658284404349,0.08311816851708409,0.06845772818228764,0.014660440334796455,4.745392387120922,4.941145166697729,-0.1957527795768068,0.023754195713916862,0.049057578104828296,-0.025303382390911434,0.400057,0.233252,0.65844387,0.5288382,0.147841,0.0447199,3.3059332,2.0
256521,864691135572379429,864691135572379429,L2IT,L2a,101,4997,0.9863797868140545,107,0.9469026548672567,32,32,19,186.67549275129204,211.34321554758785,-24.667722796295767,0.1181251822580394,0.06938711140873006,0.04873807084930931,0.05746474180464039,0.04068080964487094,0.01678393215976945,0.05151090654392636,0.03448264034178083,0.01702826620214553,5.217430877430046,5.397007988888879,-0.17957711145883237,0.01961176706023614,0.03271963177906744,-0.0131078647188313,0.3168243333333333,0.11503361666666667,0.54300031,0.24513474666666668,0.33830933333333335,0.5123273333333334,0.6607582766666668,6.0
256530,864691135404277230,864691135404277230,L2IT,L2a,92,5829,0.9884687129048669,128,0.9552238805970149,35,35,23,178.09140027256942,188.51688844319054,-10.425488170621106,0.04779497433727739,0.05918519692056947,-0.01139022258329207,0.029738013787969527,0.04409594375325722,-0.0143579299652877,0.05390386129295514,0.05645400003899413,-0.00255013874603899,5.077747022129855,5.104604318945215,-0.026857296815360195,0.021444501629782124,0.026076513981815062,-0.004632012352032939,,,,,,,,
256609,864691135404231406,864691135404231406,L2IT,L2a,113,5281,0.987471952131638,129,0.9485294117647058,34,34,24,189.40487568144667,197.23495674956735,-7.830081068120678,0.07237685044190136,0.05490925734604796,0.017467593095853395,0.0473917627118148,0.026494845606994544,0.02089691710482025,0.04074056871733126,0.03524052106211278,0.005500047655218495,5.344058914726533,5.59909205860329,-0.2550331438767571,0.019882597992804393,0.03465252793031623,-0.014769929937511837,0.24145350000000002,0.10133455,0.4675046125,0.30477232,0.42573174999999996,0.62085775,0.68069534,4.0
256610,864691135947212897,864691135947212897,L2IT,L2a,94,4717,0.9917998317914214,90,0.989010989010989,23,23,17,164.25293700878,188.5806183969167,-24.327681388136682,0.1737340887834495,0.09101023092774276,0.0827238578557068,0.07623552883458509,0.04209200941302928,0.034143519421555815,0.04582922844779209,0.039881171357667514,0.005948057090124582,5.163100429043598,5.345737084125118,-0.1826366550815217,0.018973924104303583,0.02671189315242739,-0.007737969048123808,0.28770285714285715,0.05335134285714286,0.5185421057142857,0.14446748571428572,0.39472485714285716,0.6724005714285715,0.5864450285714286,7.0
291175,864691136100511093,864691136100511093,L2IT,L2a,115,5585,0.9865748101042219,113,0.9576271186440678,29,29,17,181.02714607682213,180.58853406329828,0.4386120135238518,0.04864493940131196,0.0748742874890277,-0.026229348087715747,0.014250947648507137,0.038918092815986564,-0.024667145167479438,0.03355375600227883,0.04104018359950328,-0.007486427597224449,5.543298293588978,5.334942255570024,0.20835603801895503,0.017547000895255148,0.0396598030438675,-0.022112802148612352,0.16356766666666667,0.06641046666666667,0.33264372000000003,0.20256740666666664,0.1749666666666667,0.5583706666666667,0.41873515666666666,3.0
256459,864691136137737085,864691135492613471,L2IT,L2b,78,2547,0.9895104895104895,32,0.9142857142857143,21,21,7,95.22289009395396,175.99589137717635,-80.7730012832224,0.4971272097762896,0.1263198734033625,0.37080733637292723,0.4761904761904762,0.08859919791240747,0.38759127827806866,0.06652988335423078,0.08515860402152149,-0.01862872066729071,4.802244194428498,4.8422913496008615,-0.040047155172364506,0.02198665096191598,0.0691009030231645,-0.04711425206124852,,,,,,,,
256606,864691135334986985,864691135701668987,L2IT,L2c,103,7685,0.9872816032887975,180,0.967741935483871,40,40,24,202.30045682555965,200.93800092206186,1.3624559034977608,0.07785881126202045,0.08526580125384081,-0.007406989991820358,0.049136390439113165,0.04034693202884286,0.008789458410270309,0.04245283018867925,0.03833078701552189,0.004122043173157357,5.3478213382226985,5.333021195608918,0.01480014261378059,0.017826935588809368,0.03825634352635003,-0.020429407937540663,0.227629,0.11286800000000001,0.43602666,0.35210738,0.09839550000000001,0.156545,0.6285445,3.0
