post_soma_id,pre_soma_id,m_type_pre,n_contacts,n_axonal_clumps,actual_pair_tree_distance_um,matched_pair_tree_distance_um,tree_distance_delta_um,tree_distance_null_sd,actual_shared_path_fraction,matched_shared_path_fraction,shared_path_delta,shared_path_null_sd,actual_route_overlap,matched_route_overlap,route_overlap_delta,route_overlap_null_sd,control
255117,256424,PTC,6,6,246.75844866543505,205.36186425013787,41.396584415297184,21.494849992531464,0.015909058249536926,0.025476312280317596,-0.00956725403078067,0.03239169630038513,0.0,0.01956649779999325,-0.01956649779999325,0.03244572379668993,joint path-distance and 3D matched
255117,256446,DTC,13,13,182.69004167726453,173.2774570177318,9.41258465953274,13.371757173872247,0.05175266595530396,0.05442500956561278,-0.002672343610308825,0.02224664839981017,0.03931599004183813,0.03364738145391753,0.0056686085879206,0.020011991338054605,joint path-distance and 3D matched
255117,256514,PTC,7,7,121.45301130242163,143.00256164453256,-21.549550342110933,28.520103678123924,0.08705458281964905,0.06831800156250163,0.018736581257147417,0.04305391849191081,0.040829414201697424,0.050906973451632365,-0.01007755924993494,0.0444471035208853,joint path-distance and 3D matched
255117,256622,PTC,5,5,183.9365435119411,166.66194197236797,17.274601539573126,30.07966091166754,0.014124245183954536,0.04874996723278706,-0.03462572204883252,0.042750484788926194,0.0,0.026199012198173156,-0.026199012198173156,0.04526754827072345,joint path-distance and 3D matched
255117,260505,DTC,14,14,202.62786847071297,190.2567354927214,12.371132977991579,10.65416429473677,0.05490962137218932,0.040609803354854854,0.014299818017334466,0.01301099277543628,0.04395604395604396,0.02400787789134745,0.01994816606469651,0.013475391371653397,joint path-distance and 3D matched
255117,260620,PTC,2,2,152.85889916273936,150.63633167574594,2.2225674869934267,37.247204903252126,0.0,0.004284732104590786,-0.004284732104590786,0.0634841533923871,0.0,0.004,-0.004,0.06318214912406725,joint path-distance and 3D matched
255117,260803,PTC,7,7,157.64926911615416,153.60001706573993,4.049252050414225,17.017716781281294,0.0313463854289794,0.04209936915955032,-0.010752983730570924,0.034800649964282414,0.024900576439757988,0.035428803594329455,-0.010528227154571468,0.03248117245148972,joint path-distance and 3D matched
255117,262678,DTC,12,12,203.47318275409373,201.6503499454503,1.822832808643426,10.12951064504686,0.03927135639707567,0.03322489061441799,0.006046465782657683,0.015913761455093673,0.025324896093796075,0.02068964345809222,0.004635252635703854,0.01607349561296224,joint path-distance and 3D matched
255117,264792,DTC,4,4,180.10749245698662,196.90891110018316,-16.80141864319654,26.84908539082413,0.16666666666666666,0.0820376959674989,0.08462897069916776,0.07905801386657954,0.16666666666666666,0.06333333333333332,0.10333333333333333,0.08884573657521762,joint path-distance and 3D matched
255117,267317,DTC,2,2,204.76969650783658,272.6417027101349,-67.87200620229831,26.85594175000715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joint path-distance and 3D matched
255117,269334,DTC,4,4,195.52706081058787,184.988048493867,10.539012316720857,32.304943050376764,0.0790650571569896,0.07203049076449412,0.007034566392495473,0.06514986094912972,0.05946970762741238,0.05128103838520821,0.008188669242204176,0.0681993574808934,joint path-distance and 3D matched
255117,269414,DTC,2,2,219.1648259236817,195.7308111502076,23.434014773474104,83.15404709183338,0.0,0.1324279039343046,-0.1324279039343046,0.23228242142558383,0.0,0.06026166141915108,-0.06026166141915108,0.228216078890763,joint path-distance and 3D matched
255117,269485,DTC,14,14,194.40822534728375,202.55803369529733,-8.149808348013579,12.70786813763472,0.02815641744093844,0.035765764720784354,-0.007609347279845913,0.012150589466730519,0.01098901098901099,0.019471939660514602,-0.008482928671503612,0.01231795758483975,joint path-distance and 3D matched
255117,269633,DTC,6,6,168.94895793548324,201.7216313095067,-32.77267337402347,28.72109484868422,0.2807362041296538,0.21048909750104908,0.0702471066286047,0.0793425169143739,0.18996540982408358,0.11333382232708754,0.07663158749699604,0.08649596479880814,joint path-distance and 3D matched
255117,291116,DTC,13,13,201.97460923130197,195.6744936955861,6.300115535715861,11.394015224487989,0.06857456575421744,0.057481561704848985,0.011093004049368457,0.017533227452366552,0.033831105028464314,0.033948640118213656,-0.00011753508974934185,0.0175390338159716,joint path-distance and 3D matched
255117,291125,STC,3,3,218.85307971243526,175.6640021928069,43.18907751962837,37.5860361938838,0.0,0.1600052210030824,-0.1600052210030824,0.15906366338941488,0.0,0.13539053594451916,-0.13539053594451916,0.16168909441601265,joint path-distance and 3D matched
255117,291204,DTC,2,2,289.50314819145615,293.1051177006458,-3.6019695091896438,9.262595004787297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joint path-distance and 3D matched
255117,292649,PTC,7,7,130.56266978358047,143.13972245540276,-12.577052671822287,23.886730670072573,0.06494676223861762,0.08282534774770102,-0.017878585509083403,0.05617420587648102,0.047619047619047616,0.06628581542605497,-0.01866676780700735,0.05687723769171855,joint path-distance and 3D matched
255117,292669,PTC,4,4,196.7489373981182,198.05956124924813,-1.3106238511299466,26.062714680616008,0.0,0.06360243303883988,-0.06360243303883988,0.08240356875055424,0.0,0.05099999999999999,-0.05099999999999999,0.08512829721842172,joint path-distance and 3D matched
255117,292670,DTC,5,5,194.64669869859978,191.45951116123172,3.187187537368061,17.525125862621657,0.0378873991466902,0.05332122834428216,-0.01543382919759196,0.057319830885911624,0.0,0.029808542767820054,-0.029808542767820054,0.05334756856243921,joint path-distance and 3D matched
