synapse_id,pre_soma_id,post_soma_id,pre_pt_root_id,post_pt_root_id,m_type_pre,m_type_post,ctr_pt_position_um_x,ctr_pt_position_um_y,ctr_pt_position_um_z,ctr_pt_position_x,ctr_pt_position_y,ctr_pt_position_z,pre_pt_position_x,pre_pt_position_y,pre_pt_position_z,post_pt_position_x,post_pt_position_y,post_pt_position_z,synapse_size,dist_to_root,is_apical,is_soma,is_dendrite,is_proximal,syn_depth_um,soma_depth_um,valence,syn_in_conn,is_multisyn,syn_clump_comp,syn_in_clump,is_clumped,clump_in_conn,nearest_skeleton_um,segment_id,mapping_pass,compartment,x_um,y_um,z_um,path_length_um,topological_depth,major_branch_id,descendant_input_count,descendant_input_fraction,descendant_input_size,descendant_size_fraction,route_specificity_bits,is_clump_representative
145658414,296530,255117,864691136388711031,864691135938349828,PTC,L2a,628.7305128193547,106.4971494645024,872.0000000000002,167548,111614,21800,167596,111592,21799,167544,111658,21803,4496,40.232989532470704,False,False,True,True,106.4971494645024,100.27259980860948,Exc,1,False,54,1,False,1,2.514563291255717,3897,True,other_dendrite,628.7305128193547,106.4971494645024,872.0000000000002,102.53225972495613,3,3826,118.0,0.017717717717717716,1107560.0,0.01859002243035355,5.818663412596783,True
143837091,294506,255117,864691135494434448,864691135938349828,PTC,L2a,638.9579081934402,104.05924875648844,855.2800000000002,170042,110784,21382,170044,110746,21379,170038,110852,21373,2416,0.0,False,True,True,True,104.05924875648844,100.27259980860948,Exc,1,False,373,1,False,1,2.2217891589070913,3826,True,soma,638.9579081934402,104.05924875648844,855.2800000000002,32.48319803835654,1,3826,297.0,0.0445945945945946,2785812.0,0.04675891831300162,4.4869873411578585,True
146240845,256622,255117,864691135661637872,864691135938349828,PTC,L2a,626.6561049536756,121.21234868186974,840.6800000000003,167352,115324,21017,167352,115370,21019,167348,115294,21012,5480,28.69376800537109,False,False,True,True,121.21234868186974,100.27259980860948,Exc,10,True,521,2,True,6,1.2840709777663235,4343,True,other_dendrite,626.6561049536756,121.21234868186974,840.6800000000003,85.81839341285158,2,2198,99.0,0.014864864864864866,854096.0,0.014335714361005492,6.0719498418790145,True
150718374,256622,255117,864691135661637872,864691135938349828,PTC,L2a,648.924995995634,101.42993235419674,827.8400000000003,172467,109912,20696,172418,110008,20691,172356,109974,20691,4816,16.18829608154297,False,False,True,True,101.42993235419674,100.27259980860948,Exc,10,True,522,2,True,6,2.541975883166161,3490,True,other_dendrite,648.924995995634,101.42993235419674,827.8400000000003,36.24069607065921,1,3490,363.0,0.0545045045045045,3417212.0,0.05735675514579193,4.197480723962874,False
150718580,256622,255117,864691135661637872,864691135938349828,PTC,L2a,649.872972340631,101.28801389406492,827.8400000000003,172700,109856,20696,172682,109914,20690,172704,109842,20701,8108,16.18829608154297,False,False,True,True,101.28801389406492,100.27259980860948,Exc,10,True,522,2,True,6,1.9319751603445392,3490,True,other_dendrite,649.872972340631,101.28801389406492,827.8400000000003,36.24069607065921,1,3490,363.0,0.0545045045045045,3417212.0,0.05735675514579193,4.197480723962874,True
166049424,256622,255117,864691135661637872,864691135938349828,PTC,L2a,682.6104047301585,85.0314078355693,889.6800000000003,180499,105094,22242,180524,105038,22240,180436,105002,22242,4624,70.63873895263671,True,False,True,False,85.0314078355693,100.27259980860948,Exc,10,True,549,3,True,6,0.7439253721513964,118,True,apical,682.6104047301585,85.0314078355693,889.6800000000003,123.61488340440417,5,8,690.0,0.1036036036036036,5872172.0,0.09856243381387379,3.270853910293093,False
166886838,256622,255117,864691135661637872,864691135938349828,PTC,L2a,682.2686602580374,80.58470178324538,892.5600000000003,180317,103994,22314,180338,103958,22307,180230,103964,22312,6376,76.12058978271484,True,False,True,False,80.58470178324538,100.27259980860948,Exc,10,True,549,3,True,6,1.443307396358449,118,True,apical,682.2686602580374,80.58470178324538,892.5600000000003,123.61488340440417,5,8,690.0,0.1036036036036036,5872172.0,0.09856243381387379,3.270853910293093,True
146243968,256622,255117,864691135661637872,864691135938349828,PTC,L2a,638.227909794444,122.8671951179991,841.0000000000002,170270,115484,21025,170320,115494,21032,170212,115572,21021,1888,23.5577216796875,False,False,False,True,122.8671951179991,100.27259980860948,Exc,10,True,632,1,False,6,7.856396840106393,2198,False,other_dendrite,638.227909794444,122.8671951179991,841.0000000000002,26.74483668897721,1,2198,358.0,0.053753753753753755,3123556.0,0.0524278378620259,4.217490684694368,False
166886409,256622,255117,864691135661637872,864691135938349828,PTC,L2a,680.6690262517835,76.517808737438,895.9600000000003,179830,103016,22399,179842,103040,22393,179780,103030,22402,2852,81.7202163696289,True,False,True,False,76.517808737438,100.27259980860948,Exc,10,True,549,3,True,6,1.0562971419888112,118,True,apical,680.6690262517835,76.517808737438,895.9600000000003,123.61488340440417,5,8,690.0,0.1036036036036036,5872172.0,0.09856243381387379,3.270853910293093,False
135402429,256622,255117,864691135661637872,864691135938349828,PTC,L2a,617.7275793387677,86.68278097035707,851.8800000000002,164376,106919,21297,164378,106900,21293,164416,106898,21305,4720,35.903891235351566,True,False,True,True,86.68278097035707,100.27259980860948,Exc,10,True,648,1,False,6,1.0872077406754443,3190,True,apical,617.7275793387677,86.68278097035707,851.8800000000002,110.70584207836603,4,327,132.0,0.01981981981981982,1364268.0,0.02289877994963124,5.6569123426001715,True
