post_soma_id,tree_distance_delta_um,shared_path_delta,route_overlap_delta
255117,1.5621104946114195,-0.012166880369183918,-0.012238821051379366
255156,-11.375602989613505,0.03774225433359016,0.05267242992227599
255213,-3.5681103683111943,-0.006593165179610301,-0.003656092769358051
256459,-59.650485853627664,0.3123449655656053,0.3100057828403506
256512,11.428649818005173,0.004307044494504745,0.01630615101054757
256521,-16.839085356960055,0.015526160908476609,-0.0017842507747480461
256530,-7.313818320683352,-0.011914857200874405,-0.01421731994813053
256606,-2.782564258518518,-0.013924413411826096,-0.0053885496690942265
256609,-5.196882568601817,-0.007862901934460239,-0.00061911081510282
256610,-8.302611250555318,0.026617498025022102,0.01775491303929793
258301,-13.609552274482418,0.0018267236501329069,0.015340592017052441
262777,20.18910410487934,-0.037641865664159134,-0.009676282030847009
262910,22.103483969605332,-0.016064427532795737,-0.021764006721380107
262925,3.3227519711332687,-0.008602302183304052,-0.009789313818702471
264990,-3.784353568673741,-0.021012845489137826,0.0027442721321052003
267033,-6.855414183073258,-0.0008649186685309157,0.006280727383380273
291175,0.2546047567926254,-0.038371649458442236,-0.033794408505695185
294510,7.729187529882404,-0.014475790430941255,-0.017918734718584822
294539,-10.632092142453768,0.004312032681765493,0.0031522804237939486
294583,-2.1286721523914327,0.0005154735673217855,0.008690701193946292
