post_soma_id,segment_id,parent_segment_id,edge_length_um,mean_radius_um,x_um,y_um,z_um,n_skeleton_nodes,topological_depth,path_length_um,n_children,is_leaf,is_branchpoint,major_branch_id,input_count,input_size,known_inhibitory_count,known_inhibitory_size,descendant_input_count,descendant_input_size,descendant_input_fraction,descendant_size_fraction,route_specificity_bits
255117,0,-1,0.0,6.62,640.47,100.273,841.36,1,0,0.0,12,False,True,0,6,32192.0,0,0.0,6660.0,59578196.0,1.0,1.0,-0.0
255117,8,0,13.984715008759775,2.0068591626750587,646.737,96.026,853.117,8,1,13.984715008759775,2,False,True,8,28,134284.0,1,3844.0,1483.0,12559492.0,0.22267267267267268,0.21080685289631798,2.167003579503994
255117,35,8,26.880201991773323,0.6284583242079437,669.559,92.549,866.499,27,2,40.8649170005331,2,False,True,8,34,213328.0,2,7404.0,1123.0,9574388.0,0.16861861861861863,0.16070288533073407,2.5681642495580235
255117,37,35,1.9964454776365201,0.808327611689839,671.142,92.409,867.695,2,3,42.86136247816962,2,False,True,8,2,15300.0,1,5264.0,958.0,8273060.0,0.14384384384384385,0.1388605321315872,2.797424616222444
255117,58,37,20.8640986489012,0.6626364210661422,682.095,88.008,884.64,21,4,63.725461127070815,2,False,True,8,37,364344.0,4,19388.0,812.0,7038756.0,0.12192192192192192,0.11814315425059195,3.0359705447734484
255117,118,58,59.889422277333345,0.5849516548861269,681.395,42.573,920.77,60,5,123.61488340440417,2,False,True,8,129,1217544.0,11,37720.0,690.0,5872172.0,0.1036036036036036,0.09856243381387379,3.270853910293093
255117,121,118,2.9783047157296063,0.5440597299135751,682.62,40.713,922.739,3,6,126.59318812013377,2,False,True,8,1,5588.0,0,0.0,490.0,3990940.0,0.07357357357357357,0.06698658683790963,3.764668522956054
255117,134,121,12.978373623937802,0.536884431593086,685.927,36.247,934.28,13,7,139.57156174407157,2,False,True,8,21,200980.0,0,0.0,401.0,3222808.0,0.06021021021021021,0.054093749330711524,4.053848035503704
255117,172,134,37.955160727297496,0.451515494996229,699.424,32.415,967.173,38,8,177.52672247136906,2,False,True,8,57,420320.0,0,0.0,317.0,2545472.0,0.047597597597597595,0.042724892173640165,4.392967431819217
255117,275,172,102.706930278102,0.34945198289183627,738.512,34.961,1055.609,103,9,280.23365274947105,4,False,True,8,105,865688.0,0,0.0,139.0,1115416.0,0.02087087087087087,0.0187218827505284,5.582365389235117
