post_soma_id,v661_root_id,v795_root_id,cell_type,cell_type_manual,m_type,has_digital_twin
255117,864691135938349828,864691135938349828,L2IT,23P,L2a,True
255156,864691136066733720,864691136066733720,L2IT,23P,L2a,True
255213,864691135455195242,864691135455195242,L2IT,23P,L2a,True
256459,864691136137737085,864691135492613471,L2IT,23P,L2b,False
256512,864691136663284190,864691136663284190,L2IT,23P,L2a,True
256521,864691135572379429,864691135572379429,L2IT,23P,L2a,True
256530,864691135404277230,864691135404277230,L2IT,23P,L2a,False
256606,864691135334986985,864691135701668987,L2IT,23P,L2c,True
256609,864691135404231406,864691135404231406,L2IT,23P,L2a,True
256610,864691135947212897,864691135947212897,L2IT,23P,L2a,True
258301,864691136953057759,864691136953057759,L2IT,23P,L3a,True
291175,864691136100511093,864691136100511093,L2IT,23P,L2a,True
294539,864691134941194851,864691135066365508,L2IT,23P,L3a,True
294583,864691135856845358,864691135856845358,L2IT,23P,L3a,True
294510,864691135658994050,864691135468657292,L3IT,23P,L3a,True
262777,864691135367232761,864691135367232761,L4IT,Unsure E,L4c,True
262910,864691136275165965,864691136275165965,L4IT,4P,L4c,False
262925,864691136066697624,864691136066697624,L4IT,4P,L4a,True
264990,864691136673975943,864691136673975943,L4IT,4P,L4c,True
267033,864691136195348812,864691135492596063,L5ET,5P-PT,L5ET,False
