task_id,family,policy,candidate_id,shape,permutation_index,score_tie_count,nmse,regret,oracle_nmse,best_restart,best_nmse,best_restart_parameter_norm,minimum_norm_equivalent_restart,equivalent_nmse,minimum_equivalent_parameter_norm,n_equivalent_restarts
matching_000,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,1,4.294314154494808e-31,0.0,4.294314154494808e-31,1,4.294314154494808e-31,2.6457513110645907,1,4.294314154494808e-31,2.6457513110645907,4
matching_000,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,1,4.294314154494808e-31,0.0,4.294314154494808e-31,1,4.294314154494808e-31,2.6457513110645907,1,4.294314154494808e-31,2.6457513110645907,4
matching_000,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,1,4.294314154494808e-31,0.0,4.294314154494808e-31,1,4.294314154494808e-31,2.6457513110645907,1,4.294314154494808e-31,2.6457513110645907,4
matching_000,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,1,4.294314154494808e-31,0.0,4.294314154494808e-31,1,4.294314154494808e-31,2.6457513110645907,1,4.294314154494808e-31,2.6457513110645907,4
matching_000,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,4.294314154494808e-31,0.0,4.294314154494808e-31,1,4.294314154494808e-31,2.6457513110645907,1,4.294314154494808e-31,2.6457513110645907,4
matching_000,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.5,4.294314154494808e-31,1,0.5,2.549509756796392,1,0.5,2.549509756796392,3
matching_001,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,3,0.25,0.0,0.25,0,0.25,2.598076211353316,0,0.25,2.598076211353316,4
matching_001,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,1,0.25,0.0,0.25,0,0.25,2.598076211353316,0,0.25,2.598076211353316,4
matching_001,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,3,0.25,0.0,0.25,0,0.25,2.598076211353316,0,0.25,2.598076211353316,4
matching_001,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,1,0.25,0.0,0.25,0,0.25,2.598076211353316,0,0.25,2.598076211353316,4
matching_001,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.25,0.0,0.25,0,0.25,2.598076211353316,0,0.25,2.598076211353316,4
matching_001,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.25,0.25,0,0.5,2.3452078799117144,0,0.5,2.3452078799117144,1
matching_002,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,3,0.2499999999999999,0.0,0.2499999999999999,1,0.2499999999999999,2.598076211353316,0,0.25,2.598076211353316,4
matching_002,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999,1,0.2499999999999999,2.598076211353316,0,0.25,2.598076211353316,4
matching_002,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,3,0.2499999999999999,0.0,0.2499999999999999,1,0.2499999999999999,2.598076211353316,0,0.25,2.598076211353316,4
matching_002,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999,1,0.2499999999999999,2.598076211353316,0,0.25,2.598076211353316,4
matching_002,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999,1,0.2499999999999999,2.598076211353316,0,0.25,2.598076211353316,4
matching_002,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.2500000000000001,0.2499999999999999,0,0.5,2.549509756796392,3,0.5,2.3452078799117144,4
matching_003,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,2,0.4999999999999999,0.0,0.4999999999999999,2,0.4999999999999999,2.549509756796392,2,0.4999999999999999,2.549509756796392,3
matching_003,quadratic_matching,centered_cut_sum,comb_p0,comb,0,3,0.75,0.2500000000000001,0.4999999999999999,0,0.75,2.5,0,0.75,2.5,3
matching_003,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,2,0.4999999999999999,0.0,0.4999999999999999,2,0.4999999999999999,2.549509756796392,2,0.4999999999999999,2.549509756796392,3
matching_003,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,3,0.5,1.1102230246251565e-16,0.4999999999999999,0,0.5,2.431155345294767,0,0.5,2.431155345294767,4
matching_003,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999,0,0.5,2.431155345294767,0,0.5,2.431155345294767,4
