task_id,family,candidate_id,shape,normalized_mse,mean_restart_error,restart_std,centered_cut_bound,centered_cut_sum,full_cut_bound,pilot_error,optimization_gap_above_bound
matching_002,quadratic_matching,balanced_p2,balanced,0.5,0.5,0.0,0.5,1.5,0.5,0.5000009404389487,0.0
matching_002,quadratic_matching,balanced_p3,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_002,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.2500000000000001,1.0,0.25,0.7500009112855746,0.4999999999999999
matching_002,quadratic_matching,comb_p1,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.750000002811566,0.0
matching_002,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,2.75,0.5,0.7500000000001064,0.0
matching_002,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500000028115661,0.0
matching_002,quadratic_matching,mixed_p0,mixed,0.5,0.5,0.0,0.25,1.5,0.25,0.5,0.25
matching_002,quadratic_matching,mixed_p1,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_002,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_002,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.75,0.0
matching_003,quadratic_matching,balanced_p0,balanced,0.5,0.5,0.0,0.5,1.5,0.5,0.5000000000002753,0.0
matching_003,quadratic_matching,balanced_p1,balanced,0.5,0.6875,0.125,0.5,2.0,0.5,0.5,0.0
matching_003,quadratic_matching,balanced_p2,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_003,quadratic_matching,balanced_p3,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_003,quadratic_matching,comb_p0,comb,0.75,0.7500011648456381,2.3296912761057906e-06,0.5,1.25,0.5,0.7500019042108772,0.25
matching_003,quadratic_matching,comb_p1,comb,0.75,0.7500138447981979,2.7689596395763516e-05,0.5,2.0,0.5,0.7500000105712725,0.25
matching_003,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500923806160873,0.0
matching_003,quadratic_matching,comb_p3,comb,0.75,0.75,6.409875621278546e-17,0.75,3.0,0.5,0.7500923806160873,0.0
matching_003,quadratic_matching,mixed_p0,mixed,0.4999999999999999,0.5625,0.125,0.25,1.25,0.25,0.5,0.2499999999999999
matching_003,quadratic_matching,mixed_p1,mixed,0.5,0.5,0.0,0.25,1.25,0.25,0.5000000168626493,0.25
matching_003,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_003,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_004,quadratic_matching,balanced_p0,balanced,0.5,0.5,0.0,0.5,1.75,0.5,0.5,0.0
