task_id,family,policy,candidate_id,normalized_mse,regret
matching_009,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_009,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_009,quadratic_matching,uniform_random_expectation,average,0.625,0.375
matching_010,quadratic_matching,centered_cut_bound,balanced_p0,0.5,0.0
matching_010,quadratic_matching,centered_cut_sum,balanced_p0,0.5,0.0
matching_010,quadratic_matching,full_cut_bound,balanced_p0,0.5,0.0
matching_010,quadratic_matching,two_sweep_pilot,mixed_p0,0.5,0.0
matching_010,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.0
matching_010,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.0
matching_010,quadratic_matching,uniform_random_expectation,average,0.6666666666666666,0.16666666666666663
matching_011,quadratic_matching,centered_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_011,quadratic_matching,centered_cut_sum,balanced_p0,0.5,1.1102230246251565e-16
matching_011,quadratic_matching,full_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_011,quadratic_matching,two_sweep_pilot,mixed_p2,0.4999999999999999,0.0
matching_011,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_011,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
matching_011,quadratic_matching,uniform_random_expectation,average,0.6458333333333334,0.14583333333333348
matching_012,quadratic_matching,centered_cut_bound,mixed_p0,0.25,0.0
matching_012,quadratic_matching,centered_cut_sum,mixed_p0,0.25,0.0
matching_012,quadratic_matching,full_cut_bound,mixed_p0,0.25,0.0
matching_012,quadratic_matching,two_sweep_pilot,mixed_p0,0.25,0.0
matching_012,quadratic_matching,fixed_balanced_p0,balanced_p0,0.7499999999999999,0.4999999999999999
matching_012,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.5
matching_012,quadratic_matching,uniform_random_expectation,average,0.6875,0.4375
matching_013,quadratic_matching,centered_cut_bound,balanced_p0,0.75,0.2500000000000001
matching_013,quadratic_matching,centered_cut_sum,balanced_p0,0.75,0.2500000000000001
matching_013,quadratic_matching,full_cut_bound,balanced_p0,0.75,0.2500000000000001
matching_013,quadratic_matching,two_sweep_pilot,balanced_p3,0.5,1.1102230246251565e-16
matching_013,quadratic_matching,fixed_balanced_p0,balanced_p0,0.75,0.2500000000000001
matching_013,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.2500000000000001
matching_013,quadratic_matching,uniform_random_expectation,average,0.6875,0.1875000000000001
matching_014,quadratic_matching,centered_cut_bound,mixed_p2,0.25,0.0
matching_014,quadratic_matching,centered_cut_sum,mixed_p2,0.25,0.0
matching_014,quadratic_matching,full_cut_bound,mixed_p2,0.25,0.0
matching_014,quadratic_matching,two_sweep_pilot,mixed_p2,0.25,0.0
matching_014,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_014,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_014,quadratic_matching,uniform_random_expectation,average,0.6041666666666666,0.35416666666666663
matching_015,quadratic_matching,centered_cut_bound,balanced_p0,0.2499999999999999,0.0
matching_015,quadratic_matching,centered_cut_sum,balanced_p0,0.2499999999999999,0.0
matching_015,quadratic_matching,full_cut_bound,balanced_p0,0.2499999999999999,0.0
matching_015,quadratic_matching,two_sweep_pilot,balanced_p0,0.2499999999999999,0.0
matching_015,quadratic_matching,fixed_balanced_p0,balanced_p0,0.2499999999999999,0.0
matching_015,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.2500000000000001
matching_015,quadratic_matching,uniform_random_expectation,average,0.6041666666666666,0.35416666666666674
matching_016,quadratic_matching,centered_cut_bound,balanced_p0,0.4999999999999999,0.0
matching_016,quadratic_matching,centered_cut_sum,balanced_p0,0.4999999999999999,0.0
matching_016,quadratic_matching,full_cut_bound,balanced_p0,0.4999999999999999,0.0
matching_016,quadratic_matching,two_sweep_pilot,balanced_p0,0.4999999999999999,0.0
matching_016,quadratic_matching,fixed_balanced_p0,balanced_p0,0.4999999999999999,0.0
matching_016,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
matching_016,quadratic_matching,uniform_random_expectation,average,0.625,0.1250000000000001
matching_017,quadratic_matching,centered_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_017,quadratic_matching,centered_cut_sum,balanced_p0,0.5,1.1102230246251565e-16
matching_017,quadratic_matching,full_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_017,quadratic_matching,two_sweep_pilot,balanced_p1,0.5,1.1102230246251565e-16
matching_017,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_017,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
matching_017,quadratic_matching,uniform_random_expectation,average,0.6458333333333334,0.14583333333333348
matching_018,quadratic_matching,centered_cut_bound,mixed_p0,0.5,0.0
matching_018,quadratic_matching,centered_cut_sum,mixed_p0,0.5,0.0
matching_018,quadratic_matching,full_cut_bound,mixed_p0,0.5,0.0
matching_018,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,0.0
matching_018,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.0
matching_018,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.25
matching_018,quadratic_matching,uniform_random_expectation,average,0.6666666666666666,0.16666666666666663
matching_019,quadratic_matching,centered_cut_bound,mixed_p0,0.5,1.1102230246251565e-16
matching_019,quadratic_matching,centered_cut_sum,mixed_p0,0.5,1.1102230246251565e-16
matching_019,quadratic_matching,full_cut_bound,mixed_p0,0.5,1.1102230246251565e-16
matching_019,quadratic_matching,two_sweep_pilot,mixed_p3,0.4999999999999999,0.0
matching_019,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_019,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.4999999999999999,0.0
matching_019,quadratic_matching,uniform_random_expectation,average,0.6041666666666666,0.10416666666666674
matching_020,quadratic_matching,centered_cut_bound,mixed_p0,0.4999999999999999,0.0
matching_020,quadratic_matching,centered_cut_sum,mixed_p1,0.5,1.1102230246251565e-16
matching_020,quadratic_matching,full_cut_bound,mixed_p0,0.4999999999999999,0.0
matching_020,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,1.1102230246251565e-16
matching_020,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_020,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.2500000000000001
matching_020,quadratic_matching,uniform_random_expectation,average,0.6666666666666666,0.16666666666666674
matching_021,quadratic_matching,centered_cut_bound,mixed_p0,0.2499999999999999,0.0
matching_021,quadratic_matching,centered_cut_sum,mixed_p0,0.2499999999999999,0.0
matching_021,quadratic_matching,full_cut_bound,mixed_p0,0.2499999999999999,0.0
matching_021,quadratic_matching,two_sweep_pilot,mixed_p0,0.2499999999999999,0.0
matching_021,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.2500000000000001
matching_021,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.5000000000000001
matching_021,quadratic_matching,uniform_random_expectation,average,0.6250000000001744,0.3750000000001745
matching_022,quadratic_matching,centered_cut_bound,mixed_p3,0.25,0.0
matching_022,quadratic_matching,centered_cut_sum,mixed_p3,0.25,0.0
matching_022,quadratic_matching,full_cut_bound,mixed_p3,0.25,0.0
matching_022,quadratic_matching,two_sweep_pilot,mixed_p3,0.25,0.0
matching_022,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_022,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_022,quadratic_matching,uniform_random_expectation,average,0.5833333333333334,0.33333333333333337
matching_023,quadratic_matching,centered_cut_bound,balanced_p1,0.25,0.0
matching_023,quadratic_matching,centered_cut_sum,balanced_p1,0.25,0.0
matching_023,quadratic_matching,full_cut_bound,balanced_p1,0.25,0.0
matching_023,quadratic_matching,two_sweep_pilot,balanced_p1,0.25,0.0
matching_023,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_023,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.5
matching_023,quadratic_matching,uniform_random_expectation,average,0.625,0.375
matching_024,quadratic_matching,centered_cut_bound,mixed_p0,0.25,0.0
matching_024,quadratic_matching,centered_cut_sum,mixed_p0,0.25,0.0
matching_024,quadratic_matching,full_cut_bound,mixed_p0,0.25,0.0
matching_024,quadratic_matching,two_sweep_pilot,mixed_p0,0.25,0.0
matching_024,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_024,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_024,quadratic_matching,uniform_random_expectation,average,0.5833333333333334,0.33333333333333337
matching_025,quadratic_matching,centered_cut_bound,mixed_p1,0.25,0.0
matching_025,quadratic_matching,centered_cut_sum,mixed_p1,0.25,0.0
matching_025,quadratic_matching,full_cut_bound,mixed_p1,0.25,0.0
matching_025,quadratic_matching,two_sweep_pilot,mixed_p1,0.25,0.0
matching_025,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_025,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_025,quadratic_matching,uniform_random_expectation,average,0.625,0.375
matching_026,quadratic_matching,centered_cut_bound,mixed_p1,0.25,0.0
matching_026,quadratic_matching,centered_cut_sum,mixed_p1,0.25,0.0
matching_026,quadratic_matching,full_cut_bound,mixed_p1,0.25,0.0
matching_026,quadratic_matching,two_sweep_pilot,mixed_p1,0.25,0.0
matching_026,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_026,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_026,quadratic_matching,uniform_random_expectation,average,0.6041666666201005,0.35416666662010055
matching_027,quadratic_matching,centered_cut_bound,mixed_p0,0.25,0.0
matching_027,quadratic_matching,centered_cut_sum,mixed_p0,0.25,0.0
matching_027,quadratic_matching,full_cut_bound,mixed_p0,0.25,0.0
matching_027,quadratic_matching,two_sweep_pilot,mixed_p0,0.25,0.0
matching_027,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_027,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.5
matching_027,quadratic_matching,uniform_random_expectation,average,0.625,0.375
matching_028,quadratic_matching,centered_cut_bound,balanced_p1,0.5,1.1102230246251565e-16
matching_028,quadratic_matching,centered_cut_sum,balanced_p1,0.5,1.1102230246251565e-16
matching_028,quadratic_matching,full_cut_bound,balanced_p1,0.5,1.1102230246251565e-16
matching_028,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,1.1102230246251565e-16
matching_028,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_028,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.2500000000000001
matching_028,quadratic_matching,uniform_random_expectation,average,0.6458333333333334,0.14583333333333348
matching_029,quadratic_matching,centered_cut_bound,mixed_p2,0.5,1.1102230246251565e-16
matching_029,quadratic_matching,centered_cut_sum,mixed_p2,0.5,1.1102230246251565e-16
matching_029,quadratic_matching,full_cut_bound,mixed_p2,0.5,1.1102230246251565e-16
matching_029,quadratic_matching,two_sweep_pilot,balanced_p1,0.5,1.1102230246251565e-16
matching_029,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_029,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
matching_029,quadratic_matching,uniform_random_expectation,average,0.5833333333333334,0.08333333333333348
matching_030,quadratic_matching,centered_cut_bound,balanced_p0,0.2499999999999999,0.0
matching_030,quadratic_matching,centered_cut_sum,balanced_p0,0.2499999999999999,0.0
matching_030,quadratic_matching,full_cut_bound,balanced_p0,0.2499999999999999,0.0
matching_030,quadratic_matching,two_sweep_pilot,balanced_p0,0.2499999999999999,0.0
matching_030,quadratic_matching,fixed_balanced_p0,balanced_p0,0.2499999999999999,0.0
matching_030,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.2500000000000001
matching_030,quadratic_matching,uniform_random_expectation,average,0.6041666666666666,0.35416666666666674
matching_031,quadratic_matching,centered_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_031,quadratic_matching,centered_cut_sum,balanced_p0,0.5,1.1102230246251565e-16
matching_031,quadratic_matching,full_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_031,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,1.1102230246251565e-16
matching_031,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_031,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
matching_031,quadratic_matching,uniform_random_expectation,average,0.625,0.1250000000000001
matching_032,quadratic_matching,centered_cut_bound,balanced_p0,0.4999999999999999,0.2499999999999999
matching_032,quadratic_matching,centered_cut_sum,balanced_p0,0.4999999999999999,0.2499999999999999
matching_032,quadratic_matching,full_cut_bound,balanced_p0,0.4999999999999999,0.2499999999999999
matching_032,quadratic_matching,two_sweep_pilot,mixed_p3,0.25,0.0
matching_032,quadratic_matching,fixed_balanced_p0,balanced_p0,0.4999999999999999,0.2499999999999999
matching_032,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.4999999999999999,0.2499999999999999
matching_032,quadratic_matching,uniform_random_expectation,average,0.625,0.375
matching_033,quadratic_matching,centered_cut_bound,mixed_p3,0.5,0.0
matching_033,quadratic_matching,centered_cut_sum,mixed_p3,0.5,0.0
matching_033,quadratic_matching,full_cut_bound,mixed_p3,0.5,0.0
matching_033,quadratic_matching,two_sweep_pilot,mixed_p3,0.5,0.0
matching_033,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.0
matching_033,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.25
matching_033,quadratic_matching,uniform_random_expectation,average,0.6875,0.1875
matching_034,quadratic_matching,centered_cut_bound,balanced_p0,0.4999999999999999,0.0
matching_034,quadratic_matching,centered_cut_sum,balanced_p1,0.5,1.1102230246251565e-16
matching_034,quadratic_matching,full_cut_bound,balanced_p0,0.4999999999999999,0.0
matching_034,quadratic_matching,two_sweep_pilot,balanced_p3,0.5,1.1102230246251565e-16
matching_034,quadratic_matching,fixed_balanced_p0,balanced_p0,0.4999999999999999,0.0
matching_034,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
matching_034,quadratic_matching,uniform_random_expectation,average,0.6458333333333334,0.14583333333333348
