task_id,family,shape,best_assignment_nmse,oracle_shape_tied,oracle_shape_weight,n_tied_shapes
matching_011,quadratic_matching,comb,0.75,False,0.0,2
matching_011,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_012,quadratic_matching,balanced,0.5,False,0.0,1
matching_012,quadratic_matching,comb,0.75,False,0.0,1
matching_012,quadratic_matching,mixed,0.25,True,1.0,1
matching_013,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_013,quadratic_matching,comb,0.7499999999999999,False,0.0,2
matching_013,quadratic_matching,mixed,0.5,True,0.5,2
matching_014,quadratic_matching,balanced,0.5,False,0.0,1
matching_014,quadratic_matching,comb,0.75,False,0.0,1
matching_014,quadratic_matching,mixed,0.25,True,1.0,1
matching_015,quadratic_matching,balanced,0.2499999999999999,True,1.0,1
matching_015,quadratic_matching,comb,0.75,False,0.0,1
matching_015,quadratic_matching,mixed,0.4999999999999999,False,0.0,1
matching_016,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_016,quadratic_matching,comb,0.75,False,0.0,2
matching_016,quadratic_matching,mixed,0.5,True,0.5,2
matching_017,quadratic_matching,balanced,0.5,True,0.5,2
matching_017,quadratic_matching,comb,0.75,False,0.0,2
matching_017,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_018,quadratic_matching,balanced,0.5,True,0.5,2
matching_018,quadratic_matching,comb,0.75,False,0.0,2
matching_018,quadratic_matching,mixed,0.5,True,0.5,2
matching_019,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_019,quadratic_matching,comb,0.75,False,0.0,2
matching_019,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_020,quadratic_matching,balanced,0.5,True,0.5,2
matching_020,quadratic_matching,comb,0.75,False,0.0,2
matching_020,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_021,quadratic_matching,balanced,0.4999999999999999,False,0.0,1
matching_021,quadratic_matching,comb,0.75,False,0.0,1
matching_021,quadratic_matching,mixed,0.2499999999999999,True,1.0,1
matching_022,quadratic_matching,balanced,0.4999999999999999,False,0.0,1
matching_022,quadratic_matching,comb,0.75,False,0.0,1
