family,shape,mean_assignment_spread,max_assignment_spread,n_assignment_sensitive,mean_bound_spread
quadratic_matching,balanced,0.22380952380952385,0.75,73,0.24761904761904763
quadratic_matching,comb,2.151442621939601e-11,2.256921760590558e-09,0,0.25952380952380955
quadratic_matching,mixed,0.31190476190476196,0.5000000000000001,97,0.4166666666666667
quartic_partition,balanced,0.057142857142857155,0.5,4,0.05714285714285714
quartic_partition,comb,6.3441315692866086e-18,1.1102230246251565e-16,0,0.0
quartic_partition,mixed,1.586032892321652e-17,1.1102230246251565e-16,0,0.0
