task_id,family,shape,min_nmse,max_nmse,mean_nmse,assignment_spread,bound_spread
matching_000,quadratic_matching,balanced,4.294314154494808e-31,0.75,0.5,0.75,0.75
matching_000,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.4999999999999999
matching_000,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_001,quadratic_matching,balanced,0.25,0.75,0.5,0.5,0.25
matching_001,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.4999999999999999
matching_001,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.5
matching_002,quadratic_matching,balanced,0.2499999999999999,0.75,0.5625,0.5000000000000001,0.5
matching_002,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.4999999999999999
matching_002,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.5
matching_003,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_003,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_003,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_004,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_004,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_004,quadratic_matching,mixed,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.5
matching_005,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_005,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_005,quadratic_matching,mixed,0.5,0.75,0.625,0.25,0.5
matching_006,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_006,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_006,quadratic_matching,mixed,0.25,0.75,0.625,0.5,0.5
matching_007,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_007,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_007,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_008,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_008,quadratic_matching,comb,0.75,0.7500000022569218,0.7500000011284609,2.256921760590558e-09,0.25
matching_008,quadratic_matching,mixed,0.4999999999999999,0.75,0.6875,0.2500000000000001,0.25
matching_009,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_009,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_009,quadratic_matching,mixed,0.25,0.75,0.625,0.5,0.5
matching_010,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_010,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_010,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.25
matching_011,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_011,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_011,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.25
matching_012,quadratic_matching,balanced,0.5,0.75,0.6875,0.25,0.25
matching_012,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_012,quadratic_matching,mixed,0.25,0.75,0.625,0.5,0.5
matching_013,quadratic_matching,balanced,0.4999999999999999,0.75,0.625,0.2500000000000001,0.25
