task_id,family,policy,candidate_id,shape,permutation_index,score_tie_count,nmse,regret,oracle_nmse
matching_000,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,1,4.294314154494808e-31,0.0,4.294314154494808e-31
matching_000,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,1,4.294314154494808e-31,0.0,4.294314154494808e-31
matching_000,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,1,4.294314154494808e-31,0.0,4.294314154494808e-31
matching_000,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,1,4.294314154494808e-31,0.0,4.294314154494808e-31
matching_000,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,4.294314154494808e-31,0.0,4.294314154494808e-31
matching_000,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.5,4.294314154494808e-31
matching_000,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.625,0.625,4.294314154494808e-31
matching_001,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,3,0.25,0.0,0.25
matching_001,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,1,0.25,0.0,0.25
matching_001,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,3,0.25,0.0,0.25
matching_001,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,1,0.25,0.0,0.25
matching_001,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.25,0.0,0.25
matching_001,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.25,0.25
matching_001,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6458333333333334,0.39583333333333337,0.25
matching_002,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,3,0.2499999999999999,0.0,0.2499999999999999
matching_002,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_002,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,3,0.2499999999999999,0.0,0.2499999999999999
matching_002,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_002,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_002,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.2500000000000001,0.2499999999999999
matching_002,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6666666666666666,0.41666666666666674,0.2499999999999999
matching_003,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,2,0.4999999999999999,0.0,0.4999999999999999
matching_003,quadratic_matching,centered_cut_sum,comb_p0,comb,0,3,0.75,0.2500000000000001,0.4999999999999999
matching_003,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,2,0.4999999999999999,0.0,0.4999999999999999
matching_003,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,3,0.5,1.1102230246251565e-16,0.4999999999999999
matching_003,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_003,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.2500000000000001,0.4999999999999999
matching_003,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6666666666666666,0.16666666666666674,0.4999999999999999
matching_004,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_004,quadratic_matching,centered_cut_sum,mixed_p1,mixed,1,1,0.5,1.1102230246251565e-16,0.4999999999999999
