task_id,candidate_id,family,best_restart,best_nmse,best_restart_parameter_norm,minimum_norm_equivalent_restart,equivalent_nmse,minimum_equivalent_parameter_norm,n_equivalent_restarts
matching_000,balanced_p0,quadratic_matching,1,4.294314154494808e-31,2.6457513110645907,1,4.294314154494808e-31,2.6457513110645907,4
matching_000,balanced_p1,quadratic_matching,1,0.7499999999999999,2.5,1,0.7499999999999999,2.5,4
matching_000,balanced_p2,quadratic_matching,1,0.5,2.549509756796392,1,0.5,2.549509756796392,3
matching_000,balanced_p3,quadratic_matching,0,0.75,2.5,0,0.75,2.5,4
matching_000,comb_p0,quadratic_matching,0,0.75,2.5000000000000004,1,0.75,2.5,4
matching_000,comb_p1,quadratic_matching,0,0.75,2.528812320438228,1,0.75,2.29128784747792,4
matching_000,comb_p2,quadratic_matching,0,0.75,2.4999999999999982,0,0.75,2.4999999999999982,4
matching_000,comb_p3,quadratic_matching,0,0.75,2.5,0,0.75,2.5,4
matching_000,mixed_p0,quadratic_matching,0,0.5,2.549509756796392,0,0.5,2.549509756796392,4
matching_000,mixed_p1,quadratic_matching,0,0.75,2.5,3,0.75,2.360190106927659,4
matching_000,mixed_p2,quadratic_matching,2,0.4999999999999999,2.5495097567963927,0,0.5,2.549509756796392,4
matching_000,mixed_p3,quadratic_matching,0,0.75,2.5000000000000004,3,0.75,2.4277360727691115,4
matching_001,balanced_p0,quadratic_matching,0,0.25,2.598076211353316,0,0.25,2.598076211353316,4
matching_001,balanced_p1,quadratic_matching,0,0.75,2.5000000000000004,1,0.75,2.5,4
matching_001,balanced_p2,quadratic_matching,0,0.5,2.3452078799117144,0,0.5,2.3452078799117144,1
matching_001,balanced_p3,quadratic_matching,0,0.5,2.5495097567963927,0,0.5,2.5495097567963927,2
matching_001,comb_p0,quadratic_matching,0,0.75,2.5,2,0.75,2.499999999999999,4
matching_001,comb_p1,quadratic_matching,0,0.75,2.5,0,0.75,2.5,4
matching_001,comb_p2,quadratic_matching,0,0.75,2.5,0,0.75,2.5,4
matching_001,comb_p3,quadratic_matching,0,0.75,2.5,0,0.75,2.5,4
matching_001,mixed_p0,quadratic_matching,1,0.5,2.549509756796392,1,0.5,2.549509756796392,2
matching_001,mixed_p1,quadratic_matching,0,0.75,2.5000000000000004,2,0.75,2.5,4
matching_001,mixed_p2,quadratic_matching,0,0.75,2.5,0,0.75,2.5,4
matching_001,mixed_p3,quadratic_matching,0,0.75,2.5,0,0.75,2.5,4
matching_002,balanced_p0,quadratic_matching,1,0.2499999999999999,2.598076211353316,0,0.25,2.598076211353316,4
matching_002,balanced_p1,quadratic_matching,0,0.75,2.5,0,0.75,2.5,4
matching_002,balanced_p2,quadratic_matching,0,0.5,2.549509756796392,3,0.5,2.3452078799117144,4
