task_id,family,permutation_index,left_shape,right_shape,nmse_left_minus_right,bound_left_minus_right
matching_000,quadratic_matching,0,comb,balanced,0.75,0.2500000000000001
matching_000,quadratic_matching,0,mixed,balanced,0.5,0.25
matching_000,quadratic_matching,0,comb,mixed,0.25,1.1102230246251565e-16
matching_000,quadratic_matching,1,comb,balanced,1.1102230246251565e-16,0.0
matching_000,quadratic_matching,1,mixed,balanced,1.1102230246251565e-16,0.0
matching_000,quadratic_matching,1,comb,mixed,0.0,0.0
matching_000,quadratic_matching,2,comb,balanced,0.25,0.0
matching_000,quadratic_matching,2,mixed,balanced,-1.1102230246251565e-16,0.0
matching_000,quadratic_matching,2,comb,mixed,0.2500000000000001,0.0
matching_000,quadratic_matching,3,comb,balanced,0.0,0.0
matching_000,quadratic_matching,3,mixed,balanced,0.0,0.0
matching_000,quadratic_matching,3,comb,mixed,0.0,0.0
matching_001,quadratic_matching,0,comb,balanced,0.5,1.1102230246251565e-16
matching_001,quadratic_matching,0,mixed,balanced,0.25,0.0
matching_001,quadratic_matching,0,comb,mixed,0.25,1.1102230246251565e-16
matching_001,quadratic_matching,1,comb,balanced,0.0,0.25
matching_001,quadratic_matching,1,mixed,balanced,0.0,0.25
matching_001,quadratic_matching,1,comb,mixed,0.0,0.0
matching_001,quadratic_matching,2,comb,balanced,0.25,0.25
matching_001,quadratic_matching,2,mixed,balanced,0.25,0.25
matching_001,quadratic_matching,2,comb,mixed,0.0,0.0
matching_001,quadratic_matching,3,comb,balanced,0.25,0.25
matching_001,quadratic_matching,3,mixed,balanced,0.25,0.25
matching_001,quadratic_matching,3,comb,mixed,0.0,0.0
matching_002,quadratic_matching,0,comb,balanced,0.5000000000000001,1.1102230246251565e-16
matching_002,quadratic_matching,0,mixed,balanced,0.2500000000000001,0.0
matching_002,quadratic_matching,0,comb,mixed,0.25,1.1102230246251565e-16
matching_002,quadratic_matching,1,comb,balanced,0.0,0.0
matching_002,quadratic_matching,1,mixed,balanced,0.0,0.0
matching_002,quadratic_matching,1,comb,mixed,0.0,0.0
matching_002,quadratic_matching,2,comb,balanced,0.25,0.25
matching_002,quadratic_matching,2,mixed,balanced,0.25,0.25
matching_002,quadratic_matching,2,comb,mixed,0.0,0.0
matching_002,quadratic_matching,3,comb,balanced,0.0,0.0
matching_002,quadratic_matching,3,mixed,balanced,0.0,0.0
matching_002,quadratic_matching,3,comb,mixed,0.0,0.0
matching_003,quadratic_matching,0,comb,balanced,0.25,0.0
matching_003,quadratic_matching,0,mixed,balanced,-1.1102230246251565e-16,-0.25
matching_003,quadratic_matching,0,comb,mixed,0.2500000000000001,0.25
matching_003,quadratic_matching,1,comb,balanced,0.25,0.0
matching_003,quadratic_matching,1,mixed,balanced,0.0,-0.25
matching_003,quadratic_matching,1,comb,mixed,0.25,0.25
matching_003,quadratic_matching,2,comb,balanced,0.0,0.0
matching_003,quadratic_matching,2,mixed,balanced,0.0,0.0
matching_003,quadratic_matching,2,comb,mixed,0.0,0.0
