cohort,architecture,seed,checkpoint,checkpoint_sha256,forward_max_difference,coordinate,basis,n_fields,mean_capture,ensemble_energy_capture
fresh,shunting,50305,initial,bcb11b5eb17898731293a73c334434726fb938525377f3f71f32977d5ce4ea0d,0.0,activation,broadcast_k1,262144,0.5319832100184461,0.531687887612096
fresh,shunting,50305,initial,bcb11b5eb17898731293a73c334434726fb938525377f3f71f32977d5ce4ea0d,0.0,activation,exact_k12,262144,1.0,1.0
fresh,shunting,50305,initial,bcb11b5eb17898731293a73c334434726fb938525377f3f71f32977d5ce4ea0d,0.0,activation,subtrees_k3,262144,0.5320778828837532,0.5317837144301685
fresh,shunting,50305,initial,bcb11b5eb17898731293a73c334434726fb938525377f3f71f32977d5ce4ea0d,0.0,voltage,broadcast_k1,262144,0.5197746415717299,0.5198087321818806
fresh,shunting,50305,initial,bcb11b5eb17898731293a73c334434726fb938525377f3f71f32977d5ce4ea0d,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,shunting,50305,initial,bcb11b5eb17898731293a73c334434726fb938525377f3f71f32977d5ce4ea0d,0.0,voltage,subtrees_k3,262144,0.5202238043632716,0.5202330737197702
fresh,shunting,50305,trained,ded68c3503d3411ef2d078a10c14f65deddb250b32cfe627b6c68133b0918e01,0.0,activation,broadcast_k1,262144,0.624800362599965,0.7363591573355203
fresh,shunting,50305,trained,ded68c3503d3411ef2d078a10c14f65deddb250b32cfe627b6c68133b0918e01,0.0,activation,exact_k12,262144,1.0,1.0
fresh,shunting,50305,trained,ded68c3503d3411ef2d078a10c14f65deddb250b32cfe627b6c68133b0918e01,0.0,activation,subtrees_k3,262144,0.65669358832473,0.7939889270565531
fresh,shunting,50305,trained,ded68c3503d3411ef2d078a10c14f65deddb250b32cfe627b6c68133b0918e01,0.0,voltage,broadcast_k1,262144,0.4947016138823152,0.5110627666118721
fresh,shunting,50305,trained,ded68c3503d3411ef2d078a10c14f65deddb250b32cfe627b6c68133b0918e01,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,shunting,50305,trained,ded68c3503d3411ef2d078a10c14f65deddb250b32cfe627b6c68133b0918e01,0.0,voltage,subtrees_k3,262144,0.6308806996508467,0.6453331660369627
