arm,regime,checkpoint,method,rank,n_seed_blocks,n_tasks,mean_regret,ci95_low,ci95_high,mean_test_loss,mean_selected_k,mean_population_regret
feedback_only,fixed_cache,16,empirical_split_fullbatch,all,5,120,2.5876966886434945e-05,0.0,7.763090065930484e-05,0.1955732469728769,4.733333333333333,7.975180381071904e-05
feedback_only,fixed_cache,16,empirical_split_fullbatch,1,5,30,0.00010350786754573978,0.0,0.00031052360263721936,0.14534668606094223,1.3333333333333333,0.00014591213314373852
feedback_only,fixed_cache,16,empirical_split_fullbatch,2,5,30,0.0,0.0,0.0,0.1678465486627237,3.066666666666667,0.00017309508209913764
feedback_only,fixed_cache,16,empirical_split_fullbatch,4,5,30,0.0,0.0,0.0,0.19033008069697377,6.533333333333333,0.0
feedback_only,fixed_cache,16,empirical_split_fullbatch,8,5,30,0.0,0.0,0.0,0.27876967247086787,8.0,0.0
feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,all,5,120,0.0002409345595849593,1.3122075763126924e-06,0.0005977267189101248,0.19575121479950205,4.733333333333333,0.00027468849596786507
feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,1,5,30,0.00010350786754573978,0.0,0.00031052360263721936,0.14534668606094223,1.3333333333333333,0.00014591213314373852
feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,2,5,30,0.0008330550876085174,5.24883030525077e-06,0.0020532079898177,0.16986457801937196,2.933333333333333,0.0009487940514107317
feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,4,5,30,2.7175283185580196e-05,0.0,8.152584955674058e-05,0.18902392264682602,6.666666666666667,4.04779931698999e-06
feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,8,5,30,0.0,0.0,0.0,0.27876967247086787,8.0,0.0
feedback_only,fixed_cache,16,gaussian_oracle_sgd,all,5,120,9.499816082445776e-05,1.3122075763126924e-06,0.0002674702181516451,0.1953077733736438,4.766666666666667,0.00014159944053476295
feedback_only,fixed_cache,16,gaussian_oracle_sgd,1,5,30,0.00010350786754573978,0.0,0.00031052360263721936,0.14534668606094223,1.3333333333333333,0.00014591213314373852
feedback_only,fixed_cache,16,gaussian_oracle_sgd,2,5,30,0.0002493094925665111,0.0,0.0007374308170890317,0.168090812315939,3.066666666666667,0.0004164378296783233
feedback_only,fixed_cache,16,gaussian_oracle_sgd,4,5,30,2.7175283185580196e-05,0.0,8.152584955674058e-05,0.18902392264682602,6.666666666666667,4.04779931698999e-06
feedback_only,fixed_cache,16,gaussian_oracle_sgd,8,5,30,0.0,0.0,0.0,0.27876967247086787,8.0,0.0
feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,all,5,120,0.0002409345595849593,1.3122075763126924e-06,0.0005977267189101248,0.19575121479950205,4.733333333333333,0.00027468849596786507
feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,1,5,30,0.00010350786754573978,0.0,0.00031052360263721936,0.14534668606094223,1.3333333333333333,0.00014591213314373852
feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,2,5,30,0.0008330550876085174,5.24883030525077e-06,0.0020532079898177,0.16986457801937196,2.933333333333333,0.0009487940514107317
feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,4,5,30,2.7175283185580196e-05,0.0,8.152584955674058e-05,0.18902392264682602,6.666666666666667,4.04779931698999e-06
feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,8,5,30,0.0,0.0,0.0,0.27876967247086787,8.0,0.0
feedback_only,fixed_cache,16,gaussian_plugin_sgd,all,5,120,9.499816082445776e-05,1.3122075763126924e-06,0.0002674702181516451,0.1953077733736438,4.766666666666667,0.00014159944053476295
