arm,regime,method,rank,budget_k,tree_id,n_tasks
feedback_only,fixed_cache,development_best,1,8,balanced_contiguous,30
feedback_only,fixed_cache,development_best,2,8,balanced_contiguous,30
feedback_only,fixed_cache,development_best,4,8,balanced_contiguous,30
feedback_only,fixed_cache,development_best,8,8,balanced_contiguous,30
feedback_only,fixed_cache,empirical_split_fullbatch,1,1,balanced_contiguous,20
feedback_only,fixed_cache,empirical_split_fullbatch,1,2,balanced_contiguous,6
feedback_only,fixed_cache,empirical_split_fullbatch,1,2,balanced_interleaved,1
feedback_only,fixed_cache,empirical_split_fullbatch,1,2,balanced_permutation_b,3
feedback_only,fixed_cache,empirical_split_fullbatch,2,2,balanced_contiguous,26
feedback_only,fixed_cache,empirical_split_fullbatch,2,2,balanced_permutation_b,1
feedback_only,fixed_cache,empirical_split_fullbatch,2,2,comb_contiguous,1
feedback_only,fixed_cache,empirical_split_fullbatch,2,4,balanced_contiguous,2
feedback_only,fixed_cache,empirical_split_fullbatch,4,4,balanced_contiguous,20
feedback_only,fixed_cache,empirical_split_fullbatch,4,4,balanced_interleaved,2
feedback_only,fixed_cache,empirical_split_fullbatch,4,4,balanced_permutation_a,4
feedback_only,fixed_cache,empirical_split_fullbatch,4,4,balanced_permutation_b,4
feedback_only,fixed_cache,empirical_split_fullbatch,8,8,balanced_contiguous,30
feedback_only,fixed_cache,gaussian_oracle_fullbatch,1,1,balanced_contiguous,20
feedback_only,fixed_cache,gaussian_oracle_fullbatch,1,2,balanced_contiguous,8
feedback_only,fixed_cache,gaussian_oracle_fullbatch,1,2,balanced_permutation_b,2
feedback_only,fixed_cache,gaussian_oracle_fullbatch,2,2,balanced_contiguous,26
feedback_only,fixed_cache,gaussian_oracle_fullbatch,2,2,balanced_permutation_b,2
feedback_only,fixed_cache,gaussian_oracle_fullbatch,2,4,balanced_contiguous,2
feedback_only,fixed_cache,gaussian_oracle_fullbatch,4,4,balanced_contiguous,22
feedback_only,fixed_cache,gaussian_oracle_fullbatch,4,4,balanced_interleaved,2
feedback_only,fixed_cache,gaussian_oracle_fullbatch,4,4,balanced_permutation_a,2
feedback_only,fixed_cache,gaussian_oracle_fullbatch,4,4,balanced_permutation_b,4
feedback_only,fixed_cache,gaussian_oracle_fullbatch,8,8,balanced_contiguous,30
feedback_only,fixed_cache,gaussian_oracle_sgd,1,1,balanced_contiguous,20
feedback_only,fixed_cache,gaussian_oracle_sgd,1,2,balanced_contiguous,7
feedback_only,fixed_cache,gaussian_oracle_sgd,1,2,balanced_interleaved,2
feedback_only,fixed_cache,gaussian_oracle_sgd,1,2,balanced_permutation_b,1
feedback_only,fixed_cache,gaussian_oracle_sgd,2,2,balanced_contiguous,16
feedback_only,fixed_cache,gaussian_oracle_sgd,2,2,balanced_interleaved,4
feedback_only,fixed_cache,gaussian_oracle_sgd,2,2,balanced_permutation_a,1
feedback_only,fixed_cache,gaussian_oracle_sgd,2,2,balanced_permutation_b,2
feedback_only,fixed_cache,gaussian_oracle_sgd,2,2,comb_contiguous,5
feedback_only,fixed_cache,gaussian_oracle_sgd,2,4,balanced_contiguous,2
feedback_only,fixed_cache,gaussian_oracle_sgd,4,4,balanced_contiguous,21
feedback_only,fixed_cache,gaussian_oracle_sgd,4,4,balanced_interleaved,2
feedback_only,fixed_cache,gaussian_oracle_sgd,4,4,balanced_permutation_a,3
feedback_only,fixed_cache,gaussian_oracle_sgd,4,4,balanced_permutation_b,4
feedback_only,fixed_cache,gaussian_oracle_sgd,8,8,balanced_contiguous,30
feedback_only,fixed_cache,gaussian_plugin_fullbatch,1,1,balanced_contiguous,20
feedback_only,fixed_cache,gaussian_plugin_fullbatch,1,2,balanced_contiguous,8
feedback_only,fixed_cache,gaussian_plugin_fullbatch,1,2,balanced_permutation_b,2
feedback_only,fixed_cache,gaussian_plugin_fullbatch,2,2,balanced_contiguous,26
feedback_only,fixed_cache,gaussian_plugin_fullbatch,2,2,balanced_permutation_b,2
feedback_only,fixed_cache,gaussian_plugin_fullbatch,2,4,balanced_contiguous,2
feedback_only,fixed_cache,gaussian_plugin_fullbatch,4,4,balanced_contiguous,22
