task_id,method,seconds,calibration_preparation_seconds
s6100_r1_n000_a000,observed_count_cheapest,0.00125453295186162,0.03584070596843958
s6100_r1_n000_a250,observed_count_cheapest,0.001141914981417358,0.02562677103560418
s6100_r1_n000_a500,observed_count_cheapest,0.0010911970166489482,0.0007683549774810672
s6100_r1_n750_a000,observed_count_cheapest,0.0010766679188236594,0.000699782045558095
s6100_r1_n750_a250,observed_count_cheapest,0.0010180859826505184,0.0006993910064920783
s6100_r1_n750_a500,observed_count_cheapest,0.001050050021149218,0.0006619300693273544
s6100_r2_n000_a000,observed_count_cheapest,0.0010899020126089454,0.0007219009567052126
s6100_r2_n000_a250,observed_count_cheapest,0.0010060800705105066,0.0006318050436675549
s6100_r2_n000_a500,observed_count_cheapest,0.0009792179334908724,0.0005987141048535705
s6100_r2_n750_a000,observed_count_cheapest,0.0010658499086275697,0.0005917709786444902
s6100_r2_n750_a250,observed_count_cheapest,0.0010053430451080203,0.0006004819879308343
s6100_r2_n750_a500,observed_count_cheapest,0.001004947000183165,0.0005788679700344801
s6100_r4_n000_a000,observed_count_cheapest,0.0009209390264004469,0.0005850769812241197
s6100_r4_n000_a250,observed_count_cheapest,0.0008786399848759174,0.0005937300156801939
s6100_r4_n000_a500,observed_count_cheapest,0.0009254979668185115,0.0005950690247118473
s6100_r4_n750_a000,observed_count_cheapest,0.000944458064623177,0.0006756219081580639
s6100_r4_n750_a250,observed_count_cheapest,0.0009174520382657647,0.000657340046018362
s6100_r4_n750_a500,observed_count_cheapest,0.0008804750395938754,0.0006191190332174301
s6100_r8_n000_a000,observed_count_cheapest,0.0009191599674522877,0.0005938500398769975
s6100_r8_n000_a250,observed_count_cheapest,0.000840683002024889,0.0006643340457230806
s6100_r8_n000_a500,observed_count_cheapest,0.0009245011024177074,0.0007171339821070433
s6100_r8_n750_a000,observed_count_cheapest,0.0009395150700584054,0.0007062579970806837
s6100_r8_n750_a250,observed_count_cheapest,0.0008281210903078318,0.00072052504401654
s6100_r8_n750_a500,observed_count_cheapest,0.0008398040663450956,0.000661191064864397
s6101_r1_n000_a000,observed_count_cheapest,0.0010258880211040378,0.0006153919966891408
s6101_r1_n000_a250,observed_count_cheapest,0.0010183959966525435,0.0006060890154913068
s6101_r1_n000_a500,observed_count_cheapest,0.0010406000073999166,0.0007213050266727805
s6101_r1_n750_a000,observed_count_cheapest,0.0010202620178461075,0.0006539860041812062
s6101_r1_n750_a250,observed_count_cheapest,0.0010260429698973894,0.000611152034252882
s6101_r1_n750_a500,observed_count_cheapest,0.0010165550047531724,0.0005837589269503951
s6101_r2_n000_a000,observed_count_cheapest,0.0010437670862302184,0.0005868450971320271
s6101_r2_n000_a250,observed_count_cheapest,0.0010365659836679697,0.02797435107640922
s6101_r2_n000_a500,observed_count_cheapest,0.0009845549939200282,0.0006744879065081477
s6101_r2_n750_a000,observed_count_cheapest,0.0010371599346399307,0.0006028760690242052
s6101_r2_n750_a250,observed_count_cheapest,0.000977607094682753,0.0006304009584710002
s6101_r2_n750_a500,observed_count_cheapest,0.0009689979488030076,0.0006235999753698707
s6101_r4_n000_a000,observed_count_cheapest,0.0009341069962829351,0.0006069350056350231
s6101_r4_n000_a250,observed_count_cheapest,0.0008909360039979219,0.0006640150677412748
s6101_r4_n000_a500,observed_count_cheapest,0.0008851509774103761,0.000637975987046957
s6101_r4_n750_a000,observed_count_cheapest,0.0009505490306764841,0.0006013379897922277
s6101_r4_n750_a250,observed_count_cheapest,0.000923143932595849,0.0008894659113138914
s6101_r4_n750_a500,observed_count_cheapest,0.0008966110181063414,0.0006980879697948694
s6101_r8_n000_a000,observed_count_cheapest,0.0008928549941629171,0.0006409719353541732
s6101_r8_n000_a250,observed_count_cheapest,0.0008280659094452858,0.0006454760441556573
s6101_r8_n000_a500,observed_count_cheapest,0.0008212460670620203,0.0005867260042577982
s6101_r8_n750_a000,observed_count_cheapest,0.0008854699553921819,0.0005793949821963906
s6101_r8_n750_a250,observed_count_cheapest,0.0008263570489361882,0.0006362330168485641
s6101_r8_n750_a500,observed_count_cheapest,0.0008450669702142477,0.0006089078960940242
s6102_r1_n000_a000,observed_count_cheapest,0.0010185380233451724,0.0005933230277150869
s6102_r1_n000_a250,observed_count_cheapest,0.0010177540825679898,0.0006360670085996389
s6102_r1_n000_a500,observed_count_cheapest,0.0009869149653241038,0.0006122390041127801
s6102_r1_n750_a000,observed_count_cheapest,0.0010230379411950707,0.0007030999986454844
s6102_r1_n750_a250,observed_count_cheapest,0.0010181099642068148,0.0006951401010155678
s6102_r1_n750_a500,observed_count_cheapest,0.0010558950016275048,0.0006923769833520055
s6102_r2_n000_a000,observed_count_cheapest,0.0010625679278746247,0.0006611879216507077
s6102_r2_n000_a250,observed_count_cheapest,0.0009709519799798727,0.0006788528990000486
s6102_r2_n000_a500,observed_count_cheapest,0.0009821830317378044,0.0006642929511144757
s6102_r2_n750_a000,observed_count_cheapest,0.0010769669897854328,0.0007275210227817297
s6102_r2_n750_a250,observed_count_cheapest,0.0009763919515535235,0.0007263299776241183
s6102_r2_n750_a500,observed_count_cheapest,0.0009870390640571713,0.0007161340909078717
s6102_r4_n000_a000,observed_count_cheapest,0.0009424469899386168,0.000657477998174727
s6102_r4_n000_a250,observed_count_cheapest,0.0009319479577243328,0.0006776790833100677
s6102_r4_n000_a500,observed_count_cheapest,0.0009270220762118697,0.0007427700329571962
s6102_r4_n750_a000,observed_count_cheapest,0.0009617910254746675,0.0007265219464898109
s6102_r4_n750_a250,observed_count_cheapest,0.0009155320003628731,0.0007394120329990983
s6102_r4_n750_a500,observed_count_cheapest,0.0009097070433199406,0.0006696849595755339
s6102_r8_n000_a000,observed_count_cheapest,0.0009172969730570912,0.0006348741007968783
s6102_r8_n000_a250,observed_count_cheapest,0.0008260520407930017,0.0006787260062992573
s6102_r8_n000_a500,observed_count_cheapest,0.0008907730225473642,0.0006518639856949449
s6102_r8_n750_a000,observed_count_cheapest,0.0009224879322573543,0.0006554429419338703
s6102_r8_n750_a250,observed_count_cheapest,0.000839823973365128,0.0006513490807265043
s6102_r8_n750_a500,observed_count_cheapest,0.0008345199748873711,0.0006072659743949771
s6103_r1_n000_a000,observed_count_cheapest,0.0010149730369448662,0.0005811150185763836
