arm,regime,comparator,n_seed_blocks,plugin_sgd_regret_reduction,ci95_low,ci95_high,positive_seeds
feedback_only,fixed_cache,development_best,5,0.043290992936125185,0.042227601129518975,0.04400078944245572,5
feedback_only,fixed_cache,empirical_split_fullbatch,5,0.0005455518949780108,0.0001340147009979619,0.00097516718928137,4
feedback_only,fixed_cache,gaussian_oracle_fullbatch,5,0.00020677791417056065,3.9411219800768455e-07,0.00045919095188281747,4
feedback_only,fixed_cache,gaussian_oracle_sgd,5,0.0,0.0,0.0,0
feedback_only,fixed_cache,gaussian_plugin_fullbatch,5,0.00020677791417056065,3.9411219800768455e-07,0.00045919095188281747,4
feedback_only,fixed_cache,maximum_budget,5,0.043290992936125185,0.042227601129518975,0.04400078944245572,5
feedback_only,fixed_cache,original_scalar,5,0.06988951519371925,0.059847075108087865,0.07993195527935062,5
feedback_only,fixed_cache,pilot16,5,0.010991121517989536,0.008972668964765531,0.012976176217699337,5
feedback_only,fixed_cache,rank_only,5,0.008524924205441183,0.007189024949601256,0.009940071711418754,5
feedback_only,fresh_iid,development_best,5,0.0434198446014206,0.04224214941027995,0.044791940215093834,5
feedback_only,fresh_iid,empirical_split_fullbatch,5,0.0005747776297483771,0.0003588128550241793,0.0007923156652796795,5
feedback_only,fresh_iid,gaussian_oracle_fullbatch,5,0.00026571015233882954,1.353464452229548e-05,0.0005322762534637653,4
feedback_only,fresh_iid,gaussian_oracle_sgd,5,0.0,0.0,0.0,0
feedback_only,fresh_iid,gaussian_plugin_fullbatch,5,0.00026571015233882954,1.353464452229548e-05,0.0005322762534637653,4
feedback_only,fresh_iid,maximum_budget,5,0.0434198446014206,0.04224214941027995,0.044791940215093834,5
feedback_only,fresh_iid,original_scalar,5,0.06956457096735497,0.05913337515971486,0.07999576677499506,5
feedback_only,fresh_iid,pilot16,5,0.010130869360042014,0.00856706939107424,0.01149707887429645,5
feedback_only,fresh_iid,rank_only,5,0.00832384949434855,0.006715354957873338,0.010076033959460098,5
joint_forward_feedback,fixed_cache,development_best,5,0.03990575423238396,0.03872789146615113,0.04105708814380387,5
joint_forward_feedback,fixed_cache,empirical_split_fullbatch,5,0.000495181950099338,0.0001999286022258069,0.0008733975961378717,5
joint_forward_feedback,fixed_cache,gaussian_oracle_fullbatch,5,5.5417805319314274e-05,-9.990165202713892e-06,0.0001217259821026213,2
joint_forward_feedback,fixed_cache,gaussian_oracle_sgd,5,4.21771244905847e-05,0.0,0.00012653137347175408,1
joint_forward_feedback,fixed_cache,gaussian_plugin_fullbatch,5,6.0412887920671224e-05,0.0,0.0001217259821026213,2
joint_forward_feedback,fixed_cache,maximum_budget,5,0.03990575423238396,0.03872789146615113,0.04105708814380387,5
joint_forward_feedback,fixed_cache,original_scalar,5,0.09238731884783187,0.08642526863470867,0.09786390154464926,5
joint_forward_feedback,fixed_cache,pilot16,5,0.01602226725367669,0.014493271259171273,0.01727077953431804,5
joint_forward_feedback,fixed_cache,rank_only,5,0.011178167886171335,0.008660415463031522,0.013520400678136557,5
joint_forward_feedback,fresh_iid,development_best,5,0.03982002072674732,0.03859473312094392,0.04104530833255072,5
joint_forward_feedback,fresh_iid,empirical_split_fullbatch,5,0.000554073323221573,0.00032663946820396864,0.0009284423282352197,5
joint_forward_feedback,fresh_iid,gaussian_oracle_fullbatch,5,6.213126306975561e-05,3.3235763112480705e-06,0.00014528063872721182,3
joint_forward_feedback,fresh_iid,gaussian_oracle_sgd,5,2.416913796761307e-05,0.0,7.250741390283921e-05,1
joint_forward_feedback,fresh_iid,gaussian_plugin_fullbatch,5,5.8807686758507546e-05,0.0,0.00014528063872721182,2
joint_forward_feedback,fresh_iid,maximum_budget,5,0.03982002072674732,0.03859473312094392,0.04104530833255072,5
joint_forward_feedback,fresh_iid,original_scalar,5,0.09274055345722969,0.08652178351353683,0.09822591243242768,5
joint_forward_feedback,fresh_iid,pilot16,5,0.013688958045162547,0.012756391250121003,0.014899637228415646,5
joint_forward_feedback,fresh_iid,rank_only,5,0.011147029853847235,0.008617483948362984,0.013667361003858364,5
