arm,regime,method,rank,mean_regret,ci95_low,ci95_high,n_seed_blocks,n_tasks,mean_selected_k,mean_population_regret
feedback_only,fixed_cache,development_best,all,0.04337016646517176,0.04235933608897862,0.04404630055838286,5,120,8.0,0.04327312766299022
feedback_only,fixed_cache,development_best,1,0.06902770750036066,0.06848774486079812,0.0697651145857627,5,30,8.0,0.06917208146959715
feedback_only,fixed_cache,development_best,2,0.06336554791964132,0.05985349812224048,0.06621330639967657,5,30,8.0,0.06281990493003947
feedback_only,fixed_cache,development_best,4,0.04108741044068504,0.040211200909677336,0.04204931778218603,5,30,8.0,0.041100524252324244
feedback_only,fixed_cache,development_best,8,0.0,0.0,0.0,5,30,8.0,0.0
feedback_only,fixed_cache,empirical_split_fullbatch,all,0.0006247254240246223,0.00024685064316402503,0.0010355812414332755,5,120,3.8666666666666667,0.0005447431402701854
feedback_only,fixed_cache,empirical_split_fullbatch,1,0.0005816498028316967,4.947508369077e-05,0.0014450605031147065,5,30,1.3333333333333333,0.0005576631650370934
feedback_only,fixed_cache,empirical_split_fullbatch,2,0.0015489575944511267,0.0005192312631666999,0.0026424870097377265,5,30,2.1333333333333333,0.0012891631369324752
feedback_only,fixed_cache,empirical_split_fullbatch,4,0.00036829429881566613,0.0,0.0009314154424195861,5,30,4.0,0.0003321462591111734
feedback_only,fixed_cache,empirical_split_fullbatch,8,0.0,0.0,0.0,5,30,8.0,0.0
feedback_only,fixed_cache,gaussian_oracle_fullbatch,all,0.0002859514432171725,0.00011906940676562918,0.0004981785847967534,5,120,3.8666666666666667,0.0002162815981625113
feedback_only,fixed_cache,gaussian_oracle_fullbatch,1,7.573182715403665e-05,0.0,0.00022719548146210998,5,30,1.3333333333333333,8.381130363862999e-05
feedback_only,fixed_cache,gaussian_oracle_fullbatch,2,0.0009253487987778301,0.00018708742536565002,0.0019118017151100702,5,30,2.1333333333333333,0.0006619248611442317
feedback_only,fixed_cache,gaussian_oracle_fullbatch,4,0.00014272514693682334,0.0,0.00042817544081047,5,30,4.0,0.00011939022786718334
feedback_only,fixed_cache,gaussian_oracle_fullbatch,8,0.0,0.0,0.0,5,30,8.0,0.0
feedback_only,fixed_cache,gaussian_oracle_sgd,all,7.917352904661321e-05,1.8759476894703335e-05,0.00013958758119852308,5,120,3.8666666666666667,3.563453667165e-05
