calibration_samples,cue_noise_sd,cue_delay_trials,control,mean_pp,ci95_low_pp,ci95_high_pp,positive_seeds,p_wilcoxon,primary_family_holm_p
16,0,0,oracle_context,-60.8984375,-61.6088867188,-60.1953125,0,8.84491502121e-05,
16,0,0,frozen_profile,0.72265625,0.5224609375,0.9326171875,18,0.000129049051718,
16,0,0,mismatched_encoder,0.81298828125,0.55908203125,1.05712890625,19,0.000252650576145,
16,0,1,oracle_context,-61.5551757812,-62.2534179688,-60.8959960938,0,1.90734863281e-06,
16,0,1,frozen_profile,0.06591796875,-0.01708984375,0.146484375,13,0.0776478385345,
16,0,1,mismatched_encoder,0.068359375,-0.02197265625,0.1611328125,10,0.252356407777,
16,0,4,oracle_context,-61.6088867188,-62.2973632812,-60.9423828125,0,8.81987020419e-05,
16,0,4,frozen_profile,0.01220703125,-0.09033203125,0.1123046875,12,0.807856252546,
16,0,4,mismatched_encoder,0.078125,-0.0927734375,0.25146484375,11,0.512555501239,
16,0.5,0,oracle_context,-61.1352539062,-61.8237304688,-60.4638671875,0,8.84491502121e-05,
16,0.5,0,frozen_profile,0.48583984375,0.30517578125,0.6591796875,17,0.000445218487698,
16,0.5,0,mismatched_encoder,0.47119140625,0.27587890625,0.6640625,16,0.000768907276141,
16,0.5,1,oracle_context,-61.5014648438,-62.2338867188,-60.8032226562,0,8.84491502121e-05,
16,0.5,1,frozen_profile,0.11962890625,-0.01220703125,0.25390625,12,0.1160583404,
16,0.5,1,mismatched_encoder,0.048828125,-0.107421875,0.21240234375,9,0.764920019856,
16,0.5,4,oracle_context,-61.62109375,-62.373046875,-60.9033203125,0,8.84491502121e-05,
16,0.5,4,frozen_profile,0,-0.144104003906,0.13916015625,11,0.807971520496,
16,0.5,4,mismatched_encoder,-0.048828125,-0.2392578125,0.13916015625,11,0.708468722668,
16,1,0,oracle_context,-61.2231445312,-61.9409179688,-60.5493164062,0,8.84491502121e-05,
16,1,0,frozen_profile,0.39794921875,0.224609375,0.57373046875,15,0.00128118703539,
16,1,0,mismatched_encoder,0.22705078125,0.01708984375,0.444396972656,13,0.0590128148945,
