calibration_samples,cue_noise_sd,cue_delay_trials,method,mean_accuracy,mean_loss,mean_coefficient_accuracy,n_seeds
16,0,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0,0,learned_local_cue,0.193920898437,8.73397380999,1,20
16,0,0,mismatched_encoder,0.185791015625,22.2353198261,0,20
16,0,0,oracle_context,0.802905273437,0.426767740089,1,20
16,0,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0,1,learned_local_cue,0.187353515625,19.227175758,0.247241210938,20
16,0,1,mismatched_encoder,0.186669921875,19.2813634646,0.253076171875,20
16,0,1,oracle_context,0.802905273437,0.426767740089,1,20
16,0,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0,4,learned_local_cue,0.18681640625,19.2271155472,0.249072265625,20
16,0,4,mismatched_encoder,0.18603515625,19.2821593911,0.248974609375,20
16,0,4,oracle_context,0.802905273437,0.426767740089,1,20
16,0.5,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0.5,0,learned_local_cue,0.191552734375,11.7446657945,0.523071289062,20
16,0.5,0,mismatched_encoder,0.186840820312,19.8746005343,0.158642578125,20
16,0.5,0,oracle_context,0.802905273437,0.426767740089,1,20
16,0.5,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0.5,1,learned_local_cue,0.187890625,18.1680297801,0.2482421875,20
16,0.5,1,mismatched_encoder,0.18740234375,18.120394177,0.249951171875,20
16,0.5,1,oracle_context,0.802905273437,0.426767740089,1,20
16,0.5,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,0.5,4,learned_local_cue,0.186694335938,18.0909734452,0.247631835937,20
16,0.5,4,mismatched_encoder,0.187182617188,18.1993596993,0.2490234375,20
16,0.5,4,oracle_context,0.802905273437,0.426767740089,1,20
16,1,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,1,0,learned_local_cue,0.190673828125,13.3268797458,0.3283203125,20
16,1,0,mismatched_encoder,0.188403320313,16.4892586445,0.227124023437,20
16,1,0,oracle_context,0.802905273437,0.426767740089,1,20
16,1,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,1,1,learned_local_cue,0.189184570312,15.8125505942,0.253833007813,20
16,1,1,mismatched_encoder,0.188549804687,15.9591274946,0.2513671875,20
16,1,1,oracle_context,0.802905273437,0.426767740089,1,20
16,1,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
16,1,4,learned_local_cue,0.188793945312,15.9736877669,0.250854492188,20
16,1,4,mismatched_encoder,0.188647460938,15.8375282022,0.251196289063,20
16,1,4,oracle_context,0.802905273437,0.426767740089,1,20
64,0,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0,0,learned_local_cue,0.750610351562,0.545965690365,1,20
64,0,0,mismatched_encoder,0.187353515625,20.6333431325,0,20
64,0,0,oracle_context,0.802905273437,0.426767740089,1,20
64,0,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0,1,learned_local_cue,0.191552734375,13.9097534828,0.247241210938,20
64,0,1,mismatched_encoder,0.189453125,14.023223973,0.253076171875,20
64,0,1,oracle_context,0.802905273437,0.426767740089,1,20
64,0,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0,4,learned_local_cue,0.190600585938,13.9015257267,0.249072265625,20
64,0,4,mismatched_encoder,0.189013671875,14.0372104854,0.248974609375,20
64,0,4,oracle_context,0.802905273437,0.426767740089,1,20
64,0.5,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0.5,0,learned_local_cue,0.213891601563,4.10212088302,0.63017578125,20
64,0.5,0,mismatched_encoder,0.186694335938,18.760011171,0.125732421875,20
64,0.5,0,oracle_context,0.802905273437,0.426767740089,1,20
64,0.5,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0.5,1,learned_local_cue,0.190063476562,15.65299513,0.24892578125,20
64,0.5,1,mismatched_encoder,0.188305664062,15.5306718995,0.252734375,20
