task,optimizer,rule,rate,validation_nmse,original_grid
opposed_strong,sgd,calibrated_broadcast,0.1,0.7746871820603484,True
opposed_strong,sgd,calibrated_broadcast,0.3,0.7699247009779345,True
opposed_strong,sgd,calibrated_broadcast,1.0,0.8496835010863478,False
opposed_strong,sgd,calibrated_broadcast,3.0,1.311145881597863,False
opposed_strong,sgd,calibrated_broadcast,10.0,1.2143127361968233,False
opposed_strong,sgd,exact,0.03,0.0001925508497961,True
opposed_strong,sgd,exact,0.1,0.00017826097947116668,True
opposed_strong,sgd,exact,0.3,0.00014789442308453334,True
opposed_strong,sgd,exact,1.0,0.000143213252475626,False
opposed_strong,sgd,exact,3.0,0.14522327303143087,False
opposed_strong,sgd,exact,10.0,1.3501944215814454,False
opposed_strong,sgd,unit_broadcast,0.03,0.7465706972079983,True
opposed_strong,sgd,unit_broadcast,0.1,0.7172426605864177,True
opposed_strong,sgd,unit_broadcast,0.3,0.7507204378861573,True
opposed_strong,sgd,unit_broadcast,1.0,0.8062731033078935,False
opposed_strong,sgd,unit_broadcast,3.0,1.2793223929453374,False
opposed_strong,sgd,unit_broadcast,10.0,1.190590500336129,False
