model,optimizer,rule,rate,validation_nmse
algebraic,adam,calibrated_broadcast,0.003,0.5916537697201673
algebraic,adam,calibrated_broadcast,0.01,0.5860444134715161
algebraic,adam,calibrated_broadcast,0.03,0.6599027417391021
algebraic,adam,exact,0.003,0.030970772204160352
algebraic,adam,exact,0.01,0.0318685014419408
algebraic,adam,exact,0.03,0.0347904796394045
algebraic,adam,sign_broadcast,0.003,0.5916534705380142
algebraic,adam,sign_broadcast,0.01,0.5860444282241207
algebraic,adam,sign_broadcast,0.03,0.8139125205677178
algebraic,adam,unit_broadcast,0.003,0.5384376016616521
algebraic,adam,unit_broadcast,0.01,0.5816471412977225
algebraic,adam,unit_broadcast,0.03,0.720429572261812
algebraic,sgd,calibrated_broadcast,0.003,0.9490001043077823
algebraic,sgd,calibrated_broadcast,0.01,0.8389504032895514
algebraic,sgd,calibrated_broadcast,0.03,0.6969276215070024
algebraic,sgd,exact,0.003,0.8983076597090722
algebraic,sgd,exact,0.01,0.5139312855472298
algebraic,sgd,exact,0.03,0.21948526435717117
algebraic,sgd,sign_broadcast,0.003,0.6739667832490334
algebraic,sgd,sign_broadcast,0.01,0.5936630391668548
algebraic,sgd,sign_broadcast,0.03,0.5961263538007661
algebraic,sgd,unit_broadcast,0.003,0.7463661112366047
algebraic,sgd,unit_broadcast,0.01,0.5483803662211677
algebraic,sgd,unit_broadcast,0.03,0.5667329350605933
conductance,adam,calibrated_broadcast,0.003,0.0023233255593822664
conductance,adam,calibrated_broadcast,0.01,0.00016006134020730717
conductance,adam,calibrated_broadcast,0.03,4.828053045479505e-07
conductance,adam,exact,0.003,0.0020675526283400777
conductance,adam,exact,0.01,0.00010920700704611322
conductance,adam,exact,0.03,7.765870998516714e-07
conductance,adam,sign_broadcast,0.003,0.0023233240206603336
conductance,adam,sign_broadcast,0.01,0.00016006118390536937
conductance,adam,sign_broadcast,0.03,4.828032825421776e-07
conductance,adam,unit_broadcast,0.003,0.0023233240206603336
conductance,adam,unit_broadcast,0.01,0.00016006118390536937
conductance,adam,unit_broadcast,0.03,4.828032825421776e-07
conductance,sgd,calibrated_broadcast,0.001,0.1299139195957932
conductance,sgd,calibrated_broadcast,0.003,0.05805808603094261
conductance,sgd,calibrated_broadcast,0.01,0.021449889073729744
conductance,sgd,exact,0.001,0.12660481979292165
conductance,sgd,exact,0.003,0.055880827808520786
conductance,sgd,exact,0.01,0.018789273032554822
conductance,sgd,sign_broadcast,0.001,0.10231191895911293
conductance,sgd,sign_broadcast,0.003,0.03002171052419568
conductance,sgd,sign_broadcast,0.01,0.005084205202961344
conductance,sgd,unit_broadcast,0.001,0.10231191895911293
conductance,sgd,unit_broadcast,0.003,0.03002171052419568
conductance,sgd,unit_broadcast,0.01,0.005084205202961344
