cohort,run_dir,config_index,family,task,core,strategy,feedback,depth,seed,transfer_output_activation,input_convention_valid,publication_included,exclusion_reason,test_accuracy,status,epochs_recorded,resolved_config_path,resolved_config_available_for_recheck,input_validity_status,validity_evidence_level,execution_lineage_status,validity_audit_sha256,outcome_source_sha256
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113,0,fixed_budget,noise_resilience,dendritic_additive,standard,backprop,1,42,,True,True,,0.9261999726295472,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113/results/config_0/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113,1,fixed_budget,noise_resilience,dendritic_additive,standard,backprop,1,43,,True,True,,0.9276999831199646,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113/results/config_1/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113,2,fixed_budget,noise_resilience,dendritic_additive,standard,backprop,1,44,,True,True,,0.9249999523162842,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113/results/config_2/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113,3,fixed_budget,noise_resilience,dendritic_additive,standard,backprop,1,45,,True,True,,0.9259999990463256,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113/results/config_3/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113,4,fixed_budget,noise_resilience,dendritic_additive,standard,backprop,1,46,,True,True,,0.9262999892234802,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113/results/config_4/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113,5,fixed_budget,noise_resilience,dendritic_additive,standard,backprop,1,47,,True,True,,0.9265999794006348,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113/results/config_5/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113,6,fixed_budget,noise_resilience,dendritic_additive,standard,backprop,1,48,,True,True,,0.925599992275238,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113/results/config_6/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113,7,fixed_budget,noise_resilience,dendritic_additive,standard,backprop,1,49,,True,True,,0.9294999837875366,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113/results/config_7/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113,8,fixed_budget,noise_resilience,dendritic_additive,standard,backprop,1,50,,True,True,,0.930799961090088,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113/results/config_8/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113,9,fixed_budget,noise_resilience,dendritic_additive,standard,backprop,1,51,,True,True,,0.9279999732971193,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_backprop_20260803233113/results/config_9/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
followup,prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_local3f_20260803233047,0,fixed_budget,noise_resilience,dendritic_additive,local_ca,per_soma,1,42,,True,True,,0.830299973487854,pass,180,drafts/dendritic-local-learning/journal/prospective_runs/journal_confirmatory_fixed_budget_depth_d1_16_additive_local3f_20260803233047/results/config_0/config.json,False,proven_valid,retained_run_level_validity_audit,retained_audit_and_completed_outcome_join; resolved_config_not_available_for_recheck,69adda5ab12cd898cc3cf6a3cb3356bd3d49f742a967f5edce23074a1868985e,dca463eda505031d0ab54778bdbf77def9c34cd7a1730abd90ae5f0c15112183
