task,optimizer,rule,rate,validation_nmse
opposed_ungated,sgd,ancestry_three_oracle,0.1,0.7811027115804569
opposed_ungated,sgd,ancestry_three_oracle,0.3,0.7461548601306256
opposed_ungated,sgd,calibrated_broadcast,0.03,0.24359809131011265
opposed_ungated,sgd,calibrated_broadcast,0.1,0.34537588974079303
opposed_ungated,sgd,calibrated_broadcast,0.3,0.2599867968834226
opposed_ungated,sgd,exact,0.03,0.06801886087212784
opposed_ungated,sgd,exact,0.1,2.613287495330047
opposed_ungated,sgd,exact,0.3,7.753216910770653
opposed_ungated,sgd,unit_broadcast,0.03,0.19196766066803428
opposed_ungated,sgd,unit_broadcast,0.1,1.7320089571085697
opposed_ungated,sgd,unit_broadcast,0.3,7.326452280704975
