unit_index,pre_pt_root_id,nucleus_id,segment_id,major_branch,path_um,depth,x_um,y_um,z_um,n_synapses,contact_size,repeat_reliability,manual_match
0,864691135456920938,260542,8900,8873,76.11993603789986,2.0,658.168,460.12,802.32,1,8108.0,0.0549115023138209,True
1,864691135662408944,269601,9723,7741,87.55830204692654,5.0,751.736,445.76,859.44,1,21848.0,0.1995992557606984,True
2,864691135502842205,304636,9696,9308,120.43128431032504,3.0,679.672,450.336,743.4,1,4000.0,0.14871427889890748,False
3,864691135463493438,292056,10368,9817,96.37938425230952,3.0,713.672,481.344,765.08,1,31640.0,0.26442440723247934,True
4,864691136034433723,260449,8325,7741,212.5093482464413,4.0,713.4,436.06666666666666,763.2266666666666,4,16284.0,0.15354706359429415,False
5,864691136389679223,291109,10176,9533,103.28002863995384,3.0,685.504,499.208,842.9200000000001,1,4780.0,0.03674443013215018,False
6,864691136197033548,291112,10391,7741,94.47345187790248,4.0,722.7040000000001,429.648,809.6800000000001,1,2152.0,0.21771862029483324,False
7,864691135892048777,255215,9105,7741,144.46371659089817,7.0,762.8960000000001,425.488,872.9200000000001,1,21428.0,0.13723104813701634,False
8,864691135720773937,291110,8680,7741,94.8924722018108,3.0,694.984,415.96,841.6,1,4868.0,0.2311912599589714,True
9,864691136446104451,256338,10391,7741,94.47345187790248,4.0,723.24,429.752,809.8000000000001,1,584.0,0.2886694337102237,False
