partner_index,pre_pt_root_id,recording_id,session,scan_idx,field,unit_id,dandi_asset_id,dandi_path
0,864691135456920938,ses6_scan6_field4_unit4464,6,6,4,4464,06c05eec-2d18-49f7-9cdf-103ca0bc5531,sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb
1,864691135662408944,ses6_scan6_field8_unit8369,6,6,8,8369,06c05eec-2d18-49f7-9cdf-103ca0bc5531,sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb
2,864691135502842205,ses6_scan6_field8_unit8542,6,6,8,8542,06c05eec-2d18-49f7-9cdf-103ca0bc5531,sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb
3,864691135463493438,ses6_scan6_field2_unit1421,6,6,2,1421,06c05eec-2d18-49f7-9cdf-103ca0bc5531,sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb
4,864691136034433723,ses6_scan6_field4_unit4067,6,6,4,4067,06c05eec-2d18-49f7-9cdf-103ca0bc5531,sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb
5,864691136389679223,ses6_scan6_field2_unit2060,6,6,2,2060,06c05eec-2d18-49f7-9cdf-103ca0bc5531,sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb
6,864691136197033548,ses6_scan6_field2_unit1458,6,6,2,1458,06c05eec-2d18-49f7-9cdf-103ca0bc5531,sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb
7,864691135892048777,ses6_scan6_field2_unit1682,6,6,2,1682,06c05eec-2d18-49f7-9cdf-103ca0bc5531,sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb
8,864691135720773937,ses6_scan6_field2_unit1461,6,6,2,1461,06c05eec-2d18-49f7-9cdf-103ca0bc5531,sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb
9,864691136446104451,ses6_scan6_field2_unit1457,6,6,2,1457,06c05eec-2d18-49f7-9cdf-103ca0bc5531,sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb
