cohort_id,run_id,config_sha256,checkpoint_sha256,seed,network_type,n_inhibitory,path_gain_cv_mean
gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042,config_60,50f981b0c1cf9bfe06d584dffd71aed3908cefcc5490ded6ae9a6902e456df39,e121a19b48c72f5d5e2fc78596f39cfe3f0d908413dc25672c06ffdb19ad4c7b,42,dendritic_additive,5,1.1944921613764303
gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042,config_10,da3df864644c9ce0393f914eb945f5d52de4720da8f71dfb3856674b993b705a,c208b2f7b30ff36e4d708c6cfca3edf865903c605886f8cb89003f15673ce207,42,dendritic_shunting,5,0.2420383842504273
gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042,config_61,532cb83d01ff24a17a9a5777de3bfe3ab2d55f040a81047046182caea518150b,050032b82e903c61a2cd2bc9d88ade40e09b50a57f9ae4d9dc27668c62cd6117,43,dendritic_additive,5,1.1689902657121929
gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042,config_11,b3f633986d301ca4b16ca4788f1739f1acd1126a19a335163577f6a20f1ae13c,deef94e4ad4cbed6d26459f500bdf82a8516b2ad342cedb26d33d4eb8d756021,43,dendritic_shunting,5,0.2221327348709445
gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042,config_62,bce9a313e827abc66d6a36d9be45044173e3a4bf3faccac9d39626e206f4c786,6be9e4d86f806c84cec8b33290fc2588dba5c118bbef5769979302fa0d70f541,44,dendritic_additive,5,1.1272937564321082
gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042,config_12,6655ca264fbc07f1ebd97c7c6baea7222b0035d23a7ac5a2df25855ee129adda,5219a06639a5d9a5154fbcc01886352b568edb6ce661fda82e132182cf4d15a9,44,dendritic_shunting,5,0.2210941426690809
gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042,config_63,8aec96787a3029f2a3d099924e5404da49b0bffba668322f609202788630105b,fea770757b2257fe8f4da97e682f28f55b598e3065b8578d8b80a4f15bf7c2f1,45,dendritic_additive,5,1.1281405835125584
gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042,config_13,cd4178a50090fad971e2e03881eca6a36591366d7f84958d6dc47b3c679e8dd9,176763668fa4b4a35c29fe048392b4d8159ce910271323ab7240681e102e1a03,45,dendritic_shunting,5,0.2152442647614439
gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042,config_64,df4f98666c7e7a83b12b94a6479d4fca04fcb526918882fa39dda77b45b2ae30,7301384d5154196425d81318f70a3970cb2d2c5c0591ced6e7609e23f247822f,46,dendritic_additive,5,1.1884156089872546
gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042,config_14,0d6c7d894284d808e9bff85f191ee8a4fc9eb22ed5292d4ad9a5d5600eaede0b,3145e95dde7ccc51cdf3c48d746e6a6ebb342b9b024faf301398af049170b592,46,dendritic_shunting,5,0.2441719571976579
