run_id,config_id,seed,dataset,core,learning_method,rule,decoder_mode,feedback_mode,test_accuracy
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_0,config_0,42,mnist,shunting,local_ca,3f,backprop,path_transport,0.9729999899864197
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_1,config_1,43,mnist,shunting,local_ca,3f,backprop,path_transport,0.9734999537467957
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_2,config_2,44,mnist,shunting,local_ca,3f,backprop,path_transport,0.9711999893188477
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_3,config_3,45,mnist,shunting,local_ca,3f,backprop,path_transport,0.972599983215332
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_4,config_4,46,mnist,shunting,local_ca,3f,backprop,path_transport,0.9702000021934509
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_5,config_5,42,mnist,shunting,local_ca,3f,local,path_transport,0.9721999764442444
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_6,config_6,43,mnist,shunting,local_ca,3f,local,path_transport,0.9726999998092651
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_7,config_7,44,mnist,shunting,local_ca,3f,local,path_transport,0.9714999794960022
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_8,config_8,45,mnist,shunting,local_ca,3f,local,path_transport,0.972599983215332
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_9,config_9,46,mnist,shunting,local_ca,3f,local,path_transport,0.9698999524116516
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_10,config_10,42,mnist,shunting,local_ca,5f,backprop,path_transport,0.9740999937057495
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_11,config_11,43,mnist,shunting,local_ca,5f,backprop,path_transport,0.97079998254776
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_12,config_12,44,mnist,shunting,local_ca,5f,backprop,path_transport,0.9717999696731567
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_13,config_13,45,mnist,shunting,local_ca,5f,backprop,path_transport,0.973099946975708
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_14,config_14,46,mnist,shunting,local_ca,5f,backprop,path_transport,0.9702999591827393
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_15,config_15,42,mnist,shunting,local_ca,5f,local,path_transport,0.9727999567985535
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_16,config_16,43,mnist,shunting,local_ca,5f,local,path_transport,0.9709999561309814
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_17,config_17,44,mnist,shunting,local_ca,5f,local,path_transport,0.9693999886512756
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_18,config_18,45,mnist,shunting,local_ca,5f,local,path_transport,0.9723999500274658
revision_exact_transport_factorial_mnist_5seed_20260624152116/config_19,config_19,46,mnist,shunting,local_ca,5f,local,path_transport,0.9703999757766724
revision_exact_transport_bp_mnist_5seed_20260624152116/config_0,config_0,42,mnist,shunting,standard,backpropagation,backprop,backpropagation,0.9705999493598938
revision_exact_transport_bp_mnist_5seed_20260624152116/config_1,config_1,43,mnist,shunting,standard,backpropagation,backprop,backpropagation,0.9703999757766724
revision_exact_transport_bp_mnist_5seed_20260624152116/config_2,config_2,44,mnist,shunting,standard,backpropagation,backprop,backpropagation,0.9695000052452087
revision_exact_transport_bp_mnist_5seed_20260624152116/config_3,config_3,45,mnist,shunting,standard,backpropagation,backprop,backpropagation,0.9713999629020691
revision_exact_transport_bp_mnist_5seed_20260624152116/config_4,config_4,46,mnist,shunting,standard,backpropagation,backprop,backpropagation,0.9693999886512756
