architecture,seed,path_gain_cv_mean,path_gain_cv_median,stage0_mean,stage1_mean,stage0_within_cv,stage1_within_cv,stage0_path_specific_energy_fraction,stage1_path_specific_energy_fraction,compartments_per_neuron,n_soma,probe_accuracy,capture_forward_max_abs_difference,config_sha256,checkpoint_sha256,run_dir
additive,52,0.5489523410797119,0.535151481628418,5.091587066650391,0.886130154132843,0.2522229254245758,0.18049229681491852,0.30933036196043734,0.17168469608117068,12,128,0.9638671875,0.0,025a42bd947059334f13515a5350ae2f1e7eced25369ce010bc8da2b54951ba6,f2a075a8e1f2edec0288c15e94d406f57ac09014c6efbaa742e5200514b89904,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_10
additive,53,0.5554673075675964,0.5381803512573242,5.233970642089844,0.9176170229911804,0.26384085416793823,0.1832539290189743,0.32218609189936914,0.18064834960782694,12,128,0.9580078125,0.0,373abefd6d3ecdd26a019151203e5b2e5cd9cad30288bc0fde33640d5e78018a,ac874c72c13cc93b545ffb8b69d00680350e90746e03f7e3c2319436a33bf679,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_11
additive,54,0.5714923143386841,0.5497982501983643,5.397283554077148,0.9462725520133972,0.28855955600738525,0.18869200348854065,0.33154864464610306,0.18567172795548698,12,128,0.96533203125,0.0,44c09d6497e37138526b9271c28ee2bfe1d5ed923dfde1ff9f272eca1cb972ba,3735b064b071f9dc08c190f50fdf9bd39d611b8e6542f744149f37e813a409d1,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_12
additive,55,0.5761306285858154,0.5607700943946838,5.479390621185303,0.9459120631217957,0.2942116856575012,0.20612339675426483,0.33153545973476906,0.19163605721189064,12,128,0.96435546875,0.0,fc737dd8956ed6395f6c2d401594e173eb5effa89b3166a0cf2ac854bdc4d439,3f77717fc8ff9e0fae0881b7f9eb5ad1e86b5ef7de48ddbf62f7dc278c68d499,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_13
additive,56,0.5674675107002258,0.5440198183059692,5.378668308258057,0.9241345524787903,0.2790580093860626,0.1883561611175537,0.32382821768261133,0.18187771715801468,12,128,0.96240234375,0.0,5053db874bca17e80d11a81c76cf2db090cda1a57c5128426262c6fe743e77f6,0b86b86d2e83736019a8794effd0fc0f6b136bf79fa6ab0960c6c2709c68d8a3,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_14
shunting,42,0.7547496557235718,0.7204720973968506,0.24350881576538086,0.6158085465431213,0.7324515581130981,0.3185907304286957,0.5433558239836974,0.17949859778003904,12,128,0.96240234375,0.0,37ee376e5005de098308353b5b163de09b126a5e75bfb919314ef62c7a2ecba2,db9f7dc65a29f22cbc3b138adee1be71dc0a4ec8789de6b0efecc8709b60a986,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_0
shunting,43,0.7465305328369141,0.7058811187744141,0.23201169073581696,0.5958380103111267,0.7107852697372437,0.2853785753250122,0.5157609319655483,0.1815017212442039,12,128,0.966796875,0.0,bfb880149b1a79ab1d49b1a6584c44032741768d39a64b1ddefecadd088ca027,9750f4ab551dcb5678b381395a7d5d03cf4cff79fa1c36bbe87cd6f97e80ed46,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_1
shunting,44,0.7662603855133057,0.7552924752235413,0.23470698297023773,0.5932691693305969,0.743934690952301,0.32817041873931885,0.5403782697396112,0.1814767313493595,12,128,0.9677734375,0.0,ebbc553ec295f41ca3d7d4e64cd82d69d04f25aecead9538f2a66aa86a54a0fd,2e425302107e0a1690f2db9580511cd117ec8ebbb3e731c1fdf1a3b4fca0bf83,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_2
shunting,45,0.7486757636070251,0.7259835004806519,0.23128175735473633,0.5826981663703918,0.7286602854728699,0.2935878038406372,0.5032454448886651,0.161622603160812,12,128,0.96728515625,0.0,68befd0c215238c6e97bd15c62b3db5787299847930ee513c5f44a58f43e00f1,f5f0a1057955c95485973ac3301b27005d3c0017be5020a4d7ece55732b3c0cf,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_3
shunting,46,0.7600651979446411,0.7225014567375183,0.24127909541130066,0.5953933596611023,0.7425543069839478,0.30803382396698,0.5751140483014202,0.20956573951634813,12,128,0.958984375,0.0,e7c4d28ae29f7239953801e5673a712620437ccfdf451bc679740307d4482407,33ee56920b6170665709f45c6e807127ed3eb7bd7f3b495ff08ef9fb4b85771d,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_4
shunting,47,0.7676841020584106,0.748353123664856,0.22920314967632294,0.590529203414917,0.7365732192993164,0.32135963439941406,0.5397195290958444,0.1968284833925795,12,128,0.9619140625,0.0,3b5a3862e80d28be017eda8aa8b33d2f6c9803fbc2df1a30f61a0624dce4985f,89100f3c6588b9fd5250b6242c00ebca02a17c969fc18a7c1ddf3fcaa87dbef1,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_5
shunting,48,0.7431153059005737,0.7165881395339966,0.24104537069797516,0.5974597334861755,0.7323483228683472,0.3066815733909607,0.5620998267045678,0.18683055647265787,12,128,0.9638671875,0.0,9da5f68bcd6ecdb1f4db64eeb269c39416d681e764d9d324ac7d12d65738ba86,48a3768cbf7f6b81e4c62781b9d3751b244eb81dab5d0b4c3897096e48281ab1,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_6
shunting,49,0.7524852752685547,0.7286745309829712,0.24766013026237488,0.6043511629104614,0.7646687030792236,0.311306357383728,0.5807059974427725,0.18519904102155937,12,128,0.96337890625,0.0,0bc24ac1614b0fd08b02c979e6eef5b012450746f2d93a5f845985fdb359b298,e318d34298bbb0210c2f6dc6338e651f6e5cc27a00c4f3e84461b54c088328ae,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_7
shunting,50,0.7393444776535034,0.7300490140914917,0.23690125346183777,0.6094066500663757,0.6900122761726379,0.315216988325119,0.4962232830127422,0.17745696850988293,12,128,0.96142578125,0.0,8c1ecf9b8fdab2e9c1eaa0ab30ca0c7387e4851c387b7141d2043b251c3529b4,8f0906be25aba97cee64d7cc759d77e089f3dcdc3bd178e097482b4e3f8d4904,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_8
shunting,51,0.744159460067749,0.7110798358917236,0.22475852072238922,0.5759068131446838,0.7027605772018433,0.28073832392692566,0.5267900621328244,0.16031954951433983,12,128,0.96484375,0.0,dbc13240fb33602fd4252b01d9c12707f8a88ef20c79819f1456fae8ac456909,9a6b1900ea8f450f536630a813d64509b9e1b1a12016f33fb6220aaee1923d4d,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_9
shunting,52,0.7309699058532715,0.7178926467895508,0.23802171647548676,0.6038870811462402,0.6782280206680298,0.2827550172805786,0.5307627218008443,0.16395480861091824,12,128,0.96435546875,0.0,55ae61bebba9d8d2185156cb4b429995f521535c4146ffc9a42bb97cc60dd4b0,4ebe3fe464a2c634d3c1a6d81757e89a49557238f4850ff48d196f7dd1fb6232,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_10
shunting,53,0.7538554668426514,0.7418119311332703,0.23314934968948364,0.5996965169906616,0.7181972861289978,0.3172576129436493,0.5184957489358382,0.17332004242777083,12,128,0.9677734375,0.0,b6e6beaf2b95ea531bbd3eb0ba3be8c5b2ad9990feff3459d64c5ded870f1ae5,11f966b848f4074e3391201383b21be0ae9506e5f0d3da43511621f940cfe967,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_11
shunting,54,0.7285101413726807,0.7142679691314697,0.22706392407417297,0.5883467793464661,0.6800951957702637,0.27064815163612366,0.5239113316391932,0.16953291478751092,12,128,0.962890625,0.0,d9c3892626174e9ab8318de9f5551b88ff184f52584326550339f5e015c2edaf,8bd2e704cb67ad9f0ebe9fece019395336ec92e6ff725f48cb8137e924a8800d,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_12
shunting,55,0.7512100338935852,0.7357463836669922,0.24999435245990753,0.625831663608551,0.7304332852363586,0.3092443346977234,0.5312032066326214,0.17378149347377653,12,128,0.9619140625,0.0,292b0e093f3c8ee9d8eb14d2623f6eec5692d66cb7fae87f5e6844d30611ac77,93ba269dac6de73e90c1fc857103d2205118fa33d4d58f492b94a95780535730,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_13
shunting,56,0.739601194858551,0.7130405902862549,0.23920144140720367,0.6027606725692749,0.7079000473022461,0.2890141010284424,0.5355006759367466,0.18213380775011517,12,128,0.96044921875,0.0,0393cfd317d8c1478bd604fa3ffff6676e0e6269172c2f4a6e4a2b5696fb9e04,4055bc31357f810fbe0f7174426095819e0d9178f9aa06c5071fd2ed7ae538c1,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_shunting_15seed_20260825173517/results/config_14
