run_dir,factorization_weighted_cosine,factorization_weighted_relative_l2,factorization_weighted_scaled_relative_l2,factorization_weighted_scale_mismatch,factorization_weighted_r2,path_factor_scalar_weighted_cosine,path_factor_scalar_weighted_relative_l2,path_factor_scalar_weighted_scaled_relative_l2,path_factor_scalar_weighted_scale_mismatch,path_factor_scalar_weighted_r2,path_transport_weighted_cosine,path_transport_weighted_relative_l2,path_transport_weighted_scaled_relative_l2,path_transport_weighted_scale_mismatch,path_transport_weighted_r2,per_soma_weighted_cosine,per_soma_weighted_relative_l2,per_soma_weighted_scaled_relative_l2,per_soma_weighted_scale_mismatch,per_soma_weighted_r2,scalar_weighted_cosine,scalar_weighted_relative_l2,scalar_weighted_scaled_relative_l2,scalar_weighted_scale_mismatch,scalar_weighted_r2,path_gain_cv_mean,path_gain_mean
drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_0,1.0000004763056518,1.1819672981532654e-07,0.748882555154911,4.596809924691423e-11,0.9999999999999807,0.19557358811681086,2.675613660937255,0.9846291581266507,0.42029697591224846,-3.543826979806032,1.0000030627617469,62.999997750143166,0.0019650134604881843,1.806179973983887,-3969.097760710693,0.15773937621941933,14787623.491674688,0.9195311332292234,5.3430072365859225,-1001.7834864111696,0.08383744926406787,14787618.79901562,0.996394825119727,5.223078929618547,-10.268635400128058,0.4724878944978694,0.15228818423206184
drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_1,1.0000004464653647,1.0122814056324999e-07,0.7287658584897908,2.335978121467026e-11,0.9999999999999893,0.15678278929912126,3.3889944592419234,0.9768480577664277,0.5239760499209463,-6.737507767025635,1.0000008803147535,63.00000938969666,7.74352772823075e-05,1.806179973983887,-3968.5753238410334,0.08685382684836021,12108562.632307053,0.9229647410915262,5.323863327901206,-1015.1171024564229,0.05257513144841561,12108557.909675809,0.986985128747799,5.206851763290677,-23.079944020598887,0.4013027981408904,0.15229943140787527
drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,1.0000001936391176,9.188662004055368e-08,1.1375140785322082e-07,0.0,0.9999999999999915,0.36051844175045306,11.513060323312281,0.9324326580302975,1.066238729803607,-134.6194661565891,1.0000015772306001,63.000012516408034,7.321997313049047e-07,1.8061800398430046,-3969.9588655482758,0.2822804840711447,28.932530267479617,0.8998226686118727,1.4428328169342484,-951.5861059110975,0.2390445310335893,24.510722343710697,0.968977040639027,1.3630828137112767,-648.543609649261,0.2420383842504273,0.21796704140993264
drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_11,1.000000253272254,9.757236594163514e-08,1.0103882610092171e-07,1.0396135906933959e-08,0.9999999999999903,0.2851641187444329,10.70519329895696,0.955021987256129,1.0380148316696542,-114.1886964014555,1.0000011187333326,63.00000623662879,7.250700145939102e-07,1.8061800036214994,-3968.042920703701,0.23757721254458794,26.959054274162586,0.9087655892799652,1.406613850631437,-852.4790014249363,0.1612722550590451,22.808319193278177,0.9856861225422235,1.3410542174442617,-553.4581852566763,0.2221327348709445,0.21678268450957078
drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_12,1.000000342508271,8.929599486535496e-08,9.068811295658747e-08,1.975402824672237e-08,0.9999999999999919,0.03046215956027691,6.558695016402918,0.9905155591546524,0.8100940108740715,-42.6013081914818,1.0000017514595618,63.00000094896041,4.3402760200583363e-07,1.806179953460982,-3968.2005974739795,0.09965108349346198,18.876704066730742,0.9226829474052199,1.2255767815612713,-521.6015221150799,0.05799976120201441,14.639100688437185,0.9910427059045028,1.157416905632744,-220.9314672312091,0.22109414266908095,0.21769714584717384
drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_13,1.0000002531582872,8.514818656411542e-08,9.769379253861904e-08,4.8238723103164036e-09,0.9999999999999927,0.31131635348384196,14.940125875837238,0.9447355652291731,1.1820071531843137,-222.67129611131517,1.0000012012628408,63.000003062978834,5.404332542463424e-07,1.8061799935319949,-3968.061525868909,0.28571678124941313,31.47048291506579,0.8985753379864506,1.4869793498554567,-1081.5901803985644,0.2132379627571656,27.66470212911516,0.975369908030771,1.4351041564779872,-790.3493348695241,0.2152442647614439,0.21823207632853434
drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_14,1.0000001340439701,8.815083329963026e-08,8.383351133072327e-08,2.1396730903501086e-08,0.9999999999999911,0.6195394333738548,10.456853240638946,0.7421935236662487,1.0394039867689915,-111.02474463005046,1.0000010086939886,63.000008138393746,5.065741908559568e-07,1.806179997256422,-3968.0836743783366,0.233803157049876,28.481705252934105,0.9062005904701407,1.441082974474803,-910.0483017763092,0.1655711646263416,24.307750157494294,0.9826310575694296,1.3747791349841647,-610.6047888793794,0.2441719571976579,0.21744529157876968
drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_15,1.000001593427038,1.1731342435833589e-07,1.2415785557870966e-07,3.1790626108834625e-08,0.9999999999999857,0.4243245766713069,9.177812819449969,0.9045437371558369,0.9783819553191985,-83.90782869688584,1.0000042365147517,63.00000143195411,6.001350707946833e-07,1.8061799385623587,-3968.1701479635713,0.26044026819559246,26.47501569932481,0.9044791360974753,1.4032652769366802,-818.4445749285661,0.20629578026441428,22.178859068179733,0.977952210484668,1.3311111076670865,-517.0611103744114,0.21573482510945677,0.19619693148594636
drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_16,1.0000019433241578,1.0248098969189578e-07,1.1492260397798824e-07,3.638214304207982e-09,0.9999999999999892,0.12066950018589313,7.578084261591483,0.9890948502936757,0.8803463795046663,-56.98894818018142,1.0000044107437134,63.00000271437289,4.587307153208802e-07,1.8061799927977162,-3968.28097457805,0.181027016387536,22.804689221424777,0.9170033448172409,1.3281863511835146,-657.7511964745188,0.11748918260519321,18.46222261756676,0.9927528781596853,1.2525306421193738,-355.64220321774803,0.19197551512127728,0.19725293264939234
drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_17,1.0000021295649295,1.0690726547745394e-07,1.0690554684666928e-07,1.4274034314050042e-08,0.9999999999999875,0.2291128165446795,4.220227562496323,0.9699999633170892,0.6367819936376059,-16.833823163241423,1.0000047225218553,62.9999971838639,3.796703492523601e-07,1.806179985015586,-3969.2173447073415,0.1936374965768594,14.454513689130259,0.9153451447940034,1.068026888036873,-409.8145336196733,0.11349488508242828,9.921780353953562,0.9922008127135094,0.9746267861728373,-105.56335801256901,0.20727173558211548,0.1965707316994667
