seed,network_type,trained_broadcast_mode,diagnostic_feedback,branch_numel_weighted_cosine,branch_macro_cosine,branch_concatenated_cosine,branch_local_exact_norm_ratio,cohort,run_dir,checkpoint_sha256
50,dendritic_additive,per_soma,scalar_fallback,0.1273101824830727,0.1755059741437435,0.1041089913922007,0.3260923615739818,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_8,91abe6ec98ace94d76546dfdb858c2eb1d78411fc92e8a8fa9fec10d0fbe2dc7
51,dendritic_additive,per_soma,neuron_wise,0.4086267143131727,0.513631957769394,0.3516198731075078,1.6280008574641238,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_9,f1d1bedac32b65496d4ab95f3c992525d37dbf4488bc52c8d9daea038d4b9518
51,dendritic_additive,per_soma,scalar_fallback,0.1942980115727124,0.2580777168273925,0.1652968561972241,0.4632416167465183,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_9,f1d1bedac32b65496d4ab95f3c992525d37dbf4488bc52c8d9daea038d4b9518
52,dendritic_additive,per_soma,neuron_wise,0.4019609074763567,0.5189402878284455,0.3415891557402175,1.006237436865565,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_10,39b8a161fe6510aaa51a016584695448a62cb90b1938e7e04d274750971b3782
52,dendritic_additive,per_soma,scalar_fallback,0.1179764533090401,0.1789864242076873,0.0900595494506115,0.2349876200457866,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_10,39b8a161fe6510aaa51a016584695448a62cb90b1938e7e04d274750971b3782
53,dendritic_additive,per_soma,neuron_wise,0.4647370073899804,0.5446669697761536,0.4443040264411246,0.9937052310927764,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_11,d330232ee33697006b7200056047988832dbf0303f81bac8e56f3a12af145430
53,dendritic_additive,per_soma,scalar_fallback,0.2550539674179487,0.2863935917615891,0.2583335417093257,0.2706011538913165,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_11,d330232ee33697006b7200056047988832dbf0303f81bac8e56f3a12af145430
54,dendritic_additive,per_soma,neuron_wise,0.4241521727896307,0.4910540103912353,0.3889292181651574,1.0149034709708762,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_12,b69518b5cb11f194312af43bfb1b82ef51e059b971630c06bf4c4228c931c26e
54,dendritic_additive,per_soma,scalar_fallback,0.0851420735101775,0.1278018474578857,0.0424804910594402,0.2572296828695029,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_12,b69518b5cb11f194312af43bfb1b82ef51e059b971630c06bf4c4228c931c26e
55,dendritic_additive,per_soma,neuron_wise,0.4765887887354391,0.5702324032783508,0.4569090256124425,1.2215322706266845,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_13,0fa0998c4a1f15904bf5f3c38465d9518642bfb71322a13ef7a6e487658c86d3
