unit_index,pre_pt_root_id,nucleus_id,segment_id,major_branch,path_um,depth,x_um,y_um,z_um,n_synapses,contact_size,repeat_reliability,manual_match
0,864691135545285672,293776,2724,1489,147.01544642097036,4.0,692.792,541.224,715.88,1,3932.0,0.1127856495396212,True
1,864691135102434592,294768,2570,1489,155.24005683212124,7.0,616.8000000000001,488.04,807.6,1,396.0,0.3782882496064119,False
2,864691136335276211,227603,3907,3169,130.14255890034136,2.0,742.048,526.816,903.48,1,13996.0,0.39550116883736464,False
3,864691135376325193,294251,2846,2796,144.2324173941878,3.0,671.408,532.904,753.28,1,8364.0,0.4294833261771861,False
4,864691135294476214,294810,3031,2983,141.22985095535924,4.0,715.464,581.048,882.52,1,7628.0,0.2805686751586279,True
5,864691135347693215,224535,3520,3491,75.46413734584691,2.0,660.032,571.288,794.6800000000001,1,2056.0,0.1436381852010877,False
6,864691135739736689,258489,2981,2796,141.47273465967396,4.0,712.376,554.64,792.4,1,6252.0,0.24661514240732788,True
7,864691135442905672,298951,2981,2796,141.47273465967396,4.0,719.312,555.184,783.76,1,4288.0,0.39788178044940603,False
8,864691135442668872,224517,4331,3491,122.38005782711568,3.0,654.792,586.696,816.32,1,27160.0,0.33879108821144027,True
9,864691135582973549,333202,4433,3688,117.40283186580152,3.0,717.456,517.672,853.12,1,1120.0,0.42905872811411666,False
10,864691136093372084,294612,3320,2796,138.37150042014596,3.0,678.936,574.176,784.76,1,8920.0,0.2618959019130766,False
11,864691136086755436,232438,3094,3035,140.2785454915903,3.0,591.288,576.84,767.32,1,12392.0,0.50074423930156,False
12,864691135470787666,294548,3283,2983,138.3868095444029,3.0,724.072,541.376,836.5600000000001,1,10088.0,0.2964123849053003,True
13,864691136906009522,258087,4380,3035,118.43447613746493,3.0,653.264,558.352,824.64,1,192.0,0.2461142121082009,False
14,864691136665194974,224670,3955,2851,129.91144408297998,3.0,680.992,595.808,869.6800000000001,2,24116.0,0.29102142073374354,True
15,864691136118618136,518623,3434,1489,137.80099767933726,3.0,739.12,518.112,767.5600000000001,1,3848.0,0.20489480463718332,True
16,864691135943762036,294535,2526,1489,158.75266650822388,9.0,657.832,487.352,839.52,1,2480.0,0.15659558227183815,False
