task,budget,rate,left,right,seed,difference
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090806,-8.240055231784352e-06
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090807,3.884821849928387e-05
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090808,1.7601363502193985e-05
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090809,4.582642439472332e-06
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090810,-1.65249590984793e-05
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090811,2.952749914435076e-06
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090812,1.6128050497976018e-06
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090813,1.3965735676378607e-05
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090814,-9.566251829824934e-07
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090815,3.465395925773281e-06
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090816,1.8282477188783827e-06
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090817,-1.1725011202816585e-05
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090818,6.035902830169056e-06
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090819,3.8426546202769796e-06
aligned_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,2026090820,-3.683679809010813e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090801,-4.001059633632242e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090802,2.526400436420116e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090803,5.909748260824382e-07
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090804,2.997387450352094e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090805,-8.704928345386644e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090806,-4.926956706563973e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090807,3.829055220874856e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090808,-2.9818918249324564e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090809,-9.287651443759133e-07
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090810,-3.4668189919108225e-05
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090811,6.192528654203907e-08
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090812,-1.586250723015167e-05
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090813,-4.917997076238381e-07
