task,budget,rate,left,right,n,mean,ci_low,ci_high,positive,negative
aligned_strong,4096,0.1,hard_distal_and_proximal,hard_distal_unit_proximal,20,3.937946823812516e-06,3.9168164709607457e-07,8.311280745241532e-06,15,5
aligned_strong,4096,0.1,ancestry_two_leaf_oracle_unit_proximal,exact,20,2.0531126043191335e-06,-8.43475526727547e-07,4.9178442327162935e-06,13,7
aligned_strong,4096,0.1,shunt_proportional_unit_proximal,exact,20,-8.080282957556353e-07,-5.3591147621032305e-06,3.350962471993833e-06,8,12
aligned_strong,4096,0.1,ancestry_three_oracle,exact,20,-5.582096688183748e-07,-4.433724553567567e-06,2.9478441969964345e-06,11,9
aligned_strong,4096,0.1,calibrated_broadcast,unit_broadcast,20,-4.991625859058013e-08,-2.6353273798942793e-07,1.1058227897043337e-07,10,10
aligned_strong,16384,0.01,unit_broadcast,hard_distal_unit_proximal,20,0.000266460965907006,0.0001584222087309807,0.00038357634152406375,20,0
aligned_strong,16384,0.01,hard_distal_unit_proximal,exact,20,1.2927750013426419e-07,-1.086234177993657e-07,4.454156875806765e-07,8,12
aligned_strong,16384,0.01,swapped_distal_unit_proximal,hard_distal_unit_proximal,20,0.005092604479959402,0.0035247171825979803,0.006708162965180327,20,0
aligned_strong,16384,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,20,1.0376572098026882e-06,-3.5002153928243094e-07,3.339706947243121e-06,10,10
aligned_strong,16384,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,20,1.485672793584975e-08,-7.395291114587645e-08,1.1157988605009715e-07,10,10
aligned_strong,16384,0.01,shunt_proportional_unit_proximal,exact,20,1.7506055473057908e-07,-4.952964359604163e-08,4.6466814586523064e-07,10,10
aligned_strong,16384,0.01,ancestry_three_oracle,exact,20,3.402868080399175e-08,-8.472026869529672e-08,1.7003561875199142e-07,10,10
aligned_strong,16384,0.01,calibrated_broadcast,unit_broadcast,20,-2.530349387529119e-07,-6.75623975642445e-07,-1.0837476879885081e-08,9,11
aligned_strong,16384,0.03,unit_broadcast,hard_distal_unit_proximal,20,0.00023791551432169618,0.00012507900060595187,0.00036506493508494986,20,0
aligned_strong,16384,0.03,hard_distal_unit_proximal,exact,20,-5.704204442080543e-07,-1.3661045074330937e-06,5.636942759828518e-08,11,9
aligned_strong,16384,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,20,0.005380388335976007,0.003621374285034188,0.007280062793096027,20,0
aligned_strong,16384,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,20,2.1355060978335157e-06,-2.1084113278355612e-07,6.070608126166536e-06,12,8
aligned_strong,16384,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,20,-6.768158681579288e-07,-1.4670195476776778e-06,-6.982304707256275e-08,9,11
aligned_strong,16384,0.03,shunt_proportional_unit_proximal,exact,20,-7.065391128855885e-07,-1.4536965139873635e-06,-1.1861817436167438e-07,4,16
aligned_strong,16384,0.03,ancestry_three_oracle,exact,20,-5.451918599849112e-07,-1.3735644865984095e-06,1.0453620081799943e-07,7,13
aligned_strong,16384,0.03,calibrated_broadcast,unit_broadcast,20,1.0060704169753794e-07,-2.3024826123723183e-07,5.097810964272466e-07,8,12
aligned_strong,16384,0.1,unit_broadcast,hard_distal_unit_proximal,20,0.00025812675067872525,0.0001339016613422396,0.00039599263366849654,20,0
aligned_strong,16384,0.1,hard_distal_unit_proximal,exact,20,-3.632060332665662e-07,-9.42851011643057e-07,1.05999890372632e-07,3,17
aligned_strong,16384,0.1,swapped_distal_unit_proximal,hard_distal_unit_proximal,20,0.004332671729704426,0.002723608892269353,0.0060371933607586865,20,0
aligned_strong,16384,0.1,hard_distal_and_proximal,hard_distal_unit_proximal,20,3.120660495985042e-06,1.775132355974135e-07,7.3268585974650666e-06,13,7
aligned_strong,16384,0.1,ancestry_two_leaf_oracle_unit_proximal,exact,20,-4.862814399378427e-07,-1.0325660894043657e-06,-6.928822798767562e-08,5,15
aligned_strong,16384,0.1,shunt_proportional_unit_proximal,exact,20,-2.8479076237787184e-07,-8.947204718843441e-07,2.644413697998774e-07,5,15
aligned_strong,16384,0.1,ancestry_three_oracle,exact,20,-4.1854515990794723e-07,-9.189519356384677e-07,-4.412147199402005e-08,3,17
aligned_strong,16384,0.1,calibrated_broadcast,unit_broadcast,20,-1.363054882552469e-06,-3.815295556767735e-06,5.710866123890576e-07,9,11
opposed_strong,4096,0.01,unit_broadcast,hard_distal_unit_proximal,20,0.5549989069800301,0.4323862986247064,0.677790296192399,20,0
opposed_strong,4096,0.01,hard_distal_unit_proximal,exact,20,-9.121214436562612e-07,-8.13056442386747e-06,5.5611936306919634e-06,14,6
opposed_strong,4096,0.01,swapped_distal_unit_proximal,hard_distal_unit_proximal,20,0.9501840567124363,0.9082446310769774,0.9819242724650604,20,0
opposed_strong,4096,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,20,0.13345039277404488,0.09023178371628901,0.18223407098145386,20,0
