cohort,seed,alignment_alpha,depth,branch_factors,test_accuracy,test_auc
known_endpoint,10200,1.0,1,8,0.606400013,0.6502332091
known_endpoint,10201,1.0,1,8,0.6128999591,0.654812932
known_endpoint,10202,1.0,1,8,0.6169999838,0.6562231183
known_endpoint,10203,1.0,1,8,0.6112999916,0.6516067386
known_endpoint,10204,1.0,1,8,0.6006999612,0.644226253
known_endpoint,10205,1.0,1,8,0.6085999608,0.6543723941
known_endpoint,10206,1.0,1,8,0.6100999713,0.6539540887
known_endpoint,10207,1.0,1,8,0.6089999676,0.6488108635
known_endpoint,10208,1.0,1,8,0.6132999659,0.6521536112
known_endpoint,10209,1.0,1,8,0.6069999933,0.6511309743
known_endpoint,10200,1.0,2,2x3,0.6811000109,0.7436250448
known_endpoint,10201,1.0,2,2x3,0.674399972,0.7411543727
known_endpoint,10202,1.0,2,2x3,0.6761999726,0.7402569652
known_endpoint,10203,1.0,2,2x3,0.6674999595,0.7378710508
known_endpoint,10204,1.0,2,2x3,0.6696000099,0.7309682965
known_endpoint,10205,1.0,2,2x3,0.6825000048,0.7445926666
known_endpoint,10206,1.0,2,2x3,0.6779999733,0.7369359732
known_endpoint,10207,1.0,2,2x3,0.6724999547,0.734803617
known_endpoint,10208,1.0,2,2x3,0.679099977,0.7398009896
known_endpoint,10209,1.0,2,2x3,0.671299994,0.7386852503
known_endpoint,10200,1.0,3,2x1x2,0.9126999974,0.9526788592
known_endpoint,10201,1.0,3,2x1x2,0.9185999632,0.950054884
known_endpoint,10202,1.0,3,2x1x2,0.9139999747,0.948964417
known_endpoint,10203,1.0,3,2x1x2,0.9186999798,0.9540513754
known_endpoint,10204,1.0,3,2x1x2,0.9086999893,0.9457327724
known_endpoint,10205,1.0,3,2x1x2,0.9187999964,0.9451858401
known_endpoint,10206,1.0,3,2x1x2,0.9117999673,0.9480231404
known_endpoint,10207,1.0,3,2x1x2,0.921399951,0.9506470561
known_endpoint,10208,1.0,3,2x1x2,0.9256999493,0.9564318657
known_endpoint,10209,1.0,3,2x1x2,0.931400001,0.9602648616
known_endpoint,10200,0.0,1,8,0.5755999684,0.6101480126
known_endpoint,10201,0.0,1,8,0.586499989,0.6180964708
known_endpoint,10202,0.0,1,8,0.591899991,0.6254606247
known_endpoint,10203,0.0,1,8,0.5834999681,0.6123273373
known_endpoint,10204,0.0,1,8,0.5708000064,0.6047578454
known_endpoint,10205,0.0,1,8,0.5830999613,0.6180139184
known_endpoint,10206,0.0,1,8,0.5799999833,0.6138782501
known_endpoint,10207,0.0,1,8,0.5758000016,0.6053963304
known_endpoint,10208,0.0,1,8,0.5742999911,0.6039003134
known_endpoint,10209,0.0,1,8,0.5722000003,0.6094330549
known_endpoint,10200,0.0,2,2x3,0.5769999623,0.6102675796
known_endpoint,10201,0.0,2,2x3,0.5848999619,0.6176565289
known_endpoint,10202,0.0,2,2x3,0.5922999978,0.6245230436
known_endpoint,10203,0.0,2,2x3,0.5839999914,0.6121910214
known_endpoint,10204,0.0,2,2x3,0.5726000071,0.6045274138
known_endpoint,10205,0.0,2,2x3,0.5823999643,0.6176993847
known_endpoint,10206,0.0,2,2x3,0.579400003,0.6135427356
known_endpoint,10207,0.0,2,2x3,0.5760999918,0.6053299308
known_endpoint,10208,0.0,2,2x3,0.5727999806,0.6026781201
known_endpoint,10209,0.0,2,2x3,0.574000001,0.6090403199
known_endpoint,10200,0.0,3,2x1x2,0.5777999759,0.6096687317
known_endpoint,10201,0.0,3,2x1x2,0.5805999637,0.6163477898
known_endpoint,10202,0.0,3,2x1x2,0.592599988,0.6227258444
known_endpoint,10203,0.0,3,2x1x2,0.5805000067,0.6111148
known_endpoint,10204,0.0,3,2x1x2,0.57099998,0.6042094827
known_endpoint,10205,0.0,3,2x1x2,0.5830999613,0.6169302464
known_endpoint,10206,0.0,3,2x1x2,0.5837000012,0.6128916144
known_endpoint,10207,0.0,3,2x1x2,0.5746999979,0.605294168
known_endpoint,10208,0.0,3,2x1x2,0.5777999759,0.6001405716
known_endpoint,10209,0.0,3,2x1x2,0.5737999678,0.6085315943
prospective_intermediate,10200,0.25,1,8,0.5774999856948853,0.6137984991073608
prospective_intermediate,10201,0.25,1,8,0.5891000032424927,0.6225211024284363
prospective_intermediate,10202,0.25,1,8,0.5931000113487244,0.6271297931671143
prospective_intermediate,10203,0.25,1,8,0.5859000086784363,0.6158993244171143
prospective_intermediate,10204,0.25,1,8,0.5728999972343445,0.6083889007568359
prospective_intermediate,10205,0.25,1,8,0.5866000056266785,0.6215075850486755
prospective_intermediate,10206,0.25,1,8,0.5821999907493591,0.6179267764091492
prospective_intermediate,10207,0.25,1,8,0.5783999562263489,0.6094651222229004
prospective_intermediate,10208,0.25,1,8,0.5791000127792358,0.6078338027000427
prospective_intermediate,10209,0.25,1,8,0.5778999924659729,0.6135279536247253
prospective_intermediate,10200,0.5,1,8,0.5819000005722046,0.6193045377731323
prospective_intermediate,10201,0.5,1,8,0.5943999886512756,0.627833366394043
prospective_intermediate,10202,0.5,1,8,0.5985999703407288,0.6330807209014893
prospective_intermediate,10203,0.5,1,8,0.5877000093460083,0.6220813989639282
prospective_intermediate,10204,0.5,1,8,0.574999988079071,0.6140486001968384
prospective_intermediate,10205,0.5,1,8,0.5910999774932861,0.6270589232444763
prospective_intermediate,10206,0.5,1,8,0.5849999785423279,0.6240037083625793
prospective_intermediate,10207,0.5,1,8,0.5812999606132507,0.616414487361908
prospective_intermediate,10208,0.5,1,8,0.5827999711036682,0.6160547733306885
prospective_intermediate,10209,0.5,1,8,0.5827000141143799,0.6201211214065552
prospective_intermediate,10200,0.75,1,8,0.590999960899353,0.6302345395088196
prospective_intermediate,10201,0.75,1,8,0.6011999845504761,0.6378474235534668
prospective_intermediate,10202,0.75,1,8,0.6043999791145325,0.6411852836608887
prospective_intermediate,10203,0.75,1,8,0.5936999917030334,0.6321523785591125
prospective_intermediate,10204,0.75,1,8,0.5842999815940857,0.6243443489074707
prospective_intermediate,10205,0.75,1,8,0.6003999710083008,0.6367846131324768
prospective_intermediate,10206,0.75,1,8,0.593999981880188,0.634423553943634
prospective_intermediate,10207,0.75,1,8,0.5931000113487244,0.6281051635742188
prospective_intermediate,10208,0.75,1,8,0.5906000137329102,0.6290069818496704
prospective_intermediate,10209,0.75,1,8,0.5891000032424927,0.6308047771453857
prospective_intermediate,10200,0.25,2,2x3,0.5823000073432922,0.614437460899353
