cohort,run_dir,config_index,seed,alignment_alpha,depth,branch_factors,test_accuracy,test_auc,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,fallback_mentions,nonfinite_alert,config_sha256,final_sha256
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,0,10200,0.25,1,8,0.5774999856948853,0.6137984991073608,66178,14336,21760,2944,0,False,4bb4399ec46da985cfb2937d2a7cd0577e92a59265434b1bd1eb2644ecdaa0fe,877c772789e0f3acad07657d8f7c198a5b08ee2e818a5de7193bdd882d59ead6
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,1,10201,0.25,1,8,0.5891000032424927,0.6225211024284363,66178,14336,21760,2944,0,False,c23256df8972ded10389fbe9836dfa554fbfe137e345d3ca5f8f551be0098bdd,84e6a5591606b4ceb2f4856f3411dd5d5a7411601067edd3c367cb1550d10a08
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,2,10202,0.25,1,8,0.5931000113487244,0.6271297931671143,66178,14336,21760,2944,0,False,0a046262b732b1767f22abfbcb0665b9c43efae790dae9d47c5c529e837a6162,875bf6558869edbdc5145f3d45b7da28607d7b51e3c5c99c3a70d7d7a175c605
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,3,10203,0.25,1,8,0.5859000086784363,0.6158993244171143,66178,14336,21760,2944,0,False,9df8bc2e9739a5c1ee0db4c938e7208a635506abbcc07e5d2ae93d2fd7443739,16c4148e39044f19eb7bcccd947827b437f799304e4c6aaa0754f1a60fe080af
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,4,10204,0.25,1,8,0.5728999972343445,0.6083889007568359,66178,14336,21760,2944,0,False,d2c985da140656e6c824717ebbc5d0c5aab4adb31e504c2fab6105251dd8ef73,a118da60aa5c8e5b918fdaf95047eb53cf577e25d6d2048012998d711c0fe9f7
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,5,10205,0.25,1,8,0.5866000056266785,0.6215075850486755,66178,14336,21760,2944,0,False,0ab4930c3e41c5cb71480494695a3b73254287e97b1508d4abfcb0204e42ab0f,eb30561c2756ab38aa40eb76e0333aeff24a360095abca4f7ce3084276aebacb
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,6,10206,0.25,1,8,0.5821999907493591,0.6179267764091492,66178,14336,21760,2944,0,False,29da80ef974c5573a2fdfc8bc8b60cb65616a1205333ae5a14e519165bcfaeae,2d93e2999a809b8ffe7578fa6c029dca83aa9f1811ede0723f657ba29a859d76
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,7,10207,0.25,1,8,0.5783999562263489,0.6094651222229004,66178,14336,21760,2944,0,False,3f1ac0dc534e6e3bfb3a5167564f9e7a3f23106165b072b53985f42014ddb854,b99b8bb116e9e597e86cfadc92bb51611ebfddc451be49717979c025826bc280
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,8,10208,0.25,1,8,0.5791000127792358,0.6078338027000427,66178,14336,21760,2944,0,False,94b20cc9dcbc7146b7dc444a60fcbae15ade60ce47a58a41194704a922ec78d1,5a8019b36a847f798379197a5e1f436ee8216b8946a9e9467fa026662994b948
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,9,10209,0.25,1,8,0.5778999924659729,0.6135279536247253,66178,14336,21760,2944,0,False,612982e79eec99415c758dd3c518abf87ef89004148e5fff8eb6a25ddd6a18df,193d3f2bdfc16812f89abdfd18c3d7438cb45c1d35bbac4c20749721177e4fd4
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,10,10200,0.5,1,8,0.5819000005722046,0.6193045377731323,66178,14336,21760,2944,0,False,ed0123e34925ff386db9ad085ef5caacc485745f55d43415a47e57b8dae2b40a,27dfca0b47a4e8b6f47a9806af7c5cd2a1f98e35fffc857f9ca964c1a6950da9
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,11,10201,0.5,1,8,0.5943999886512756,0.627833366394043,66178,14336,21760,2944,0,False,571def803382d2a1cd5ba9c180442c6bf6c054d13fd21e3a55bf5ad4e420e752,f4d521f32b920ca15a633276a65776c598537e3ea62a33c7d05e9a778d520d2e
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,12,10202,0.5,1,8,0.5985999703407288,0.6330807209014893,66178,14336,21760,2944,0,False,26f0d60205644adbd673921a9453391a493b5d90e1d5187256079b8462da46f2,9208ff45347c5205d22c214416a4b5722b619b0a00b7413aa501fba895230cd0
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,13,10203,0.5,1,8,0.5877000093460083,0.6220813989639282,66178,14336,21760,2944,0,False,99108af27929694af4ea01c62950822aa4c3f669d314f56dea76fcab5c390b84,a4c232c8a71a869ab20e76635c14f4a32432fca19a4b9fda1d9a29643f81680d
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,14,10204,0.5,1,8,0.574999988079071,0.6140486001968384,66178,14336,21760,2944,0,False,66c4a231c2f7f9770b6df78d63f5237bf0471bf5afbc3ea978d67980206d5e07,919aee99511a865e4860c6ac3d3419cb1ce1853110ab0cae689481e1028a87dc
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,15,10205,0.5,1,8,0.5910999774932861,0.6270589232444763,66178,14336,21760,2944,0,False,6b551b9370a97811d12af271f01cdff930547c985c06dafe5485249526a33a72,cc348d8764fc99ba73005ad84c38c2bf430886f2ad0dc8202b03ef2cd80391a3
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,16,10206,0.5,1,8,0.5849999785423279,0.6240037083625793,66178,14336,21760,2944,0,False,8bf31809f10a559ede6acbc6680502396300abc6e44a61e280b8ae741052b0a6,ab2303bf951fd1caed3bd18d396248147c6bd74bc89c134e3bd7928f10f4bee5
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,17,10207,0.5,1,8,0.5812999606132507,0.616414487361908,66178,14336,21760,2944,0,False,d5ec4ec9e2ed39d60b041439931d9a89ba27fe28182b0f7e54716ba02fb7b55e,f79cbe93d262a93a6a2ddb3684e765230e35e9ffe967f1393e4813a351f97aec
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,18,10208,0.5,1,8,0.5827999711036682,0.6160547733306885,66178,14336,21760,2944,0,False,a60c8d0fb2758a4bd5cf26d8a3bb35214499db2266c8bb2f49b452096979473b,330912cec58c9e959260b70df6e42657cb39dc88737fdd208dc03bb4a90ecd1b
prospective_intermediate,physical_alignment_dose_runs/journal_physical_alignment_dose_intermediate_bp_20260813014213,19,10209,0.5,1,8,0.5827000141143799,0.6201211214065552,66178,14336,21760,2944,0,False,c8436accdbef4d9238a6bb84df14c405639599301817d408704d5061249c3905,47c7edb069bd85c0e5951bfef01b943b9008f6e0db86ccbdef047f1461f862ba
