architecture,feedback_family,budget_k,n_seeds,mean_heldout_accuracy,ci95_low_heldout_accuracy,ci95_high_heldout_accuracy,mean_heldout_loss,ci95_low_heldout_loss,ci95_high_heldout_loss,mean_retained_context_forgetting,ci95_low_retained_context_forgetting,ci95_high_retained_context_forgetting,mean_initial_gradient_capture,ci95_low_initial_gradient_capture,ci95_high_initial_gradient_capture,mean_initial_gradient_cosine,ci95_low_initial_gradient_cosine,ci95_high_initial_gradient_cosine,mean_norm_matched_one_step_progress,ci95_low_norm_matched_one_step_progress,ci95_high_norm_matched_one_step_progress
point_neuron_explicit_gating,exact_compartment_transport,8,20,0.8100097656,0.805078125,0.8148925781,0.4138553991,0.4071609886,0.4206660397,0,0,0,1,1,1,1,1,1,1,1,1
point_neuron_explicit_gating,learned_rank_k_upper_bound,1,20,0.5629882812,0.5454833984,0.5807373047,0.6547088865,0.6519322526,0.6573511775,0,0,0,0.1329633476,0.1307607938,0.1351331738,0.364576888,0.3615505118,0.3675809601,0.3279823046,0.3213451627,0.3344244441
point_neuron_explicit_gating,learned_rank_k_upper_bound,2,20,0.6167236328,0.6006347656,0.6332519531,0.6188148542,0.6151312534,0.6222620094,0,0,0,0.2612405622,0.2584979981,0.2643582573,0.5110759061,0.5084067734,0.5140612222,0.4864395346,0.4796357996,0.4942233459
point_neuron_explicit_gating,learned_rank_k_upper_bound,4,20,0.7030517578,0.6892822266,0.7168945313,0.5490466551,0.5435333602,0.5542749385,0,0,0,0.5120672,0.5096915332,0.5147103402,0.7155776071,0.7139504583,0.7174348438,0.7013929122,0.6932628254,0.7100808872
point_neuron_explicit_gating,learned_rank_k_upper_bound,8,20,0.8100097656,0.8052246094,0.8148681641,0.4138553991,0.4072555199,0.4205892252,0,0,0,1,1,1,1,1,1,1,1,1
point_neuron_explicit_gating,neuron_indexed_shared,1,20,0.1866455078,0.1827392578,0.1907470703,19.87260017,19.57634271,20.20196302,0.0015625,-0.000390625,0.0033203125,0.1312853816,0.1306481816,0.131903036,0.3623277802,0.3614545217,0.3632021172,-1.097266085,-1.101656017,-1.09272487
point_neuron_explicit_gating,random_rank_k,1,20,0.5449707031,0.4629095459,0.6273950195,2.479407811,1.385253543,3.724738342,0.05234375,0.03017456055,0.07587890625,0.08716051588,0.08150992994,0.09287512038,0.2944112112,0.2847854412,0.3041592821,0.4026899947,0.1876778818,0.5822519441
point_neuron_explicit_gating,random_rank_k,2,20,0.6026367188,0.5326641846,0.6710961914,1.253939264,0.8391521195,1.747502616,0.09765625,0.0603515625,0.1372070312,0.2126831604,0.205862525,0.2190810777,0.4608705917,0.4533403628,0.4679676837,0.5671772981,0.4171623792,0.6940310195
point_neuron_explicit_gating,random_rank_k,4,20,0.7779052734,0.7591064453,0.7939208984,0.5109353542,0.491191749,0.5327930342,0.1343261719,0.08466674805,0.1902355957,0.4863481712,0.478875515,0.4927644603,0.6972893951,0.6918212718,0.7019961276,0.8441996579,0.8109161309,0.8783112178
point_neuron_explicit_gating,random_rank_k,8,20,0.8100097656,0.8051269531,0.8150146484,0.4138553991,0.4071651133,0.4205476681,0,0,0,1,1,1,1,1,1,1,1,1
point_neuron_explicit_gating,random_sparse_matched,1,20,0.1866455078,0.1827880859,0.1907714844,19.87260017,19.58098675,20.20278777,0.0015625,-0.000390625,0.003369140625,0.1312853816,0.1306517572,0.1319118189,0.3623277802,0.3614469107,0.3631945062,-1.097266085,-1.101675652,-1.092671542
point_neuron_explicit_gating,random_sparse_matched,2,20,0.2166748047,0.2094726562,0.2247320557,4.569508823,4.111901937,5.071203837,0.0220703125,0.01708984375,0.02724609375,0.260357731,0.2593873987,0.2613088794,0.5102481933,0.5093256449,0.5111663341,-0.9186494262,-0.9528958337,-0.8820016207
point_neuron_explicit_gating,random_sparse_matched,4,20,0.7633789063,0.7526123047,0.7736572266,0.5094402496,0.4954448187,0.5240457402,0.25390625,0.1854968262,0.3214355469,0.5145068271,0.5123634063,0.5165444018,0.7172834062,0.7157974216,0.7187302018,0.8365714408,0.8085141364,0.8638978171
point_neuron_explicit_gating,random_sparse_matched,8,20,0.8100097656,0.8051269531,0.8149664307,0.4138553991,0.4071457929,0.4205735296,0,0,0,1,1,1,1,1,1,1,1,1
point_neuron_explicit_gating,within_neuron_route_derangement,1,20,0.1866455078,0.1827392578,0.1907226563,19.87260017,19.57767955,20.19909233,0.0015625,-0.000390625,0.003369140625,0.1312853816,0.1306443804,0.1319157611,0.3623277802,0.3614382135,0.3631838512,-1.097266085,-1.101547542,-1.092737689
point_neuron_explicit_gating,within_neuron_route_derangement,2,20,0.1846923828,0.1805664063,0.1886962891,31.54877673,31.06195258,32.04132038,0.001220703125,-0.0001953125,0.00263671875,0,0,0,0,0,0,-1.118474582,-1.121852003,-1.115034502
point_neuron_explicit_gating,within_neuron_route_derangement,4,20,0.1904785156,0.1864257813,0.1944335937,17.67565771,17.36048672,18.01171283,0.00048828125,-0.000732421875,0.0017578125,0,0,0,0,0,0,-1.069668828,-1.076490397,-1.063277451
point_neuron_explicit_gating,within_neuron_route_derangement,8,20,0.2512939453,0.24309021,0.2599121094,7.039099034,6.768624916,7.305531887,0.001220703125,0.000341796875,0.0021484375,0,0,0,0,0,0,-0.8780041035,-0.8934191613,-0.8624641358
