seed,condition_id,architecture,feedback_family,budget_k,train_loss,train_accuracy,heldout_loss,heldout_accuracy,retained_context_loss_before_switch,retained_context_accuracy_before_switch,retained_context_accuracy_after_switch,retained_context_forgetting,initial_gradient_cosine,initial_gradient_capture,norm_matched_one_step_progress
4200,dendritic_tree__correct_ancestry_subtrees__k1,dendritic_tree,correct_ancestry_subtrees,1,19.58214346,0.1743164062,19.88165147,0.181640625,20.45119427,0.1669921875,0.1630859375,0.00390625,0.3650433197,0.1332566252,-1.101647598
4200,dendritic_tree__within_neuron_route_derangement__k1,dendritic_tree,within_neuron_route_derangement,1,19.58214346,0.1743164062,19.88165147,0.181640625,20.45119427,0.1669921875,0.1630859375,0.00390625,0.3650433197,0.1332566252,-1.101647598
4200,dendritic_tree__depth_interleaved_bins__k1,dendritic_tree,depth_interleaved_bins,1,19.58214346,0.1743164062,19.88165147,0.181640625,20.45119427,0.1669921875,0.1630859375,0.00390625,0.3650433197,0.1332566252,-1.101647598
4200,dendritic_tree__random_sparse_matched__k1,dendritic_tree,random_sparse_matched,1,19.58214346,0.1743164062,19.88165147,0.181640625,20.45119427,0.1669921875,0.1630859375,0.00390625,0.3650433197,0.1332566252,-1.101647598
4200,dendritic_tree__random_rank_k__k1,dendritic_tree,random_rank_k,1,0.4910470635,0.7958984375,0.5498406751,0.7758789062,0.5462496002,0.810546875,0.673828125,0.13671875,0.3036180859,0.09218394208,0.7495149794
4200,dendritic_tree__learned_rank_k_upper_bound__k1,dendritic_tree,learned_rank_k_upper_bound,1,0.6448883883,0.5986328125,0.6548356944,0.5815429688,0.687362646,0.556640625,0.556640625,0,0.3709812197,0.1376270654,0.3273518779
4200,dendritic_tree__correct_ancestry_subtrees__k2,dendritic_tree,correct_ancestry_subtrees,2,0.8278135081,0.4790039062,0.8974996298,0.4423828125,0.8145044422,0.4716796875,0.4716796875,0,0.5179838795,0.2683072994,0.1301562303
4200,dendritic_tree__within_neuron_route_derangement__k2,dendritic_tree,within_neuron_route_derangement,2,31.50242808,0.1704101562,31.51988955,0.1831054688,32.17651672,0.166015625,0.1591796875,0.0068359375,0,0,-1.122279754
4200,dendritic_tree__depth_interleaved_bins__k2,dendritic_tree,depth_interleaved_bins,2,5.678515012,0.1977539062,5.913975362,0.2055664062,5.68316442,0.19921875,0.16796875,0.03125,0.5133126086,0.2634898342,-0.9901853531
4200,dendritic_tree__random_sparse_matched__k2,dendritic_tree,random_sparse_matched,2,5.466411068,0.2026367188,5.785445531,0.208984375,5.746677085,0.1865234375,0.1669921875,0.01953125,0.5121182101,0.2622650611,-1.012977789
