architecture,budget_k,contrast,endpoint,n_pairs,mean_difference,ci95_low,ci95_high,wins,ties,wilcoxon_p_two_sided
dendritic_tree,1,correct - within_neuron_route_derangement,heldout_accuracy,20,0,0,0,0,20,1
dendritic_tree,1,correct - depth_interleaved_bins,heldout_accuracy,20,0,0,0,0,20,1
dendritic_tree,1,correct - random_sparse_matched,heldout_accuracy,20,0,0,0,0,20,1
dendritic_tree,1,correct - random_rank_k,heldout_accuracy,20,-0.3583251953,-0.4432373047,-0.2750244141,0,0,1.907348633e-06
dendritic_tree,1,correct - best_matched_nonanatomical_oracle,heldout_accuracy,20,-0.3583251953,-0.4422851562,-0.2745849609,0,0,1.907348633e-06
dendritic_tree,1,correct - within_neuron_route_derangement,heldout_loss,20,0,0,0,0,20,1
dendritic_tree,1,correct - depth_interleaved_bins,heldout_loss,20,0,0,0,0,20,1
dendritic_tree,1,correct - random_sparse_matched,heldout_loss,20,0,0,0,0,20,1
dendritic_tree,1,correct - random_rank_k,heldout_loss,20,17.39319236,16.05007935,18.57564184,20,0,1.907348633e-06
dendritic_tree,1,correct - within_neuron_route_derangement,retained_context_forgetting,20,0,0,0,0,20,1
dendritic_tree,1,correct - depth_interleaved_bins,retained_context_forgetting,20,0,0,0,0,20,1
dendritic_tree,1,correct - random_sparse_matched,retained_context_forgetting,20,0,0,0,0,20,1
dendritic_tree,1,correct - random_rank_k,retained_context_forgetting,20,-0.05078125,-0.07368286133,-0.02953979492,3,1,0.0004633944245
dendritic_tree,2,correct - within_neuron_route_derangement,heldout_accuracy,20,0.2639404297,0.2431152344,0.2848632812,20,0,1.907348633e-06
dendritic_tree,2,correct - depth_interleaved_bins,heldout_accuracy,20,0.2468505859,0.2263916016,0.267310791,20,0,8.844915021e-05
dendritic_tree,2,correct - random_sparse_matched,heldout_accuracy,20,0.2319580078,0.2104736328,0.2542724609,20,0,8.844915021e-05
dendritic_tree,2,correct - random_rank_k,heldout_accuracy,20,-0.1540039062,-0.2286157227,-0.07736694336,5,0,0.003380143298
dendritic_tree,2,correct - best_matched_nonanatomical_oracle,heldout_accuracy,20,-0.1540039062,-0.2286889648,-0.07836853027,5,0,0.003380143298
dendritic_tree,2,correct - within_neuron_route_derangement,heldout_loss,20,-30.70715178,-31.20534016,-30.20626056,0,0,1.907348633e-06
dendritic_tree,2,correct - depth_interleaved_bins,heldout_loss,20,-5.196893354,-5.399720858,-5.002016077,0,0,1.907348633e-06
dendritic_tree,2,correct - random_sparse_matched,heldout_loss,20,-3.727883872,-4.237552267,-3.268029365,0,0,1.907348633e-06
dendritic_tree,2,correct - random_rank_k,heldout_loss,20,-0.4123143124,-0.901907709,0.01085806061,11,0,0.452375412
dendritic_tree,2,correct - within_neuron_route_derangement,retained_context_forgetting,20,-0.001220703125,-0.002587890625,0.000244140625,8,1,0.1191147435
dendritic_tree,2,correct - depth_interleaved_bins,retained_context_forgetting,20,-0.0146484375,-0.01821289062,-0.0111328125,0,0,8.683086255e-05
dendritic_tree,2,correct - random_sparse_matched,retained_context_forgetting,20,-0.0220703125,-0.02734375,-0.01708984375,0,0,8.794879347e-05
dendritic_tree,2,correct - random_rank_k,retained_context_forgetting,20,-0.09765625,-0.1374023437,-0.06015625,1,0,1.907348633e-05
dendritic_tree,4,correct - within_neuron_route_derangement,heldout_accuracy,20,0.6105712891,0.6014648437,0.6202636719,20,0,1.907348633e-06
dendritic_tree,4,correct - depth_interleaved_bins,heldout_accuracy,20,0.07111816406,0.06184082031,0.08029785156,20,0,1.907348633e-06
dendritic_tree,4,correct - random_sparse_matched,heldout_accuracy,20,0.03767089844,0.02890625,0.04741210937,20,0,8.832385863e-05
dendritic_tree,4,correct - random_rank_k,heldout_accuracy,20,0.02314453125,0.009912109375,0.03903808594,15,0,0.003380143298
dendritic_tree,4,correct - best_matched_nonanatomical_oracle,heldout_accuracy,20,0.01267089844,0.005932617188,0.01965332031,15,0,0.0048194216
dendritic_tree,4,correct - within_neuron_route_derangement,heldout_loss,20,-17.24458259,-17.58071603,-16.92468289,0,0,1.907348633e-06
dendritic_tree,4,correct - depth_interleaved_bins,heldout_loss,20,-0.1358952119,-0.1436193154,-0.128458903,0,0,1.907348633e-06
dendritic_tree,4,correct - random_sparse_matched,heldout_loss,20,-0.07836512875,-0.09195053216,-0.06473330742,0,0,1.907348633e-06
dendritic_tree,4,correct - random_rank_k,heldout_loss,20,-0.07986023329,-0.09953883674,-0.06217864951,0,0,1.907348633e-06
dendritic_tree,4,correct - within_neuron_route_derangement,retained_context_forgetting,20,-0.00048828125,-0.001708984375,0.000732421875,7,2,0.644472284
dendritic_tree,4,correct - depth_interleaved_bins,retained_context_forgetting,20,-0.5301757812,-0.5475585938,-0.5131347656,0,0,8.844915021e-05
dendritic_tree,4,correct - random_sparse_matched,retained_context_forgetting,20,-0.25390625,-0.32265625,-0.1863769531,0,4,0.0004377771946
dendritic_tree,4,correct - random_rank_k,retained_context_forgetting,20,-0.1343261719,-0.18984375,-0.08330078125,0,0,1.907348633e-06
dendritic_tree,8,correct - within_neuron_route_derangement,heldout_accuracy,20,0.5587158203,0.548046875,0.5696295166,20,0,1.907348633e-06
dendritic_tree,8,correct - depth_interleaved_bins,heldout_accuracy,20,0,0,0,0,20,1
dendritic_tree,8,correct - random_sparse_matched,heldout_accuracy,20,0,0,0,0,20,1
dendritic_tree,8,correct - random_rank_k,heldout_accuracy,20,0,0,0,0,20,1
dendritic_tree,8,correct - best_matched_nonanatomical_oracle,heldout_accuracy,20,0,0,0,0,20,1
dendritic_tree,8,correct - within_neuron_route_derangement,heldout_loss,20,-6.625243635,-6.893563505,-6.358135539,0,0,1.907348633e-06
dendritic_tree,8,correct - depth_interleaved_bins,heldout_loss,20,0,0,0,0,20,1
dendritic_tree,8,correct - random_sparse_matched,heldout_loss,20,0,0,0,0,20,1
dendritic_tree,8,correct - random_rank_k,heldout_loss,20,8.326672685e-18,-1.110223025e-17,2.498001805e-17,6,20,1
dendritic_tree,8,correct - within_neuron_route_derangement,retained_context_forgetting,20,-0.001220703125,-0.0021484375,-0.000341796875,3,6,0.0289507255
dendritic_tree,8,correct - depth_interleaved_bins,retained_context_forgetting,20,0,0,0,0,20,1
dendritic_tree,8,correct - random_sparse_matched,retained_context_forgetting,20,0,0,0,0,20,1
dendritic_tree,8,correct - random_rank_k,retained_context_forgetting,20,0,0,0,0,20,1
point_neuron_explicit_gating,1,correct - within_neuron_route_derangement,heldout_accuracy,20,0,0,0,0,20,1
point_neuron_explicit_gating,1,correct - depth_interleaved_bins,heldout_accuracy,20,0,0,0,0,20,1
point_neuron_explicit_gating,1,correct - random_sparse_matched,heldout_accuracy,20,0,0,0,0,20,1
point_neuron_explicit_gating,1,correct - random_rank_k,heldout_accuracy,20,-0.3583251953,-0.4435076904,-0.274730835,0,0,1.907348633e-06
point_neuron_explicit_gating,1,correct - best_matched_nonanatomical_oracle,heldout_accuracy,20,-0.3583251953,-0.4433874512,-0.2734368896,0,0,1.907348633e-06
point_neuron_explicit_gating,1,correct - within_neuron_route_derangement,heldout_loss,20,0,0,0,0,20,1
point_neuron_explicit_gating,1,correct - depth_interleaved_bins,heldout_loss,20,0,0,0,0,20,1
point_neuron_explicit_gating,1,correct - random_sparse_matched,heldout_loss,20,0,0,0,0,20,1
point_neuron_explicit_gating,1,correct - random_rank_k,heldout_loss,20,17.39319236,16.05327301,18.57120214,20,0,1.907348633e-06
point_neuron_explicit_gating,1,correct - within_neuron_route_derangement,retained_context_forgetting,20,0,0,0,0,20,1
point_neuron_explicit_gating,1,correct - depth_interleaved_bins,retained_context_forgetting,20,0,0,0,0,20,1
point_neuron_explicit_gating,1,correct - random_sparse_matched,retained_context_forgetting,20,0,0,0,0,20,1
point_neuron_explicit_gating,1,correct - random_rank_k,retained_context_forgetting,20,-0.05078125,-0.07397460938,-0.02958984375,3,1,0.0004633944245
point_neuron_explicit_gating,2,correct - within_neuron_route_derangement,heldout_accuracy,20,0.2639404297,0.2432849121,0.2847412109,20,0,1.907348633e-06
point_neuron_explicit_gating,2,correct - depth_interleaved_bins,heldout_accuracy,20,0.2468505859,0.2261956787,0.2671148682,20,0,8.844915021e-05
point_neuron_explicit_gating,2,correct - random_sparse_matched,heldout_accuracy,20,0.2319580078,0.2101312256,0.2534918213,20,0,8.844915021e-05
point_neuron_explicit_gating,2,correct - random_rank_k,heldout_accuracy,20,-0.1540039062,-0.2282720947,-0.07641418457,5,0,0.003380143298
point_neuron_explicit_gating,2,correct - best_matched_nonanatomical_oracle,heldout_accuracy,20,-0.1540039062,-0.2282226562,-0.07734375,5,0,0.003380143298
point_neuron_explicit_gating,2,correct - within_neuron_route_derangement,heldout_loss,20,-30.70715178,-31.20058188,-30.20726675,0,0,1.907348633e-06
point_neuron_explicit_gating,2,correct - depth_interleaved_bins,heldout_loss,20,-5.196893354,-5.400837607,-4.99907097,0,0,1.907348633e-06
point_neuron_explicit_gating,2,correct - random_sparse_matched,heldout_loss,20,-3.727883872,-4.240644649,-3.254824442,0,0,1.907348633e-06
point_neuron_explicit_gating,2,correct - random_rank_k,heldout_loss,20,-0.4123143124,-0.9056856665,0.002566245658,11,0,0.452375412
point_neuron_explicit_gating,2,correct - within_neuron_route_derangement,retained_context_forgetting,20,-0.001220703125,-0.00263671875,0.0001953125,8,1,0.1191147435
point_neuron_explicit_gating,2,correct - depth_interleaved_bins,retained_context_forgetting,20,-0.0146484375,-0.01831054688,-0.01123046875,0,0,8.683086255e-05
point_neuron_explicit_gating,2,correct - random_sparse_matched,retained_context_forgetting,20,-0.0220703125,-0.02729492187,-0.01704101562,0,0,8.794879347e-05
point_neuron_explicit_gating,2,correct - random_rank_k,retained_context_forgetting,20,-0.09765625,-0.1365234375,-0.0609375,1,0,1.907348633e-05
point_neuron_explicit_gating,4,correct - within_neuron_route_derangement,heldout_accuracy,20,0.6105712891,0.6013671875,0.6204101562,20,0,1.907348633e-06
point_neuron_explicit_gating,4,correct - depth_interleaved_bins,heldout_accuracy,20,0.07111816406,0.06181640625,0.08029785156,20,0,1.907348633e-06
point_neuron_explicit_gating,4,correct - random_sparse_matched,heldout_accuracy,20,0.03767089844,0.02893066406,0.04731506348,20,0,8.832385863e-05
point_neuron_explicit_gating,4,correct - random_rank_k,heldout_accuracy,20,0.02314453125,0.01015625,0.03928222656,15,0,0.003380143298
point_neuron_explicit_gating,4,correct - best_matched_nonanatomical_oracle,heldout_accuracy,20,0.01267089844,0.005834960937,0.01953125,15,0,0.0048194216
point_neuron_explicit_gating,4,correct - within_neuron_route_derangement,heldout_loss,20,-17.24458259,-17.57397461,-16.92797031,0,0,1.907348633e-06
point_neuron_explicit_gating,4,correct - depth_interleaved_bins,heldout_loss,20,-0.1358952119,-0.1435778977,-0.1284806222,0,0,1.907348633e-06
point_neuron_explicit_gating,4,correct - random_sparse_matched,heldout_loss,20,-0.07836512875,-0.09235265626,-0.06483724411,0,0,1.907348633e-06
point_neuron_explicit_gating,4,correct - random_rank_k,heldout_loss,20,-0.07986023329,-0.09973257464,-0.06215287411,0,0,1.907348633e-06
point_neuron_explicit_gating,4,correct - within_neuron_route_derangement,retained_context_forgetting,20,-0.00048828125,-0.0017578125,0.000732421875,7,2,0.644472284
point_neuron_explicit_gating,4,correct - depth_interleaved_bins,retained_context_forgetting,20,-0.5301757812,-0.54765625,-0.5131347656,0,0,8.844915021e-05
point_neuron_explicit_gating,4,correct - random_sparse_matched,retained_context_forgetting,20,-0.25390625,-0.3229003906,-0.1852514648,0,4,0.0004377771946
point_neuron_explicit_gating,4,correct - random_rank_k,retained_context_forgetting,20,-0.1343261719,-0.191015625,-0.0841796875,0,0,1.907348633e-06
