reliability,lambda_value,lambda,n_replicates,n_positive_detections,power,power_ci95_low,power_ci95_high,mean_target_effect,target_effect_sd_across_datasets,mean_effect_mc_se,n_two_sided_rejections,two_sided_rejection_rate,two_sided_ci95_low,two_sided_ci95_high
perfect,0.45,0.45,4000,3884,0.971,0.9653307106010571,0.9757654938200442,0.38260304134415785,0.060071793068978224,0.0009498184461414377,3884,0.971,0.9653307106010571,0.9757654938200442
measured,0.5,0.5,4000,2838,0.7095,0.6952351771306157,0.7233628161309994,0.22336627827803893,0.06855217129556236,0.0010839049992199645,2838,0.7095,0.6952351771306157,0.7233628161309994
perfect,0.5,0.5,4000,3918,0.9795,0.974626668092117,0.9834532257930595,0.40223115859040015,0.05830996746293984,0.0009219615373659987,3918,0.9795,0.974626668092117,0.9834532257930595
measured,0.55,0.55,4000,3079,0.76975,0.7564484199909356,0.7825339603542705,0.23794145773546205,0.06739856706829152,0.0010656649148370924,3079,0.76975,0.7564484199909356,0.7825339603542705
perfect,0.55,0.55,4000,3939,0.98475,0.9804606859608804,0.9881091337697541,0.42055042123283637,0.05632670712572826,0.0008906034380726877,3939,0.98475,0.9804606859608804,0.9881091337697541
measured,0.6,0.6,4000,3234,0.8085,0.7960123730183561,0.8203956504718981,0.2516807455914419,0.06613789850979279,0.0010457319947400066,3234,0.8085,0.7960123730183561,0.8203956504718981
perfect,0.6,0.6,4000,3953,0.98825,0.9844110267481853,0.9911520768794212,0.43718645900501135,0.05465146651737209,0.0008641155583166297,3953,0.98825,0.9844110267481853,0.9911520768794212
measured,0.65,0.65,4000,3393,0.84825,0.8367977337673299,0.8590340139813929,0.264814344606739,0.06492446112433964,0.0010265458650598484,3393,0.84825,0.8367977337673299,0.8590340139813929
perfect,0.65,0.65,4000,3962,0.9905,0.9869880788141053,0.9930707073186976,0.4526677113459286,0.05284326698184676,0.0008355254133350368,3962,0.9905,0.9869880788141053,0.9930707073186976
measured,0.7,0.7,4000,3513,0.87825,0.8677519025693741,0.8880222785819667,0.27746376829222774,0.06377428457188059,0.0010083599769743945,3513,0.87825,0.8677519025693741,0.8880222785819667
perfect,0.7,0.7,4000,3968,0.992,0.9887284951205216,0.9943274126824121,0.4666374177413649,0.05114908464973981,0.0008087380386296679,3968,0.992,0.9887284951205216,0.9943274126824121
measured,0.75,0.75,4000,3600,0.9,0.890315836611417,0.9089166087568219,0.28930656116200404,0.06272452311672902,0.0009917617909837363,3600,0.9,0.890315836611417,0.9089166087568219
perfect,0.75,0.75,4000,3977,0.99425,0.991386245498183,0.996165344809947,0.4794866117431667,0.049553031886550344,0.0007835022286422475,3977,0.99425,0.991386245498183,0.996165344809947
measured,0.8,0.8,4000,3686,0.9215,0.9127548805044723,0.9294363088023094,0.3005578389635229,0.06166749253062246,0.000975048669940939,3686,0.9215,0.9127548805044723,0.9294363088023094
perfect,0.8,0.8,4000,3980,0.995,0.9922892796106572,0.9967608715325383,0.491300623512496,0.048035083915931455,0.0007595013638583174,3980,0.995,0.9922892796106572,0.9967608715325383
measured,0.85,0.85,4000,3731,0.93275,0.924565900783893,0.9401037010488703,0.31132604159458266,0.06067916706524874,0.000959421872240305,3731,0.93275,0.924565900783893,0.9401037010488703
perfect,0.85,0.85,4000,3986,0.9965,0.9941333399731076,0.9979139328402189,0.5022665805645665,0.04635056220631666,0.0007328667370063999,3986,0.9965,0.9941333399731076,0.9979139328402189
measured,0.9,0.9,4000,3785,0.94625,0.9388231700597702,0.9528205268041714,0.32168721448311,0.059436100890650295,0.0009397672702700867,3785,0.94625,0.9388231700597702,0.9528205268041714
perfect,0.9,0.9,4000,3988,0.997,0.9947633060019944,0.9982830073680423,0.5122496329618687,0.045175244826335975,0.0007142833375347971,3988,0.997,0.9947633060019944,0.9982830073680423
measured,0.95,0.95,4000,3828,0.957,0.9502627803427973,0.9628602884904155,0.33158090532474727,0.05834363642477303,0.0009224938903952294,3828,0.957,0.9502627803427973,0.9628602884904155
perfect,0.95,0.95,4000,3991,0.99775,0.9957290782521232,0.998815795952979,0.5214448596462272,0.04424749975302136,0.0006996143999364267,3991,0.99775,0.9957290782521232,0.998815795952979
measured,1.0,1.0,4000,3849,0.96225,0.9558863273972462,0.9677266672814249,0.34132738077557145,0.05766512173771341,0.0009117656312103056,3849,0.96225,0.9558863273972462,0.9677266672814249
perfect,1.0,1.0,4000,3991,0.99775,0.9957290782521232,0.998815795952979,0.5307875384412257,0.04422320294273732,0.0006992302336345539,3991,0.99775,0.9957290782521232,0.998815795952979
