reliability,lambda_value,lambda,n_replicates,n_positive_detections,power,power_ci95_low,power_ci95_high,mean_target_effect,target_effect_sd_across_datasets,mean_effect_mc_se,n_two_sided_rejections,two_sided_rejection_rate,two_sided_ci95_low,two_sided_ci95_high
measured,0.0,0.0,4000,99,0.02475,0.02037209333687362,0.030039857509987646,0.0018083004638001143,0.07997978882729125,0.0012645914973676382,198,0.0495,0.043199593091043056,0.056664865312978
perfect,0.0,0.0,4000,118,0.0295,0.024690961833287284,0.03521187430232181,0.0019211787308552521,0.08032062220274211,0.0012699805462127785,219,0.05475,0.04811772883093955,0.062236655418539635
measured,0.05,0.05,4000,211,0.05275,0.04624188830529401,0.060116333717343984,0.028882081366574573,0.08037464224956917,0.0012708346781491909,256,0.064,0.05682559179736392,0.07201104275125579
perfect,0.05,0.05,4000,554,0.1385,0.12814175062732241,0.14955192687113178,0.0737524522142997,0.0798368029229679,0.0012623306917128347,564,0.141,0.1305590124343197,0.15212986784768598
measured,0.1,0.1,4000,369,0.09225,0.08366921385253262,0.10161321215021893,0.0558992429388028,0.08032221798315861,0.0012700057777165867,386,0.0965,0.08773281532304618,0.10604145541174294
perfect,0.1,0.1,4000,1468,0.367,0.35219758541654517,0.38205762649851555,0.14032153588878105,0.07728394903271461,0.0012219665275787252,1469,0.36725,0.35244521302991977,0.38230951916349615
measured,0.15,0.15,4000,595,0.14875,0.13805969383907254,0.16011431507194276,0.0821926197963372,0.0792019934033372,0.0012522934719008828,602,0.1505,0.13975484584304732,0.16191580501645403
perfect,0.15,0.15,4000,2427,0.60675,0.5915168849164838,0.621778273941165,0.19760951486894412,0.07331568654306692,0.0011592227884752399,2428,0.607,0.5917683377712581,0.6220263413647458
measured,0.2,0.2,4000,908,0.227,0.21428413622696052,0.24023971980921655,0.10708190640656964,0.07803395666552003,0.001233825189489607,911,0.22775,0.21501832362606754,0.24100409324517497
perfect,0.2,0.2,4000,3162,0.7905,0.7776129175471843,0.8028296459014991,0.24383713675385635,0.06961090595299248,0.0011006450639961507,3162,0.7905,0.7776129175471843,0.8028296459014991
measured,0.25,0.25,4000,1263,0.31575,0.3015281374931419,0.33032541735911314,0.13011703784009693,0.07642199536117612,0.001208337843380694,1263,0.31575,0.3015281374931419,0.33032541735911314
perfect,0.25,0.25,4000,3499,0.87475,0.86413139298583,0.8846495042685388,0.28071297348350976,0.06690105765065052,0.0010577986002514449,3499,0.87475,0.86413139298583,0.8846495042685388
measured,0.3,0.3,4000,1615,0.40375,0.38864428707719717,0.41904040575607043,0.15164002859433703,0.0749116099159896,0.0011844565526229096,1615,0.40375,0.38864428707719717,0.41904040575607043
perfect,0.3,0.3,4000,3685,0.92125,0.9124930229350141,0.9291986460934125,0.3114915115756309,0.06479684240771173,0.0010245280359767893,3685,0.92125,0.9124930229350141,0.9291986460934125
measured,0.35,0.35,4000,1954,0.4885,0.4730276858399793,0.5039943813556839,0.17173630677765206,0.07338868908766347,0.0011603770600548055,1954,0.4885,0.4730276858399793,0.5039943813556839
perfect,0.35,0.35,4000,3777,0.94425,0.9367041726678699,0.9509433619692306,0.33761709199959217,0.06353459842565518,0.0010045702062460922,3777,0.94425,0.9367041726678699,0.9509433619692306
measured,0.4,0.4,4000,2306,0.5765,0.5611213320055205,0.5917318731711553,0.19016706218417007,0.07194337079165636,0.001137524571258326,2306,0.5765,0.5611213320055205,0.5917318731711553
perfect,0.4,0.4,4000,3833,0.95825,0.9515992407693703,0.9640214294556184,0.36109550825912395,0.062093561632027075,0.0009817854139462382,3833,0.95825,0.9515992407693703,0.9640214294556184
measured,0.45,0.45,4000,2601,0.65025,0.6353335008643747,0.66487818642707,0.20743140218750014,0.07011224668139569,0.001108571956923961,2601,0.65025,0.6353335008643747,0.66487818642707
