scan,partner_index,measured_split_half_spearman,clipped_measured_spearman,pearson_signal_fraction,simulated_mean_split_half_spearman,simulated_se,n_simulated
target256456_ses4_scan10_automatic_conservative,0,0.1393588092171175,0.1393588092171175,0.14580673579874995,0.14216971518534421,0.0027647422633418905,1000
target256456_ses4_scan10_automatic_conservative,1,0.24367158055436286,0.24367158055436286,0.2544805537938984,0.24424658651781883,0.0026973413472259743,1000
target256456_ses4_scan10_automatic_conservative,2,0.4194694909594008,0.4194694909594008,0.43574429758944183,0.4202178140355899,0.002362927194518332,1000
target256456_ses4_scan10_automatic_conservative,3,0.19198988597872238,0.19198988597872238,0.20071289179698973,0.19435891894470683,0.0026824254769832485,1000
target256456_ses4_scan10_automatic_conservative,4,0.24097132770383092,0.24097132770383092,0.251675585954329,0.24527108916559326,0.0025977014408172985,1000
target256456_ses4_scan10_automatic_conservative,5,0.1903105767854587,0.1903105767854587,0.19896312400564636,0.19019190401221317,0.0025394504181239425,1000
target256456_ses4_scan10_automatic_conservative,6,0.0855922904441582,0.0855922904441582,0.08960203600884252,0.08558182338628882,0.002724713529244025,1000
target256456_ses4_scan10_automatic_conservative,7,0.03859071609178951,0.03859071609178951,0.04040935350697557,0.0374635179619293,0.002697885751150051,1000
target256456_ses4_scan10_automatic_conservative,8,-0.09791517580268116,0.0,0.0,-0.0013407137064071364,0.0027620931636219573,1000
target256456_ses6_scan4_automatic_conservative,0,0.20597776823624828,0.20597776823624828,0.21528150419570474,0.2119978102189781,0.002685450018293981,1000
target256456_ses6_scan4_automatic_conservative,1,0.07941415008825915,0.07941415008825915,0.08313834107900199,0.07487710032918277,0.002777985817010766,1000
target256456_ses6_scan4_automatic_conservative,2,0.2798244358570679,0.2798244358570679,0.2919841778353249,0.2796173751252326,0.0025685394861191878,1000
target256456_ses6_scan4_automatic_conservative,3,0.2512952626305997,0.2512952626305997,0.26239711600152593,0.25132723629597825,0.002571568969264705,1000
target256456_ses6_scan4_automatic_conservative,4,0.13390582510376414,0.13390582510376414,0.14011099281044365,0.1350766423357664,0.002668198007706666,1000
target256456_ses6_scan4_automatic_conservative,5,0.059386479652688326,0.059386479652688326,0.062179354944198184,0.05883274652926865,0.0026731859101046564,1000
target256456_ses6_scan6_automatic_conservative,0,0.05491150231382091,0.05491150231382091,0.05749526854030233,0.05614474023185917,0.0026860941410172664,1000
target256456_ses6_scan6_automatic_conservative,1,0.19959925576069845,0.19959925576069845,0.20863956248265564,0.19601718429464243,0.0025991620501809175,1000
target256456_ses6_scan6_automatic_conservative,2,0.14871427889890748,0.14871427889890748,0.15557590252491277,0.14559722341491343,0.002684843099405694,1000
target256456_ses6_scan6_automatic_conservative,3,0.26442440723247934,0.26442440723247934,0.27602077346901477,0.2601736129001479,0.002585862768043275,1000
target256456_ses6_scan6_automatic_conservative,4,0.15354706359429415,0.15354706359429415,0.160620944514411,0.15575707265874716,0.002644333594328798,1000
target256456_ses6_scan6_automatic_conservative,5,0.03674443013215018,0.03674443013215018,0.03847630347091117,0.03669819188015839,0.0027285218449305602,1000
target256456_ses6_scan6_automatic_conservative,6,0.21771862029483327,0.21771862029483327,0.2275009151352284,0.22200646438624114,0.0026127280227609922,1000
target256456_ses6_scan6_automatic_conservative,7,0.13723104813701636,0.13723104813701636,0.14358438876126814,0.13878711416440054,0.0026968610873486926,1000
target256456_ses6_scan6_automatic_conservative,8,0.2311912599589714,0.2311912599589714,0.24151208025733129,0.23177946662850052,0.002626322647487755,1000
target256456_ses6_scan6_automatic_conservative,9,0.28866943371022374,0.28866943371022374,0.30114423365264126,0.28960599685129523,0.0024388892645412614,1000
target256456_ses7_scan4_automatic_conservative,0,0.29084490243786076,0.29084490243786076,0.303396210250651,0.2890264825151472,0.002469334918199097,1000
target256456_ses7_scan4_automatic_conservative,1,0.15278374123371977,0.15278374123371977,0.15982416438047678,0.15239741901626833,0.0026176059911817446,1000
target256456_ses7_scan4_automatic_conservative,2,0.324063737417108,0.324063737417108,0.33773267674345947,0.3298209198034445,0.002561545038332224,1000
target256456_ses7_scan4_automatic_conservative,3,0.12102953103382472,0.12102953103382472,0.12665701570967275,0.1185897094604265,0.002573019487706612,1000
target256456_ses7_scan4_automatic_conservative,4,0.08709508134153905,0.08709508134153905,0.09117414693236935,0.09176727255379037,0.0027648646433426445,1000
target256456_ses7_scan4_automatic_conservative,5,0.12813319975192022,0.12813319975192022,0.13408013503307992,0.12978603597156624,0.002672585257674553,1000
target256456_ses7_scan4_automatic_conservative,6,0.10799103096226326,0.10799103096226326,0.11302769162165584,0.11052503220266209,0.0027184326952297212,1000
target256456_ses7_scan4_automatic_conservative,7,0.057511569104527455,0.057511569104527455,0.06021687267249731,0.05631922618195697,0.0027638916406996753,1000
target256456_ses7_scan4_automatic_conservative,8,0.1484805114259816,0.1484805114259816,0.1553318423990717,0.1484710605410047,0.002669675506965154,1000
target256456_ses7_scan4_automatic_conservative,9,0.1842946424311817,0.1842946424311817,0.19269352669120626,0.18175063212632983,0.002650359641728988,1000
target256456_ses7_scan4_automatic_conservative,10,0.2112685463479796,0.2112685463479796,0.22078896992298613,0.21195958685177235,0.002704811558886179,1000
target256550_ses5_scan6_automatic_conservative,0,0.3545632364868088,0.3545632364868088,0.36916859797909696,0.35316819331138777,0.002438103929036467,1000
target256550_ses5_scan6_automatic_conservative,1,0.2214636706264014,0.2214636706264014,0.23139682771736475,0.21952152091980343,0.002600331300760452,1000
target256550_ses5_scan6_automatic_conservative,2,0.2156051715089929,0.2156051715089929,0.22530194298716671,0.2193586326988216,0.002507608975293493,1000
target256550_ses5_scan6_automatic_conservative,3,0.33299460903582845,0.33299460903582845,0.34694702747970085,0.3329461285244025,0.0025038511448079452,1000
target256550_ses5_scan6_automatic_conservative,4,0.35248795381899717,0.35248795381899717,0.3670324928381812,0.3517136539287247,0.0024125265598481196,1000
target256550_ses5_scan6_automatic_conservative,5,0.24095701540957015,0.24095701540957015,0.25166071728832234,0.24464144840417917,0.002427631670831701,1000
target256550_ses5_scan6_automatic_conservative,6,0.4041553361003769,0.4041553361003769,0.42007876206192585,0.40496756357044034,0.0023208754364016137,1000
target256550_ses5_scan6_automatic_conservative,7,0.3418586899479987,0.3418586899479987,0.3560849662612954,0.34432673059491437,0.002423824485990038,1000
target256550_ses5_scan6_automatic_conservative,8,0.3048041601068651,0.3048041601068651,0.3178369009159442,0.3061434998330232,0.0024394443881425735,1000
target256550_ses5_scan6_automatic_conservative,9,0.26127570249510995,0.26127570249510995,0.2727546366716751,0.2610519679404608,0.0025614659483144345,1000
target256550_ses5_scan7_automatic_conservative,0,0.24564667716234911,0.24564667716234911,0.2565319222440796,0.24538262487476742,0.0025849059178119586,1000
target256550_ses5_scan7_automatic_conservative,1,0.3627975764515052,0.3627975764515052,0.3776399497552169,0.3638787510137875,0.002421137228571411,1000
target256550_ses5_scan7_automatic_conservative,2,0.3535041267115119,0.3535041267115119,0.36807850207347964,0.35006880874004104,0.002418744697983724,1000
target256550_ses5_scan7_automatic_conservative,3,0.2007537808310672,0.2007537808310672,0.2098419434901743,0.20269757168074043,0.0026767808546071044,1000
target256550_ses5_scan7_automatic_conservative,4,0.17066933829492867,0.17066933829492867,0.17848673728973613,0.17016090358284433,0.0026528980978613582,1000
target256550_ses5_scan7_automatic_conservative,5,0.35277897046896617,0.35277897046896617,0.36733206479892666,0.35016658556366587,0.002469756224724995,1000
target256550_ses5_scan7_automatic_conservative,6,0.27658031582462667,0.27658031582462667,0.2886229224616371,0.28104389580649775,0.0024616540356911937,1000
target256550_ses5_scan7_automatic_conservative,7,0.08647488192357235,0.08647488192357235,0.09052534603526091,0.08374840894995468,0.0026950611584877263,1000
target256550_ses9_scan4_automatic_conservative,0,0.2658890320118315,0.2658890320118315,0.2775397668358997,0.2665520108773436,0.0025903484450155744,1000
target256550_ses9_scan4_automatic_conservative,1,0.14180144077095558,0.14180144077095558,0.14835772703817973,0.13938827346023566,0.00266614052028402,1000
target256550_ses9_scan4_automatic_conservative,2,0.1692190258098373,0.1692190258098373,0.17697398238413561,0.17386041696483945,0.002630349324081678,1000
target256550_ses9_scan4_automatic_conservative,3,0.3708363150613043,0.3708363150613043,0.38590329954908864,0.3680616669052049,0.0023187518310930195,1000
target256550_ses9_scan4_automatic_conservative,4,0.1154095701540957,0.1154095701540957,0.12078307973029019,0.11249648871714135,0.0026309000800682947,1000
target256550_ses9_scan4_automatic_conservative,5,0.23614808453795144,0.23614808453795144,0.24666405064141464,0.23869414150088258,0.0025898499792782865,1000
target256550_ses9_scan4_automatic_conservative,6,0.11284289871666428,0.11284289871666428,0.11810006530977397,0.11151523305185822,0.0026197848216150885,1000
