seed,condition,initial_gradient_cosine,initial_gradient_scaled_capture,initial_norm_matched_one_step_progress,trained_gradient_cosine,trained_gradient_scaled_capture
4100,neuron_shared_k1,0.7115183284,0.5062583317,0.8757691544,0.7036028885,0.4950570248
4100,depth_shared_k1,0.7115183284,0.5062583317,0.8757691544,0.7036028885,0.4950570248
4100,correct_subtree_k2,1,1,1,1,1
4100,within_neuron_deranged_k2,0,0,-1.046125962,0,0
4100,random_dense_rank2,-0.5955911453,0.3547288123,-0.7919463885,-0.5982355078,0.3578857228
4100,exact_transport,1,1,1,1,1
4100,backpropagation,1,1,1,1,1
4100,gated_point_emulation,1,1,1,1,1
4101,neuron_shared_k1,0.7155023941,0.5119436759,0.8799131187,0.7055593748,0.4978140314
4101,depth_shared_k1,0.7155023941,0.5119436759,0.8799131187,0.7055593748,0.4978140314
4101,correct_subtree_k2,1,1,1,1,1
4101,within_neuron_deranged_k2,0,0,-1.058663513,0,0
4101,random_dense_rank2,0.363361108,0.1320312948,0.4995318317,0.3490983196,0.1218696368
4101,exact_transport,1,1,1,1,1
4101,backpropagation,1,1,1,1,1
4101,gated_point_emulation,1,1,1,1,1
4102,neuron_shared_k1,0.715326392,0.5116918471,0.8650858659,0.7096139733,0.5035519911
4102,depth_shared_k1,0.715326392,0.5116918471,0.8650858659,0.7096139733,0.5035519911
4102,correct_subtree_k2,1,1,1,1,1
4102,within_neuron_deranged_k2,0,0,-1.055291987,0,0
4102,random_dense_rank2,0.6641249261,0.4410619175,0.7046253745,0.6465534148,0.4180313182
4102,exact_transport,1,1,1,1,1
4102,backpropagation,1,1,1,1,1
4102,gated_point_emulation,1,1,1,1,1
4103,neuron_shared_k1,0.7122323297,0.5072748915,0.7866907185,0.7018291338,0.4925641331
4103,depth_shared_k1,0.7122323297,0.5072748915,0.7866907185,0.7018291338,0.4925641331
4103,correct_subtree_k2,1,1,1,1,1
4103,within_neuron_deranged_k2,0,0,-1.048340776,0,0
4103,random_dense_rank2,0.1782483707,0.03177248166,0.1675466499,0.1772039383,0.03140123575
4103,exact_transport,1,1,1,1,1
4103,backpropagation,1,1,1,1,1
4103,gated_point_emulation,1,1,1,1,1
4104,neuron_shared_k1,0.7177411605,0.5151523734,0.8349610186,0.7058205786,0.4981826892
4104,depth_shared_k1,0.7177411605,0.5151523734,0.8349610186,0.7058205786,0.4981826892
4104,correct_subtree_k2,1,1,1,1,1
4104,within_neuron_deranged_k2,0,0,-1.042155892,0,0
4104,random_dense_rank2,-0.6904574853,0.476731539,-0.8614423052,-0.6914246468,0.4780680422
4104,exact_transport,1,1,1,1,1
4104,backpropagation,1,1,1,1,1
4104,gated_point_emulation,1,1,1,1,1
4105,neuron_shared_k1,0.7113279439,0.5059874437,0.9133358815,0.7030495956,0.4942787339
4105,depth_shared_k1,0.7113279439,0.5059874437,0.9133358815,0.7030495956,0.4942787339
4105,correct_subtree_k2,1,1,1,1,1
4105,within_neuron_deranged_k2,0,0,-1.056785692,0,0
4105,random_dense_rank2,-0.6593627047,0.4347591763,-0.8589285704,-0.6610394438,0.4369731463
4105,exact_transport,1,1,1,1,1
4105,backpropagation,1,1,1,1,1
4105,gated_point_emulation,1,1,1,1,1
4106,neuron_shared_k1,0.7150813068,0.5113412754,0.8466011975,0.7102924707,0.504515394
4106,depth_shared_k1,0.7150813068,0.5113412754,0.8466011975,0.7102924707,0.504515394
4106,correct_subtree_k2,1,1,1,1,1
4106,within_neuron_deranged_k2,0,0,-1.047314261,0,0
4106,random_dense_rank2,-0.4926516242,0.2427056229,-0.6544932943,-0.4925132782,0.2425693292
4106,exact_transport,1,1,1,1,1
4106,backpropagation,1,1,1,1,1
4106,gated_point_emulation,1,1,1,1,1
4107,neuron_shared_k1,0.7117518735,0.5065907295,0.8554288331,0.7047031954,0.4966065936
4107,depth_shared_k1,0.7117518735,0.5065907295,0.8554288331,0.7047031954,0.4966065936
4107,correct_subtree_k2,1,1,1,1,1
4107,within_neuron_deranged_k2,0,0,-1.038819371,0,0
4107,random_dense_rank2,-0.2654705156,0.07047459467,-0.3836006218,-0.2678013731,0.07171757544
4107,exact_transport,1,1,1,1,1
4107,backpropagation,1,1,1,1,1
4107,gated_point_emulation,1,1,1,1,1
4108,neuron_shared_k1,0.713046067,0.5084346937,0.8570182615,0.7006904948,0.4909671695
4108,depth_shared_k1,0.713046067,0.5084346937,0.8570182615,0.7006904948,0.4909671695
4108,correct_subtree_k2,1,1,1,1,1
4108,within_neuron_deranged_k2,0,0,-1.046821274,0,0
4108,random_dense_rank2,-0.3830083156,0.1466953698,-0.5711965966,-0.3805523822,0.1448201156
4108,exact_transport,1,1,1,1,1
4108,backpropagation,1,1,1,1,1
4108,gated_point_emulation,1,1,1,1,1
4109,neuron_shared_k1,0.7142007722,0.510082743,0.8343508221,0.7071316496,0.5000351699
4109,depth_shared_k1,0.7142007722,0.510082743,0.8343508221,0.7071316496,0.5000351699
4109,correct_subtree_k2,1,1,1,1,1
4109,within_neuron_deranged_k2,0,0,-1.0486125,0,0
4109,random_dense_rank2,0.6779697079,0.4596429248,0.7419115158,0.6622070399,0.4385181637
4109,exact_transport,1,1,1,1,1
4109,backpropagation,1,1,1,1,1
4109,gated_point_emulation,1,1,1,1,1
