contrast,left_condition,right_condition,endpoint,n_pairs,mean_difference,ci95_low,ci95_high,wins,ties,wilcoxon_p_two_sided
correct - deranged,correct_subtree_k2,within_neuron_deranged_k2,test_accuracy,10,0.6099609375,0.5992675781,0.6209472656,10,0,0.001953125
correct - deranged,correct_subtree_k2,within_neuron_deranged_k2,test_loss,10,-195.8856339,-200.8662962,-190.302033,0,0,0.001953125
correct - deranged,correct_subtree_k2,within_neuron_deranged_k2,context_switch_forgetting,10,-0.0005859375,-0.00234375,0.001171875,4,0,0.771484375
correct - neuron shared,correct_subtree_k2,neuron_shared_k1,test_accuracy,10,0.04389648438,0.03334960937,0.05483398437,10,0,0.001953125
correct - neuron shared,correct_subtree_k2,neuron_shared_k1,test_loss,10,-0.1443898968,-0.1564145596,-0.1327742902,0,0,0.001953125
correct - neuron shared,correct_subtree_k2,neuron_shared_k1,context_switch_forgetting,10,-0.556640625,-0.5766601562,-0.5383789062,0,0,0.001953125
correct - depth shared,correct_subtree_k2,depth_shared_k1,test_accuracy,10,0.04389648438,0.03310546875,0.05483398437,10,0,0.001953125
correct - depth shared,correct_subtree_k2,depth_shared_k1,test_loss,10,-0.1443898968,-0.1562776927,-0.1326999656,0,0,0.001953125
correct - depth shared,correct_subtree_k2,depth_shared_k1,context_switch_forgetting,10,-0.556640625,-0.5767602539,-0.53828125,0,0,0.001953125
correct - random rank-2,correct_subtree_k2,random_dense_rank2,test_accuracy,10,0.2216308594,0.1371081543,0.2958508301,10,0,0.001953125
correct - random rank-2,correct_subtree_k2,random_dense_rank2,test_loss,10,-77.50302896,-115.6387425,-38.67497364,0,0,0.001953125
correct - random rank-2,correct_subtree_k2,random_dense_rank2,context_switch_forgetting,10,0.0013671875,-0.0001953125,0.00302734375,5,1,0.1953125
correct - gated point,correct_subtree_k2,gated_point_emulation,test_accuracy,10,0,0,0,0,10,1
correct - gated point,correct_subtree_k2,gated_point_emulation,test_loss,10,0,0,0,0,10,1
correct - gated point,correct_subtree_k2,gated_point_emulation,context_switch_forgetting,10,0,0,0,0,10,1
exact - backpropagation,exact_transport,backpropagation,test_accuracy,10,0,0,0,0,10,1
exact - backpropagation,exact_transport,backpropagation,test_loss,10,0,0,0,0,10,1
exact - backpropagation,exact_transport,backpropagation,context_switch_forgetting,10,0,0,0,0,10,1
