seed,condition,train_balanced,test_balanced,train_context_label_correlation,test_context_label_correlation,route_matrix_00,route_matrix_01,route_matrix_10,route_matrix_11,fallback_count,scalar_replacement_rate
4100,neuron_shared_k1,True,True,0,0,-0.5907787567,-0.8068336016,0.8068336016,-0.5907787567,0,0
4100,depth_shared_k1,True,True,0,0,-0.5907787567,-0.8068336016,0.8068336016,-0.5907787567,0,0
4100,correct_subtree_k2,True,True,0,0,-0.5907787567,-0.8068336016,0.8068336016,-0.5907787567,0,0
4100,within_neuron_deranged_k2,True,True,0,0,-0.5907787567,-0.8068336016,0.8068336016,-0.5907787567,0,0
4100,random_dense_rank2,True,True,0,0,-0.5907787567,-0.8068336016,0.8068336016,-0.5907787567,0,0
4100,exact_transport,True,True,0,0,-0.5907787567,-0.8068336016,0.8068336016,-0.5907787567,0,0
4100,backpropagation,True,True,0,0,-0.5907787567,-0.8068336016,0.8068336016,-0.5907787567,0,0
4100,gated_point_emulation,True,True,0,0,-0.5907787567,-0.8068336016,0.8068336016,-0.5907787567,0,0
4101,neuron_shared_k1,True,True,0,0,0.3558805199,-0.9345314631,0.9345314631,0.3558805199,0,0
4101,depth_shared_k1,True,True,0,0,0.3558805199,-0.9345314631,0.9345314631,0.3558805199,0,0
4101,correct_subtree_k2,True,True,0,0,0.3558805199,-0.9345314631,0.9345314631,0.3558805199,0,0
4101,within_neuron_deranged_k2,True,True,0,0,0.3558805199,-0.9345314631,0.9345314631,0.3558805199,0,0
4101,random_dense_rank2,True,True,0,0,0.3558805199,-0.9345314631,0.9345314631,0.3558805199,0,0
4101,exact_transport,True,True,0,0,0.3558805199,-0.9345314631,0.9345314631,0.3558805199,0,0
4101,backpropagation,True,True,0,0,0.3558805199,-0.9345314631,0.9345314631,0.3558805199,0,0
4101,gated_point_emulation,True,True,0,0,0.3558805199,-0.9345314631,0.9345314631,0.3558805199,0,0
4102,neuron_shared_k1,True,True,0,0,0.6554114877,-0.755271992,0.755271992,0.6554114877,0,0
4102,depth_shared_k1,True,True,0,0,0.6554114877,-0.755271992,0.755271992,0.6554114877,0,0
4102,correct_subtree_k2,True,True,0,0,0.6554114877,-0.755271992,0.755271992,0.6554114877,0,0
4102,within_neuron_deranged_k2,True,True,0,0,0.6554114877,-0.755271992,0.755271992,0.6554114877,0,0
4102,random_dense_rank2,True,True,0,0,0.6554114877,-0.755271992,0.755271992,0.6554114877,0,0
4102,exact_transport,True,True,0,0,0.6554114877,-0.755271992,0.755271992,0.6554114877,0,0
4102,backpropagation,True,True,0,0,0.6554114877,-0.755271992,0.755271992,0.6554114877,0,0
4102,gated_point_emulation,True,True,0,0,0.6554114877,-0.755271992,0.755271992,0.6554114877,0,0
4103,neuron_shared_k1,True,True,0,0,0.1757535922,-0.9844341902,0.9844341902,0.1757535922,0,0
4103,depth_shared_k1,True,True,0,0,0.1757535922,-0.9844341902,0.9844341902,0.1757535922,0,0
4103,correct_subtree_k2,True,True,0,0,0.1757535922,-0.9844341902,0.9844341902,0.1757535922,0,0
4103,within_neuron_deranged_k2,True,True,0,0,0.1757535922,-0.9844341902,0.9844341902,0.1757535922,0,0
4103,random_dense_rank2,True,True,0,0,0.1757535922,-0.9844341902,0.9844341902,0.1757535922,0,0
4103,exact_transport,True,True,0,0,0.1757535922,-0.9844341902,0.9844341902,0.1757535922,0,0
4103,backpropagation,True,True,0,0,0.1757535922,-0.9844341902,0.9844341902,0.1757535922,0,0
4103,gated_point_emulation,True,True,0,0,0.1757535922,-0.9844341902,0.9844341902,0.1757535922,0,0
4104,neuron_shared_k1,True,True,0,0,-0.6794359968,-0.7337347792,0.7337347792,-0.6794359968,0,0
4104,depth_shared_k1,True,True,0,0,-0.6794359968,-0.7337347792,0.7337347792,-0.6794359968,0,0
4104,correct_subtree_k2,True,True,0,0,-0.6794359968,-0.7337347792,0.7337347792,-0.6794359968,0,0
4104,within_neuron_deranged_k2,True,True,0,0,-0.6794359968,-0.7337347792,0.7337347792,-0.6794359968,0,0
4104,random_dense_rank2,True,True,0,0,-0.6794359968,-0.7337347792,0.7337347792,-0.6794359968,0,0
4104,exact_transport,True,True,0,0,-0.6794359968,-0.7337347792,0.7337347792,-0.6794359968,0,0
4104,backpropagation,True,True,0,0,-0.6794359968,-0.7337347792,0.7337347792,-0.6794359968,0,0
4104,gated_point_emulation,True,True,0,0,-0.6794359968,-0.7337347792,0.7337347792,-0.6794359968,0,0
4105,neuron_shared_k1,True,True,0,0,-0.6548914821,-0.7557229298,0.7557229298,-0.6548914821,0,0
4105,depth_shared_k1,True,True,0,0,-0.6548914821,-0.7557229298,0.7557229298,-0.6548914821,0,0
4105,correct_subtree_k2,True,True,0,0,-0.6548914821,-0.7557229298,0.7557229298,-0.6548914821,0,0
