seed,condition,train_loss,train_accuracy,test_loss,test_accuracy,context0_loss_before_switch,context0_accuracy_before_switch,context0_accuracy_after_switch,context_switch_forgetting,forward_parameters,active_input_contacts,forward_branch_groups,feedback_channels,feedback_nonzeros
4104,correct_subtree_k2,0.4088660066,0.8115234375,0.4283671209,0.7998046875,0.4413409947,0.7978515625,0.7978515625,0,24,24,2,2,2
4104,within_neuron_deranged_k2,184.6592839,0.1953125,186.8317198,0.1997070312,188.9014502,0.2001953125,0.2021484375,-0.001953125,24,24,2,2,2
4104,random_dense_rank2,147.6097344,0.4907226562,152.0788312,0.4853515625,21.18810867,0.7734375,0.779296875,-0.005859375,24,24,2,2,4
4104,exact_transport,0.4088660066,0.8115234375,0.4283671209,0.7998046875,0.4413409947,0.7978515625,0.7978515625,0,24,24,2,2,2
4104,backpropagation,0.4088660066,0.8115234375,0.4283671209,0.7998046875,0.4413409947,0.7978515625,0.7978515625,0,24,24,2,2,2
4104,gated_point_emulation,0.4088660066,0.8115234375,0.4283671209,0.7998046875,0.4413409947,0.7978515625,0.7978515625,0,24,24,2,1,2
4105,neuron_shared_k1,0.5582795437,0.7900390625,0.5571251312,0.7924804688,0.5757058025,0.7666015625,0.2177734375,0.548828125,24,24,2,1,2
4105,depth_shared_k1,0.5582795437,0.7900390625,0.5571251312,0.7924804688,0.5757058025,0.7666015625,0.2177734375,0.548828125,24,24,2,1,2
4105,correct_subtree_k2,0.4078502216,0.8095703125,0.4194259904,0.8061523438,0.4468329525,0.7841796875,0.7841796875,0,24,24,2,2,2
4105,within_neuron_deranged_k2,197.3315701,0.1928710938,202.1213508,0.1958007812,221.712568,0.205078125,0.20703125,-0.001953125,24,24,2,2,2
4105,random_dense_rank2,144.9681286,0.505859375,152.6808325,0.4853515625,22.686106,0.79296875,0.79296875,0,24,24,2,2,4
4105,exact_transport,0.4078502216,0.8095703125,0.4194259904,0.8061523438,0.4468329525,0.7841796875,0.7841796875,0,24,24,2,2,2
4105,backpropagation,0.4078502216,0.8095703125,0.4194259904,0.8061523438,0.4468329525,0.7841796875,0.7841796875,0,24,24,2,2,2
4105,gated_point_emulation,0.4078502216,0.8095703125,0.4194259904,0.8061523438,0.4468329525,0.7841796875,0.7841796875,0,24,24,2,1,2
4106,neuron_shared_k1,0.567088725,0.7661132812,0.5735334239,0.7700195312,0.5615942313,0.751953125,0.1982421875,0.5537109375,24,24,2,1,2
4106,depth_shared_k1,0.567088725,0.7661132812,0.5735334239,0.7700195312,0.5615942313,0.751953125,0.1982421875,0.5537109375,24,24,2,1,2
4106,correct_subtree_k2,0.4204673612,0.8037109375,0.4027088371,0.81640625,0.4092208213,0.8095703125,0.8095703125,0,24,24,2,2,2
4106,within_neuron_deranged_k2,206.0762032,0.2060546875,204.8506934,0.18359375,195.5779923,0.1962890625,0.19921875,-0.0029296875,24,24,2,2,2
4106,random_dense_rank2,128.1270525,0.4916992188,124.7448487,0.486328125,22.13111943,0.8046875,0.8037109375,0.0009765625,24,24,2,2,4
4106,exact_transport,0.4204673612,0.8037109375,0.4027088371,0.81640625,0.4092208213,0.8095703125,0.8095703125,0,24,24,2,2,2
4106,backpropagation,0.4204673612,0.8037109375,0.4027088371,0.81640625,0.4092208213,0.8095703125,0.8095703125,0,24,24,2,2,2
4106,gated_point_emulation,0.4204673612,0.8037109375,0.4027088371,0.81640625,0.4092208213,0.8095703125,0.8095703125,0,24,24,2,1,2
4107,neuron_shared_k1,0.563813435,0.7568359375,0.5699555012,0.7431640625,0.5491703132,0.7705078125,0.169921875,0.6005859375,24,24,2,1,2
4107,depth_shared_k1,0.563813435,0.7568359375,0.5699555012,0.7431640625,0.5491703132,0.7705078125,0.169921875,0.6005859375,24,24,2,1,2
4107,correct_subtree_k2,0.4112566051,0.810546875,0.4021524418,0.8227539062,0.3819327591,0.83203125,0.83203125,0,24,24,2,2,2
4107,within_neuron_deranged_k2,186.9316967,0.2060546875,191.2334189,0.18359375,193.4397223,0.1806640625,0.1796875,0.0009765625,24,24,2,2,2
4107,random_dense_rank2,80.4842454,0.4951171875,78.70472105,0.5112304688,19.01581335,0.822265625,0.8203125,0.001953125,24,24,2,2,4
4107,exact_transport,0.4112566051,0.810546875,0.4021524418,0.8227539062,0.3819327591,0.83203125,0.83203125,0,24,24,2,2,2
4107,backpropagation,0.4112566051,0.810546875,0.4021524418,0.8227539062,0.3819327591,0.83203125,0.83203125,0,24,24,2,2,2
4107,gated_point_emulation,0.4112566051,0.810546875,0.4021524418,0.8227539062,0.3819327591,0.83203125,0.83203125,0,24,24,2,1,2
4108,neuron_shared_k1,0.5345882041,0.7880859375,0.5451879254,0.7763671875,0.5868267576,0.7421875,0.2177734375,0.5244140625,24,24,2,1,2
4108,depth_shared_k1,0.5345882041,0.7880859375,0.5451879254,0.7763671875,0.5868267576,0.7421875,0.2177734375,0.5244140625,24,24,2,1,2
4108,correct_subtree_k2,0.4014332013,0.810546875,0.4254970514,0.802734375,0.4495304923,0.7822265625,0.7822265625,0,24,24,2,2,2
4108,within_neuron_deranged_k2,200.2962152,0.193359375,198.6583579,0.201171875,193.2556496,0.21484375,0.208984375,0.005859375,24,24,2,2,2
4108,random_dense_rank2,111.5628812,0.4848632812,112.4702852,0.482421875,23.04225066,0.78515625,0.7900390625,-0.0048828125,24,24,2,2,4
4108,exact_transport,0.4014332013,0.810546875,0.4254970514,0.802734375,0.4495304923,0.7822265625,0.7822265625,0,24,24,2,2,2
4108,backpropagation,0.4014332013,0.810546875,0.4254970514,0.802734375,0.4495304923,0.7822265625,0.7822265625,0,24,24,2,2,2
4108,gated_point_emulation,0.4014332013,0.810546875,0.4254970514,0.802734375,0.4495304923,0.7822265625,0.7822265625,0,24,24,2,1,2
4109,neuron_shared_k1,0.5484089258,0.7744140625,0.556710694,0.765625,0.5567331322,0.7607421875,0.1923828125,0.568359375,24,24,2,1,2
4109,depth_shared_k1,0.5484089258,0.7744140625,0.556710694,0.765625,0.5567331322,0.7607421875,0.1923828125,0.568359375,24,24,2,1,2
4109,correct_subtree_k2,0.4082493135,0.8134765625,0.4301303704,0.8115234375,0.4139292353,0.8251953125,0.8251953125,0,24,24,2,2,2
4109,within_neuron_deranged_k2,183.7264124,0.197265625,179.2170598,0.2001953125,169.7692134,0.1884765625,0.1875,0.0009765625,24,24,2,2,2
4109,random_dense_rank2,1.990201901,0.8110351562,2.261162867,0.7978515625,4.043339891,0.8115234375,0.810546875,0.0009765625,24,24,2,2,4
4109,exact_transport,0.4082493135,0.8134765625,0.4301303704,0.8115234375,0.4139292353,0.8251953125,0.8251953125,0,24,24,2,2,2
4109,backpropagation,0.4082493135,0.8134765625,0.4301303704,0.8115234375,0.4139292353,0.8251953125,0.8251953125,0,24,24,2,2,2
4109,gated_point_emulation,0.4082493135,0.8134765625,0.4301303704,0.8115234375,0.4139292353,0.8251953125,0.8251953125,0,24,24,2,1,2
