seed,condition,train_loss,train_accuracy,test_loss,test_accuracy,context0_loss_before_switch,context0_accuracy_before_switch,context0_accuracy_after_switch,context_switch_forgetting,forward_parameters,active_input_contacts,forward_branch_groups,feedback_channels,feedback_nonzeros
4100,neuron_shared_k1,0.5773035952,0.7729492188,0.5795372736,0.7578125,0.5746115526,0.755859375,0.2041015625,0.5517578125,24,24,2,1,2
4100,depth_shared_k1,0.5773035952,0.7729492188,0.5795372736,0.7578125,0.5746115526,0.755859375,0.2041015625,0.5517578125,24,24,2,1,2
4100,correct_subtree_k2,0.4117828866,0.8129882812,0.4124082273,0.8061523438,0.4211685156,0.8076171875,0.8076171875,0,24,24,2,2,2
4100,within_neuron_deranged_k2,200.604623,0.1958007812,204.3168311,0.197265625,195.4638846,0.201171875,0.197265625,0.00390625,24,24,2,2,2
4100,random_dense_rank2,139.6312653,0.4951171875,139.473621,0.49609375,21.50963922,0.794921875,0.798828125,-0.00390625,24,24,2,2,4
4100,exact_transport,0.4117828866,0.8129882812,0.4124082273,0.8061523438,0.4211685156,0.8076171875,0.8076171875,0,24,24,2,2,2
4100,backpropagation,0.4117828866,0.8129882812,0.4124082273,0.8061523438,0.4211685156,0.8076171875,0.8076171875,0,24,24,2,2,2
4100,gated_point_emulation,0.4117828866,0.8129882812,0.4124082273,0.8061523438,0.4211685156,0.8076171875,0.8076171875,0,24,24,2,1,2
4101,neuron_shared_k1,0.5534437629,0.783203125,0.5600696581,0.7666015625,0.5396427597,0.791015625,0.1748046875,0.6162109375,24,24,2,1,2
4101,depth_shared_k1,0.5534437629,0.783203125,0.5600696581,0.7666015625,0.5396427597,0.791015625,0.1748046875,0.6162109375,24,24,2,1,2
4101,correct_subtree_k2,0.4149583583,0.8110351562,0.4170610827,0.814453125,0.4010449115,0.828125,0.828125,0,24,24,2,2,2
4101,within_neuron_deranged_k2,197.7605598,0.1889648438,204.9356792,0.1904296875,201.767756,0.17578125,0.173828125,0.001953125,24,24,2,2,2
4101,random_dense_rank2,4.43618864,0.7592773438,4.947846926,0.7534179688,9.294780503,0.828125,0.830078125,-0.001953125,24,24,2,2,4
4101,exact_transport,0.4149583583,0.8110351562,0.4170610827,0.814453125,0.4010449115,0.828125,0.828125,0,24,24,2,2,2
4101,backpropagation,0.4149583583,0.8110351562,0.4170610827,0.814453125,0.4010449115,0.828125,0.828125,0,24,24,2,2,2
4101,gated_point_emulation,0.4149583583,0.8110351562,0.4170610827,0.814453125,0.4010449115,0.828125,0.828125,0,24,24,2,1,2
4102,neuron_shared_k1,0.578956336,0.7592773438,0.5882146965,0.7534179688,0.5758379317,0.765625,0.201171875,0.564453125,24,24,2,1,2
4102,depth_shared_k1,0.578956336,0.7592773438,0.5882146965,0.7534179688,0.5758379317,0.765625,0.201171875,0.564453125,24,24,2,1,2
4102,correct_subtree_k2,0.4223832315,0.7963867188,0.4291674995,0.7954101562,0.4364728517,0.7919921875,0.7919921875,0,24,24,2,2,2
4102,within_neuron_deranged_k2,203.2960585,0.2036132812,201.537088,0.2036132812,185.3902302,0.1982421875,0.1962890625,0.001953125,24,24,2,2,2
4102,random_dense_rank2,2.680063631,0.7885742188,2.695515307,0.7885742188,4.891954904,0.7998046875,0.8017578125,-0.001953125,24,24,2,2,4
4102,exact_transport,0.4223832315,0.7963867188,0.4291674995,0.7954101562,0.4364728517,0.7919921875,0.7919921875,0,24,24,2,2,2
4102,backpropagation,0.4223832315,0.7963867188,0.4291674995,0.7954101562,0.4364728517,0.7919921875,0.7919921875,0,24,24,2,2,2
4102,gated_point_emulation,0.4223832315,0.7963867188,0.4291674995,0.7954101562,0.4364728517,0.7919921875,0.7919921875,0,24,24,2,1,2
4103,neuron_shared_k1,0.551067613,0.775390625,0.5640707594,0.7587890625,0.5866331183,0.7373046875,0.2197265625,0.517578125,24,24,2,1,2
4103,depth_shared_k1,0.551067613,0.775390625,0.5640707594,0.7587890625,0.5866331183,0.7373046875,0.2197265625,0.517578125,24,24,2,1,2
4103,correct_subtree_k2,0.411017836,0.8125,0.4384477846,0.7875976562,0.4417889731,0.783203125,0.783203125,0,24,24,2,2,2
4103,within_neuron_deranged_k2,191.1865801,0.193359375,189.3595065,0.2080078125,186.775114,0.20703125,0.2099609375,-0.0029296875,24,24,2,2,2
4103,random_dense_rank2,8.510038707,0.5688476562,9.177991327,0.5600585938,17.02249066,0.791015625,0.7900390625,0.0009765625,24,24,2,2,4
4103,exact_transport,0.411017836,0.8125,0.4384477846,0.7875976562,0.4417889731,0.783203125,0.783203125,0,24,24,2,2,2
4103,backpropagation,0.411017836,0.8125,0.4384477846,0.7875976562,0.4417889731,0.783203125,0.783203125,0,24,24,2,2,2
4103,gated_point_emulation,0.411017836,0.8125,0.4384477846,0.7875976562,0.4417889731,0.783203125,0.783203125,0,24,24,2,1,2
4104,neuron_shared_k1,0.5395158184,0.7763671875,0.5548603106,0.7397460938,0.5664595155,0.736328125,0.2158203125,0.5205078125,24,24,2,1,2
4104,depth_shared_k1,0.5395158184,0.7763671875,0.5548603106,0.7397460938,0.5664595155,0.736328125,0.2158203125,0.5205078125,24,24,2,1,2
