cohort,root_id,mode,scale,support_fraction,support_count,split_balance,split_segment_id,power,energy_fraction
public_v661_47,864691134941194851,1,coarse,1.0,50,0.2613568108397682,8211,0.003465837994528732,0.06243710355355788
public_v661_47,864691134941194851,2,coarse,0.2613568108397682,14,0.353609805586037,8237,0.002539400739395782,0.04574732782661272
public_v661_47,864691134941194851,3,intermediate,0.09241833106963707,7,0.4753205691199719,8548,0.00011151548169559055,0.0020089524350082122
public_v661_47,864691134941194851,4,fine,0.048489997348499195,6,0.49469925231558975,8254,0.00022602676110226,0.004071874193512626
public_v661_47,864691134941194851,5,fine,0.024502031915411712,4,0.4191696113074205,8469,2.1609695628108595e-05,0.0003892988667742237
public_v661_47,864691134941194851,6,fine,0.01027050719422514,3,0.458377239199157,9671,3.489515202749346e-05,0.0006286364867882437
public_v661_47,864691134941194851,7,fine,0.0055627404613611394,2,0.3326848249027237,8304,1.676982802387907e-37,3.0210860708296564e-36
public_v661_47,864691134941194851,8,fine,0.023987965433087483,2,0.4401082788179562,8398,0.00015999760707399602,0.002882358372483281
public_v661_47,864691134941194851,9,intermediate,0.1689384797701311,7,0.4770980140935298,8878,0.004427344821141037,0.07975865793533111
public_v661_47,864691134941194851,10,intermediate,0.0806002132023095,3,0.20100704934541794,10971,3.9999286992958825e-05,0.0007205875254384014
public_v661_47,864691134941194851,11,fine,0.016201211032407833,2,0.03206412825651302,8946,1.1219566135373393e-06,2.0212058778458648e-05
public_v661_47,864691134941194851,12,intermediate,0.08833826656782161,4,0.4776722817764165,8857,0.002013073289141119,0.03626553393823481
public_v661_47,864691134941194851,13,fine,0.04614152520819693,3,0.37844493960361203,8786,0.0034137987570964138,0.06149961620950455
public_v661_47,864691134941194851,14,fine,0.017462026720634627,2,0.47071583514099785,8770,0.00048152300317512784,0.008674641359500046
public_v661_47,864691134941194851,15,coarse,0.7386431891602319,36,0.2952117917686188,10606,0.0016132612777484132,0.029062916852066883
public_v661_47,864691134941194851,16,intermediate,0.21805617934967883,6,0.45750303992853064,10805,0.00010009230032767266,0.0018031637169245375
public_v661_47,864691134941194851,17,intermediate,0.09976136492767897,2,0.09264482534172272,10841,1.0661475353487089e-05,0.00019206657718284185
public_v661_47,864691134941194851,18,intermediate,0.11829481442199988,4,0.47028955674488815,10650,8.654788179816064e-05,0.0015591608917391493
public_v661_47,864691134941194851,19,fine,0.055632815839741126,2,0.08394125085108453,10668,2.5203299621776536e-06,4.5403767598496225e-05
public_v661_47,864691134941194851,20,intermediate,0.06266199858225875,2,0.3910189982728843,10789,8.142399914354082e-05,0.0014668540982860764
public_v661_47,864691134941194851,21,coarse,0.520587009810553,30,0.30831037887843665,9378,0.004282140903651288,0.07714280801764836
public_v661_47,864691134941194851,22,intermediate,0.16050237823388402,6,0.39830079902902804,9570,0.0014041806630492137,0.0252963276428703
public_v661_47,864691134941194851,23,intermediate,0.06392822549661528,2,0.37836465210766884,9630,0.0007952920757147475,0.014327194105758435
public_v661_47,864691134941194851,24,intermediate,0.09657415273726874,4,0.4795763993948563,9393,0.0020921958395861175,0.03769092741691289
public_v661_47,864691134941194851,25,fine,0.050259468292920495,2,0.09743755383290267,9466,9.22872506213889e-06,0.00016625556742170565
public_v661_47,864691134941194851,26,fine,0.04631468444434825,2,0.46734431592475756,9757,0.00026373965731801244,0.004751272367935286
public_v661_47,864691134941194851,27,coarse,0.360084631576669,24,0.402620822313056,9848,0.00471061890460428,0.08486184317109649
