cohort,root_id,scale,n_modes,actual_energy_fraction,isotropic_energy_fraction,isotropic_enrichment,shuffled_energy_fraction_mean,shuffled_energy_fraction_sd,actual_minus_shuffled,actual_over_shuffled
public_v661_47,864691134941194851,coarse,5,0.29925199942098235,0.10204081632653061,2.932669594325627,0.19016688093868037,0.02969432996186707,0.10908511848230198,1.5736283728473028
public_v661_47,864691134941194851,intermediate,18,0.5042339334631275,0.3673469387755102,1.372636818871847,0.5748975955085032,0.046895504768960795,-0.07066366204537566,0.8770847841468655
public_v661_47,864691134941194851,fine,26,0.19651406711589028,0.5306122448979592,0.37035343417994704,0.2349355235528165,0.05477191576081968,-0.03842145643692621,0.8364595704561955
public_v661_47,864691135082534135,coarse,5,0.32076837453434515,0.2777777777777778,1.1547661483236424,0.5028688592774615,0.15718258887687023,-0.18210048474311635,0.6378767915659674
public_v661_47,864691135082534135,intermediate,9,0.6253192278070081,0.5,1.2506384556140162,0.44769880950755425,0.1460542575316801,0.17762041829945385,1.3967408769633032
public_v661_47,864691135082534135,fine,4,0.05391239765864665,0.2222222222222222,0.24260578946390995,0.04943233121498436,0.035124300782655105,0.004480066443662292,1.0906302885894295
public_v661_47,864691135334986985,coarse,6,0.3483072249943473,0.1276595744680851,2.728406595789054,0.23572188460314258,0.06479303035124974,0.11258534039120471,1.4776193800620232
public_v661_47,864691135334986985,intermediate,15,0.3714510966358288,0.3191489361702128,1.1638801027922636,0.4342356960741045,0.05539752356774908,-0.06278459943827569,0.8554135461319579
public_v661_47,864691135334986985,fine,26,0.28024167836982394,0.5531914893617021,0.5065907262839124,0.3300424193227529,0.0737136318271159,-0.04980074095292897,0.849108059942355
public_v661_47,864691135342193329,coarse,5,0.43786606623185265,0.2631578947368421,1.6638910516810401,0.474397558503611,0.120825060892063,-0.03653149227175834,0.9229939285796719
public_v661_47,864691135342193329,intermediate,8,0.40424931503790573,0.42105263157894735,0.9600921232150261,0.39852143917249605,0.09161985273694168,0.005727875865409682,1.0143728173754045
public_v661_47,864691135342193329,fine,6,0.1578846187302415,0.3157894736842105,0.4999679593124315,0.12708100232389297,0.06910315642432623,0.030803616406348544,1.2423935587778807
public_v661_47,864691135367232761,coarse,5,0.4567977815068819,0.2,2.2839889075344093,0.34312079388864436,0.09738806695840603,0.11367698761823752,1.3313031143636547
public_v661_47,864691135367232761,intermediate,11,0.4385607544038745,0.44,0.9967289872815329,0.5137821687949133,0.07612214366342956,-0.07522141439103885,0.8535927890073098
public_v661_47,864691135367232761,fine,9,0.10464146408924345,0.36,0.2906707335812318,0.1430970373164423,0.06800940262440339,-0.03845557322719885,0.7312622682595527
public_v661_47,864691135404231406,coarse,5,0.4178788097602335,0.15151515151515152,2.758000144417541,0.35626737391630736,0.06793939480768621,0.06161143584392614,1.1729359474224537
public_v661_47,864691135404231406,intermediate,13,0.4832453594163117,0.3939393939393939,1.2266997585183297,0.5071112576932799,0.04862543966344437,-0.023865898276968223,0.9529375498672065
public_v661_47,864691135404231406,fine,15,0.09887583082345461,0.45454545454545453,0.21752682781160015,0.13662136839041275,0.055854000801899444,-0.03774553756695814,0.7237215670458261
public_v661_47,864691135404277230,coarse,5,0.675290757539165,0.1724137931034483,3.916686393727157,0.402887659395068,0.09126594234583901,0.272403098144097,1.6761266864145397
public_v661_47,864691135404277230,intermediate,9,0.23790578246476723,0.3103448275862069,0.7665852990531389,0.44677981341685336,0.0696391326382786,-0.20887403095208612,0.5324899991459484
public_v661_47,864691135404277230,fine,15,0.08680345999606778,0.5172413793103449,0.16782002265906437,0.1503325271880787,0.07343815282417429,-0.06352906719201093,0.5774097038059456
public_v661_47,864691135416557754,coarse,5,0.7179495576322343,0.3333333333333333,2.1538486728967032,0.655990255970931,0.12806369669919873,0.06195930166130337,1.094451557926874
public_v661_47,864691135416557754,intermediate,5,0.1708462006444693,0.3333333333333333,0.512538601933408,0.25869420058791365,0.10725256603227201,-0.08784799994344436,0.6604175905613685
public_v661_47,864691135416557754,fine,5,0.11120424172329632,0.3333333333333333,0.333612725169889,0.08531554344115544,0.05662877441423263,0.025888698282140882,1.3034464440819866
public_v661_47,864691135455195242,coarse,4,0.2940202212931134,0.2,1.470101106465567,0.40678261621676437,0.12998443173574112,-0.11276239492365098,0.7227944596738551
public_v661_47,864691135455195242,intermediate,10,0.5503608187930418,0.5,1.1007216375860835,0.474399765865741,0.10343976501185817,0.07596105292730077,1.1601203423628972
public_v661_47,864691135455195242,fine,6,0.15561895991384486,0.3,0.5187298663794829,0.1188176179174946,0.06535749406800978,0.03680134199635027,1.3097296734387036
public_v661_47,864691135468547212,coarse,5,0.24310945778620885,0.15625,1.5559005298317365,0.3196494770034068,0.07850010817959083,-0.07654001921719794,0.7605501503248754
public_v661_47,864691135468547212,intermediate,14,0.6067036332820815,0.4375,1.386751161787615,0.5664394647243091,0.06503546539014682,0.040264168557772484,1.0710829154133343
public_v661_47,864691135468547212,fine,13,0.15018690893170972,0.40625,0.36969085275497776,0.11391105827228423,0.05652167087904155,0.036275850659425485,1.3184576739925853
public_v661_47,864691135495249040,coarse,6,0.34215969179755445,0.16666666666666666,2.0529581507853267,0.31639421789251254,0.0827560551858858,0.025765473905041913,1.0814347179814618
public_v661_47,864691135495249040,intermediate,12,0.3726452151031122,0.3333333333333333,1.1179356453093368,0.46710196408874827,0.06936250893782546,-0.09445674898563605,0.7977813063365978
public_v661_47,864691135495249040,fine,18,0.2851950930993334,0.5,0.5703901861986668,0.2165038180187391,0.08250265019852462,0.06869127508059428,1.3172751211003995
public_v661_47,864691135502788957,coarse,5,0.23836899515492305,0.13513513513513514,1.7639305641464305,0.23210230691783273,0.055533618070857715,0.006266688237090312,1.0269996809609858
public_v661_47,864691135502788957,intermediate,13,0.6145120614539904,0.35135135135135137,1.7489958672152033,0.5532545684956391,0.07659109637512743,0.061257492958351256,1.1107220734298087
public_v661_47,864691135502788957,fine,19,0.14711894339108655,0.5135135135135135,0.28649478449843174,0.21464312458652815,0.08745531677630804,-0.0675241811954416,0.6854118606150794
public_v661_47,864691135516884435,coarse,5,0.3039094608409333,0.21739130434782608,1.397983519868293,0.38470220379379494,0.1651221648019023,-0.08079274295286165,0.7899862746921836
public_v661_47,864691135516884435,intermediate,11,0.6239633561102781,0.4782608695652174,1.3046506536851268,0.4846936362127655,0.14786238946356317,0.13926971989751258,1.2873355651741578
public_v661_47,864691135516884435,fine,7,0.07212718304878865,0.30434782608695654,0.23698931573173412,0.13060415999343955,0.10890193349798433,-0.0584769769446509,0.5522579300108948
public_v661_47,864691135572379429,coarse,6,0.45266060641892525,0.14634146341463414,3.0931808105293226,0.29605343983420623,0.1074248606159895,0.15660716658471902,1.5289827629512465
public_v661_47,864691135572379429,intermediate,13,0.2979392767827472,0.3170731707317073,0.9396546421609718,0.4664563023258249,0.08371711361714003,-0.16851702554307774,0.6387292342223158
public_v661_47,864691135572379429,fine,22,0.2494001167983279,0.5365853658536586,0.46479112676052015,0.2374902578399688,0.09653249134026096,0.01190985895835911,1.050148831647589
public_v661_47,864691135573814980,coarse,6,0.31409118206220515,0.13333333333333333,2.355683865466539,0.29022653788068425,0.08502627021420495,0.0238646441815209,1.0822276431224631
public_v661_47,864691135573814980,intermediate,15,0.4711792288686568,0.3333333333333333,1.4135376866059706,0.49552401479351016,0.07440128376275153,-0.02434478592485334,0.9508706234247839
public_v661_47,864691135573814980,fine,24,0.214729589069138,0.5333333333333333,0.40261797950463374,0.2142494473258056,0.06613804056218564,0.0004801417433324129,1.002241040755649
public_v661_47,864691135658994050,coarse,5,0.25222958805147844,0.12195121951219512,2.068282622022123,0.23563810944339147,0.06419380540344348,0.016591478608086963,1.0704108458826047
public_v661_47,864691135658994050,intermediate,16,0.5994777242161614,0.3902439024390244,1.5361616683039137,0.5572790924981013,0.07204562128023488,0.04219863171806015,1.0757226177800738
