cohort,root_id,n_excitatory_coordinates,n_inhibitory_routes,basis_rank,orthonormality_error,energy_decomposition_relative_error,scalar_energy_fraction_removed,scale_mode_count
original_8,864691135060651419,128,138,128,4.440892098500626e-16,1.4654983569492366e-16,0.02079623797528829,127
original_8,864691135196576298,21,22,21,2.220446049250313e-16,0.0,0.09117161309338073,20
original_8,864691135277186789,95,101,95,4.440892098500626e-16,0.0,0.043551994792000115,94
original_8,864691135324623260,34,40,34,3.3306690738754696e-16,1.5968196982473863e-16,0.0526723203831051,33
original_8,864691135409937097,70,76,70,2.220446049250313e-16,0.0,0.03540018287570179,69
original_8,864691135739661169,32,34,32,2.220446049250313e-16,1.2373645835665106e-16,0.07454515477254042,31
original_8,864691135810666525,116,123,116,3.3306690738754696e-16,2.1703446172824646e-16,0.026847131526928525,115
original_8,864691136043380566,55,59,55,4.440892098500626e-16,2.1478710558880971e-16,0.04228443951849026,54
public_v661_47,864691134941194851,50,74,50,3.3306690738754696e-16,1.2500423790994812e-16,0.055844377950958646,49
public_v661_47,864691135082534135,19,64,19,2.220446049250313e-16,0.0,0.06391961862671613,18
public_v661_47,864691135334986985,48,77,48,4.440892098500626e-16,1.8254863280870605e-16,0.05206299867255204,47
public_v661_47,864691135342193329,20,25,20,2.220446049250313e-16,2.0100834270967384e-16,0.09670695907418103,19
public_v661_47,864691135367232761,26,35,26,4.440892098500626e-16,1.892645573661422e-16,0.08767485809667941,25
public_v661_47,864691135404231406,34,72,34,4.440892098500626e-16,1.3466859484866895e-16,0.07870250279710655,33
public_v661_47,864691135404277230,30,62,30,4.440892098500626e-16,0.0,0.14321168227132552,29
public_v661_47,864691135416557754,16,63,16,2.220446049250313e-16,0.0,0.17063010665894462,15
public_v661_47,864691135455195242,21,53,21,3.3306690738754696e-16,0.0,0.0723663039268384,20
public_v661_47,864691135468547212,33,64,33,2.220446049250313e-16,1.2539827768771543e-16,0.04938646400025426,32
public_v661_47,864691135495249040,37,63,37,2.220446049250313e-16,0.0,0.05433736247529397,36
public_v661_47,864691135502788957,38,61,38,3.3306690738754696e-16,1.7413044930090032e-16,0.04530999154265103,37
public_v661_47,864691135516884435,24,47,24,2.220446049250313e-16,0.0,0.07200010976105087,23
public_v661_47,864691135572379429,42,53,42,2.220446049250313e-16,1.1476730602327675e-16,0.07602345495218943,41
public_v661_47,864691135573814980,46,77,46,3.3306690738754696e-16,1.3395097324750757e-16,0.05471256248485368,45
public_v661_47,864691135658994050,42,62,42,3.3306690738754696e-16,0.0,0.045625052363442165,41
public_v661_47,864691135687601120,36,70,36,2.220446049250313e-16,0.0,0.04320018303767248,35
public_v661_47,864691135716106266,30,40,30,2.220446049250313e-16,2.354600159885004e-16,0.051517206583358344,29
public_v661_47,864691135716174106,30,62,30,2.220446049250313e-16,0.0,0.08874967962205971,29
public_v661_47,864691135740320660,25,54,25,3.3306690738754696e-16,2.8969192821741124e-16,0.05622707292905749,24
public_v661_47,864691135762339894,28,45,28,3.3306690738754696e-16,0.0,0.06143895513553321,27
public_v661_47,864691135856802606,27,42,27,3.3306690738754696e-16,1.8160398097614721e-16,0.06561237137262099,26
public_v661_47,864691135856845358,35,61,35,3.3306690738754696e-16,0.0,0.04688936952173395,34
public_v661_47,864691135867632406,39,62,39,3.3306690738754696e-16,0.0,0.05574768969445287,38
public_v661_47,864691135919106224,14,49,14,3.3306690738754696e-16,1.9382271978321234e-16,0.16766831773075985,13
public_v661_47,864691135938349828,29,65,29,2.220446049250313e-16,0.0,0.06378078314596514,28
public_v661_47,864691135947212897,34,59,34,2.220446049250313e-16,0.0,0.06735853007789794,33
public_v661_47,864691135952698659,17,47,17,2.220446049250313e-16,1.6060229443982348e-16,0.18077630139723744,16
public_v661_47,864691135992368833,19,45,19,2.220446049250313e-16,0.0,0.192206723993525,18
public_v661_47,864691136024229689,28,53,28,2.220446049250313e-16,0.0,0.06060003647594758,27
public_v661_47,864691136066506392,22,30,22,2.220446049250313e-16,3.9779214016719247e-16,0.06370976130948847,21
