seed,effective_sample_size,parameterization,optimizer,route_rank,address_residual,checkpoint,population_loss,field_estimation_error,coefficient_norm,gram_condition_number,gram_lambda_max
9100,16,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,80,0.2279537079,0.4559074157,0.05909283795,388.5198166,807.7404929
9100,16,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,1,0.3305896376,0.6611792752,0.1538208363,388.5198166,807.7404929
9100,16,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,5,0.2207145943,0.4414291886,0.3080099302,388.5198166,807.7404929
9100,16,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,20,0.1084741804,0.2169483608,0.3200917644,388.5198166,807.7404929
9100,16,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,80,0.1223617057,0.2447234113,0.3501681739,388.5198166,807.7404929
9100,64,tree_haar,vanilla_local,8,5.402835347e-32,1,0.3679764052,0.7359528105,0.2125696402,1,1
9100,64,tree_haar,vanilla_local,8,5.402835347e-32,5,0.1203434971,0.2406869942,0.5583777392,1,1
9100,64,tree_haar,vanilla_local,8,5.402835347e-32,20,0.02729497662,0.05458995324,1.035508629,1,1
9100,64,tree_haar,vanilla_local,8,5.402835347e-32,80,0.03902460388,0.07804920776,1.119709628,1,1
9100,64,tree_haar,gram_preconditioned_control,8,5.402835347e-32,1,0.3679764052,0.7359528105,0.2125696402,1,1
9100,64,tree_haar,gram_preconditioned_control,8,5.402835347e-32,5,0.1203434971,0.2406869942,0.5583777392,1,1
9100,64,tree_haar,gram_preconditioned_control,8,5.402835347e-32,20,0.02729497662,0.05458995324,1.035508629,1,1
9100,64,tree_haar,gram_preconditioned_control,8,5.402835347e-32,80,0.03902460388,0.07804920776,1.119709628,1,1
9100,64,raw_nested_indicators,vanilla_local,8,3.490085986e-31,1,0.482225207,0.9644504141,0.01842078056,15,30
9100,64,raw_nested_indicators,vanilla_local,8,3.490085986e-31,5,0.4332560791,0.8665121583,0.0457782888,15,30
9100,64,raw_nested_indicators,vanilla_local,8,3.490085986e-31,20,0.2521463229,0.5042926458,0.1818399507,15,30
9100,64,raw_nested_indicators,vanilla_local,8,3.490085986e-31,80,0.0522147915,0.104429583,0.4462882684,15,30
9100,64,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,1,0.3679764052,0.7359528105,0.1225035551,15,30
9100,64,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,5,0.1203434971,0.2406869942,0.3772916935,15,30
