effective_sample_size,checkpoint,parameterization,optimizer,observed_mean_loss,predicted_mean_loss,predicted_bias_loss,predicted_variance_loss,observed_minus_predicted
64,5,tree_haar,vanilla_local,0.07829602892,0.0784822528,0.0536870912,0.0247951616,-0.000186223876
64,20,raw_nested_indicators,gram_preconditioned_control,0.02694817169,0.02784054688,6.646139979e-05,0.02777408548,-0.000892375189
64,20,raw_nested_indicators,vanilla_local,0.190951522,0.191463811,0.1851178507,0.00634596026,-0.000512289053
64,20,static_gain_scaled_nested,gram_preconditioned_control,0.02694817169,0.02784054688,6.646139979e-05,0.02777408548,-0.000892375189
64,20,static_gain_scaled_nested,vanilla_local,0.283974463,0.283922527,0.2785204805,0.005402046506,5.193596558e-05
64,20,tree_haar,gram_preconditioned_control,0.02694817169,0.02784054688,6.646139979e-05,0.02777408548,-0.000892375189
64,20,tree_haar,vanilla_local,0.02694817169,0.02784054688,6.646139979e-05,0.02777408548,-0.000892375189
64,80,raw_nested_indicators,gram_preconditioned_control,0.02925230652,0.02777777778,1.560874275e-16,0.02777777778,0.00147452874
64,80,raw_nested_indicators,vanilla_local,0.04009822988,0.0392795975,0.03226302528,0.007016572223,0.0008186323787
64,80,static_gain_scaled_nested,gram_preconditioned_control,0.02925230652,0.02777777778,1.560874275e-16,0.02777777778,0.00147452874
64,80,static_gain_scaled_nested,vanilla_local,0.1841521959,0.1832791077,0.1775397853,0.005739322426,0.0008730881638
64,80,tree_haar,gram_preconditioned_control,0.02925230652,0.02777777778,1.560874275e-16,0.02777777778,0.00147452874
64,80,tree_haar,vanilla_local,0.02925230652,0.02777777778,1.560874275e-16,0.02777777778,0.00147452874
256,1,raw_nested_indicators,gram_preconditioned_control,0.3178634044,0.3225,0.32,0.0025,-0.00463659564
256,1,raw_nested_indicators,vanilla_local,0.4555178421,0.455689534,0.4552784229,0.0004111111111,-0.0001716918657
256,1,static_gain_scaled_nested,gram_preconditioned_control,0.3178634044,0.3225,0.32,0.0025,-0.00463659564
256,1,static_gain_scaled_nested,vanilla_local,0.4625672516,0.4641453642,0.4637640005,0.00038136374,-0.001578112595
256,1,tree_haar,gram_preconditioned_control,0.3178634044,0.3225,0.32,0.0025,-0.00463659564
256,1,tree_haar,vanilla_local,0.3178634044,0.3225,0.32,0.0025,-0.00463659564
256,5,raw_nested_indicators,gram_preconditioned_control,0.05901705084,0.0598858816,0.0536870912,0.0061987904,-0.0008688307556
256,5,raw_nested_indicators,vanilla_local,0.3469801219,0.3469459918,0.3457990493,0.001146942486,3.413012008e-05
