seed,parameterization,predicted_effective_sample_crossover
9100,raw_nested_indicators,28.09995308
9100,static_gain_scaled_nested,6.406382171
9101,raw_nested_indicators,75.75356919
9101,static_gain_scaled_nested,6.343489642
9102,raw_nested_indicators,86.69085044
9102,static_gain_scaled_nested,5.603818652
9103,raw_nested_indicators,38.45436355
9103,static_gain_scaled_nested,11.51500569
9104,raw_nested_indicators,25.23005795
9104,static_gain_scaled_nested,5.987018127
9105,raw_nested_indicators,29.20538505
9105,static_gain_scaled_nested,9.468635491
9106,raw_nested_indicators,204.3564616
9106,static_gain_scaled_nested,3.721125232
9107,raw_nested_indicators,27.99460037
9107,static_gain_scaled_nested,39.58072826
9108,raw_nested_indicators,32.38528495
9108,static_gain_scaled_nested,7.908777761
9109,raw_nested_indicators,61.44638392
9109,static_gain_scaled_nested,10.83226805
9110,raw_nested_indicators,28.1576835
9110,static_gain_scaled_nested,7.364632816
9111,raw_nested_indicators,38.41925087
9111,static_gain_scaled_nested,4.730953835
9112,raw_nested_indicators,41.18841225
9112,static_gain_scaled_nested,14.73356634
9113,raw_nested_indicators,50.5708839
9113,static_gain_scaled_nested,9.206549593
9114,raw_nested_indicators,27.81646086
9114,static_gain_scaled_nested,13.08900539
9115,raw_nested_indicators,37.55007012
9115,static_gain_scaled_nested,9.254608583
9116,raw_nested_indicators,75.99751626
9116,static_gain_scaled_nested,13.69043908
9117,raw_nested_indicators,75.24831811
9117,static_gain_scaled_nested,5.472847429
9118,raw_nested_indicators,32.40571945
9118,static_gain_scaled_nested,8.057837226
9119,raw_nested_indicators,34.09612267
9119,static_gain_scaled_nested,6.303133114
9120,raw_nested_indicators,38.53133057
9120,static_gain_scaled_nested,10.94831962
9121,raw_nested_indicators,28.09184692
9121,static_gain_scaled_nested,8.279109673
9122,raw_nested_indicators,28.15753303
9122,static_gain_scaled_nested,3.308192178
9123,raw_nested_indicators,26.29628883
9123,static_gain_scaled_nested,4.109313097
9124,raw_nested_indicators,30.6801419
9124,static_gain_scaled_nested,31.42864721
9125,raw_nested_indicators,68.11690992
9125,static_gain_scaled_nested,16.25295555
9126,raw_nested_indicators,38.5377954
9126,static_gain_scaled_nested,20.24244375
9127,raw_nested_indicators,49.96516648
9127,static_gain_scaled_nested,6.459695364
9128,raw_nested_indicators,40.83359877
9128,static_gain_scaled_nested,6.073516795
9129,raw_nested_indicators,33.06286438
9129,static_gain_scaled_nested,8.215286304
9130,raw_nested_indicators,51.94991122
9130,static_gain_scaled_nested,20.36114209
9131,raw_nested_indicators,43.13319481
9131,static_gain_scaled_nested,8.750323109
9132,raw_nested_indicators,36.06916081
9132,static_gain_scaled_nested,10.41193392
9133,raw_nested_indicators,64.4963616
9133,static_gain_scaled_nested,11.53386589
9134,raw_nested_indicators,24.28143977
9134,static_gain_scaled_nested,14.23130344
9135,raw_nested_indicators,55.47105426
9135,static_gain_scaled_nested,9.371668041
9136,raw_nested_indicators,97.486678
9136,static_gain_scaled_nested,4.693800421
9137,raw_nested_indicators,27.80110193
9137,static_gain_scaled_nested,5.779769886
9138,raw_nested_indicators,80.65336501
9138,static_gain_scaled_nested,9.180060362
9139,raw_nested_indicators,88.18614852
9139,static_gain_scaled_nested,35.85982776
9140,raw_nested_indicators,60.03662438
9140,static_gain_scaled_nested,4.592659032
9141,raw_nested_indicators,33.01329186
9141,static_gain_scaled_nested,12.98519966
9142,raw_nested_indicators,144.2539653
9142,static_gain_scaled_nested,6.762557843
9143,raw_nested_indicators,56.30093989
9143,static_gain_scaled_nested,7.160741133
9144,raw_nested_indicators,35.4677754
9144,static_gain_scaled_nested,7.608953687
9145,raw_nested_indicators,71.79221743
9145,static_gain_scaled_nested,4.022310982
9146,raw_nested_indicators,32.42374769
9146,static_gain_scaled_nested,63.5347672
9147,raw_nested_indicators,27.53376543
9147,static_gain_scaled_nested,53.62884123
9148,raw_nested_indicators,47.80010345
9148,static_gain_scaled_nested,6.506935881
9149,raw_nested_indicators,86.71141491
9149,static_gain_scaled_nested,6.916728802
