feedback_family,relative_step,n_checkpoints,gradient_cosine_mean,gradient_scaled_capture_mean,one_step_progress_mean,one_step_progress_median,descent_count
global_scalar_available,1e-05,160,0.022980111476815217,0.0034641259939059837,0.0071738501923136145,0.0313614015276088,99
ancestry_available,1e-05,160,0.5809699928029104,0.34957218916049404,0.6221713892560825,0.6182302356024243,160
exact_transport,1e-05,160,1.0000000012851484,0.9999999999999367,1.0000000718155342,1.0,160
