task,core,strategy,feedback,depth,n_seeds,mean_accuracy,ci95_low,ci95_high
mnist,dendritic_additive,local_ca,path_transport,1,10,0.964249974489212,0.9633597201108933,0.9651199817657471
mnist,dendritic_additive,local_ca,path_transport,2,10,0.9698299884796142,0.9691097268462181,0.9706199884414672
mnist,dendritic_additive,local_ca,path_transport,3,10,0.9724099814891816,0.97147998213768,0.9732699811458587
mnist,dendritic_additive,local_ca,path_transport,4,10,0.9746299684047699,0.9740199685096741,0.9751699686050415
mnist,dendritic_additive,local_ca,per_soma,1,10,0.9125099658966065,0.9091297155618668,0.9156799554824829
mnist,dendritic_additive,local_ca,per_soma,2,10,0.9193899691104889,0.9159199713170528,0.9224099755287171
mnist,dendritic_additive,local_ca,per_soma,3,10,0.910079973936081,0.9052599787712097,0.9154099702835083
mnist,dendritic_additive,local_ca,per_soma,4,10,0.9103399872779846,0.9058399856090545,0.914849990606308
mnist,dendritic_additive,local_ca,per_soma_shared,1,10,0.9636099696159363,0.9631599605083465,0.9640799760818481
mnist,dendritic_additive,local_ca,per_soma_shared,2,10,0.9685699760913848,0.9677099823951721,0.9693699717521668
mnist,dendritic_additive,local_ca,per_soma_shared,3,10,0.9716099739074707,0.9708099722862243,0.9724402242898941
mnist,dendritic_additive,local_ca,per_soma_shared,4,10,0.9734999775886536,0.9727799832820893,0.974250244051218
mnist,dendritic_additive,standard,backprop,1,10,0.9631399691104889,0.9622299790382385,0.9640099704265594
mnist,dendritic_additive,standard,backprop,2,10,0.969219970703125,0.9685299634933472,0.9699099721014499
mnist,dendritic_additive,standard,backprop,3,10,0.9725599706172943,0.9720799803733826,0.972989970445633
mnist,dendritic_additive,standard,backprop,4,10,0.9749399721622467,0.9745799778401852,0.9753199875354767
mnist,dendritic_shunting,local_ca,path_transport,1,10,0.9662299811840057,0.9655699789524078,0.9669999778270721
mnist,dendritic_shunting,local_ca,path_transport,2,10,0.9697899758815766,0.9692299723625183,0.9703199686110019
mnist,dendritic_shunting,local_ca,path_transport,3,10,0.97079998254776,0.9699399769306183,0.9715999841690064
mnist,dendritic_shunting,local_ca,path_transport,4,10,0.9717699766159058,0.9714999735355377,0.9720899760723114
mnist,dendritic_shunting,local_ca,per_soma,1,10,0.8965799689292908,0.8914899706840516,0.9015899658203125
mnist,dendritic_shunting,local_ca,per_soma,2,10,0.9017999827861786,0.8964599788188934,0.9070102389156818
mnist,dendritic_shunting,local_ca,per_soma,3,10,0.905679976940155,0.9012599766254425,0.909840225726366
mnist,dendritic_shunting,local_ca,per_soma,4,10,0.9018499732017518,0.8976199804246426,0.9061902278661728
mnist,dendritic_shunting,local_ca,per_soma_shared,1,10,0.9664699673652649,0.9656199634075164,0.9671799661219119
mnist,dendritic_shunting,local_ca,per_soma_shared,2,10,0.9699499726295471,0.9690999744832516,0.9708199799060822
mnist,dendritic_shunting,local_ca,per_soma_shared,3,10,0.9709599792957306,0.9702599704265594,0.9716299831867218
mnist,dendritic_shunting,local_ca,per_soma_shared,4,10,0.9716999769210816,0.9711799800395966,0.9722499668598175
mnist,dendritic_shunting,standard,backprop,1,10,0.9669699847698212,0.9660999774932861,0.9678199887275696
mnist,dendritic_shunting,standard,backprop,2,10,0.97008997797966,0.9695299862325192,0.9706499755382538
mnist,dendritic_shunting,standard,backprop,3,10,0.9705899775028228,0.9702599763870239,0.9709599792957306
mnist,dendritic_shunting,standard,backprop,4,10,0.9716099679470063,0.9710599780082703,0.9721799731254578
noise_resilience,dendritic_additive,local_ca,path_transport,1,10,0.9339199721813202,0.9331099629402161,0.9346699774265289
noise_resilience,dendritic_additive,local_ca,path_transport,2,10,0.9377299785614014,0.9360999882221221,0.9392599703371525
noise_resilience,dendritic_additive,local_ca,path_transport,3,10,0.9391299843788147,0.9379199862480163,0.9403202465176582
noise_resilience,dendritic_additive,local_ca,path_transport,4,10,0.9413999795913697,0.9403697201609611,0.9424099922180176
noise_resilience,dendritic_additive,local_ca,per_soma,1,10,0.8332099795341492,0.8261099815368652,0.8398599743843078
noise_resilience,dendritic_additive,local_ca,per_soma,2,10,0.8134199738502502,0.8049899756908416,0.8206699670851231
noise_resilience,dendritic_additive,local_ca,per_soma,3,10,0.8024999797344208,0.7956799744069577,0.8084302301704883
noise_resilience,dendritic_additive,local_ca,per_soma,4,10,0.7925699889659882,0.7801399827003479,0.8033902521431445
noise_resilience,dendritic_additive,local_ca,per_soma_shared,1,10,0.9308099746704102,0.9297499716281891,0.9317799746990204
noise_resilience,dendritic_additive,local_ca,per_soma_shared,2,10,0.9338599741458893,0.9324399827420712,0.9352299749851227
noise_resilience,dendritic_additive,local_ca,per_soma_shared,3,10,0.932099986076355,0.9308799862861633,0.9333999752998352
noise_resilience,dendritic_additive,local_ca,per_soma_shared,4,10,0.9341799795627594,0.9334399819374084,0.9350499749183655
