run_dir,config_index,task,core,strategy,feedback,depth,branch_factors,non_somatic_compartments_per_soma,inhibitory_synapses_per_branch,topology,routing,seed,init_policy,duration_seconds,test_accuracy,valid_accuracy,best_epoch,best_loss,epochs_recorded,total_parameters,active_synapses,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes,checkpoint_bytes,checkpoint_tensors,status,issues
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,17,mnist,dendritic_additive,standard,backprop,2,2x2,6,20,standard,correct,49,occupancy_quantile,295.0,0.9696999788284302,0.969249963760376,28,0.098805367052555,180,1208074,46080,717195776.0,807403520.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,18,mnist,dendritic_additive,standard,backprop,2,2x2,6,20,standard,correct,50,occupancy_quantile,296.0,0.9697999954223632,0.9674166440963744,30,0.1106370639204979,180,1208074,46080,717195776.0,807403520.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,19,mnist,dendritic_additive,standard,backprop,2,2x2,6,20,standard,correct,51,occupancy_quantile,293.0,0.9688999652862548,0.9695833325386048,34,0.1101127740939458,180,1208074,46080,717195776.0,807403520.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,20,mnist,dendritic_additive,standard,backprop,3,2x2x2,14,20,standard,correct,42,occupancy_quantile,381.0,0.973699986934662,0.968583345413208,22,0.0997857142885526,180,2816778,107520,1284480512.0,1444937728.0,11281114,31,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,21,mnist,dendritic_additive,standard,backprop,3,2x2x2,14,20,standard,correct,43,occupancy_quantile,373.0,0.9728999733924866,0.9716666340827942,23,0.0963751789331436,180,2816778,107520,1284480512.0,1444937728.0,11281114,31,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,22,mnist,dendritic_additive,standard,backprop,3,2x2x2,14,20,standard,correct,44,occupancy_quantile,378.0,0.971299946308136,0.9705833196640016,25,0.0943826244374116,180,2816778,107520,1284480512.0,1444937728.0,11281114,31,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,23,mnist,dendritic_additive,standard,backprop,3,2x2x2,14,20,standard,correct,45,occupancy_quantile,384.0,0.9711999893188475,0.9703333377838136,24,0.0978949657877286,180,2816778,107520,1284480512.0,1444937728.0,11281114,31,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,24,mnist,dendritic_additive,standard,backprop,3,2x2x2,14,20,standard,correct,46,occupancy_quantile,375.0,0.9727999567985536,0.9709166288375854,24,0.0935485900044441,180,2816778,107520,1284480512.0,1444937728.0,11281114,31,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,25,mnist,dendritic_additive,standard,backprop,3,2x2x2,14,20,standard,correct,47,occupancy_quantile,378.0,0.9727999567985536,0.972083330154419,28,0.095298594991366,180,2816778,107520,1284480512.0,1444937728.0,11281114,31,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,26,mnist,dendritic_additive,standard,backprop,3,2x2x2,14,20,standard,correct,48,occupancy_quantile,381.0,0.972599983215332,0.9697499871253968,26,0.0952535268068313,180,2816778,107520,1284480512.0,1444937728.0,11281114,31,pass,
